,Importance,Level,Job Zone,Code,Occupation
0,100,71,5,29-1221.00,"Pediatricians, General"
1,97,71,5,29-1215.00,Family Medicine Physicians
2,91,71,5,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
3,91,70,5,11-1011.00,Chief Executives
4,91,70,5,21-1014.00,Mental Health Counselors Bright Outlook
5,91,66,3,53-2021.00,Air Traffic Controllers
6,91,66,5,19-3033.00,Clinical and Counseling Psychologists
7,88,73,5,29-1223.00,Psychiatrists
8,88,71,5,23-1011.00,Lawyers
9,88,71,5,29-1229.06,Sports Medicine Physicians
10,88,70,5,29-1211.00,Anesthesiologists
11,88,70,5,21-1023.00,Mental Health and Substance Abuse Social Workers
12,88,70,5,29-1127.00,Speech-Language Pathologists
13,88,57,3,33-3051.00,Police and Sheriff's Patrol Officers
14,85,75,5,19-1041.00,Epidemiologists
15,85,71,5,29-1224.00,Radiologists
16,85,70,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
17,85,70,5,19-3034.00,School Psychologists
18,85,59,4,21-1021.00,"Child, Family, and School Social Workers"
19,85,59,3,33-3021.00,Detectives and Criminal Investigators
20,81,82,5,19-1029.02,Molecular and Cellular Biologists
21,81,79,5,29-1217.00,Neurologists
22,81,77,5,29-1222.00,"Physicians, Pathologists"
23,81,77,5,29-1229.05,Preventive Medicine Physicians
24,81,73,5,19-3091.00,Anthropologists and Archeologists
25,81,73,5,29-1229.02,Hospitalists
26,81,71,5,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
27,81,71,5,29-1229.01,Allergists and Immunologists
28,81,71,4,19-2021.00,Atmospheric and Space Scientists
29,81,71,5,25-1123.00,"English Language and Literature Teachers, Postsecondary"
30,81,71,5,19-1029.03,Geneticists
31,81,71,5,25-1082.00,"Library Science Teachers, Postsecondary"
32,81,71,5,19-3041.00,Sociologists
33,81,71,5,29-1229.03,Urologists
34,81,70,4,13-1041.03,Equal Opportunity Representatives and Officers
35,81,70,5,29-1216.00,General Internal Medicine Physicians
36,81,70,4,11-9111.00,Medical and Health Services Managers
37,81,70,3,31-9094.00,Medical Transcriptionists
38,81,68,5,19-3032.00,Industrial-Organizational Psychologists
