,Importance,Level,Job Zone,Code,Occupation
0,97,71,5,25-1123.00,"English Language and Literature Teachers, Postsecondary"
1,97,70,4,27-3041.00,Editors
2,94,73,5,19-1029.03,Geneticists
3,94,71,5,19-3093.00,Historians
4,91,79,5,19-1029.02,Molecular and Cellular Biologists
5,91,70,5,19-3094.00,Political Scientists
6,88,71,5,23-1011.00,Lawyers Bright Outlook
7,88,70,5,23-1012.00,Judicial Law Clerks
8,85,75,5,19-1041.00,Epidemiologists
9,85,73,5,29-1224.00,Radiologists
10,85,71,5,19-3091.00,Anthropologists and Archeologists
11,85,71,5,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
12,85,71,5,25-1112.00,"Law Teachers, Postsecondary"
13,85,71,5,29-1229.03,Urologists
14,85,70,5,19-3032.00,Industrial-Organizational Psychologists
15,85,70,5,25-9031.00,Instructional Coordinators
16,85,66,5,29-1229.06,Sports Medicine Physicians
17,85,63,4,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
18,85,63,5,19-3033.00,Clinical and Counseling Psychologists
19,85,63,4,13-1041.03,Equal Opportunity Representatives and Officers
20,85,61,4,43-9081.00,Proofreaders and Copy Markers
21,81,79,5,19-2012.00,Physicists
22,81,75,5,19-1021.00,Biochemists and Biophysicists
23,81,71,5,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
24,81,71,4,19-2021.00,Atmospheric and Space Scientists
25,81,71,5,29-1215.00,Family Medicine Physicians
26,81,71,5,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
27,81,71,5,29-1229.02,Hospitalists
28,81,71,5,25-1082.00,"Library Science Teachers, Postsecondary"
29,81,71,5,19-1022.00,Microbiologists
30,81,71,5,29-1171.00,Nurse Practitioners
31,81,71,5,29-1218.00,Obstetricians and Gynecologists
32,81,71,5,29-1241.00,"Ophthalmologists, Except Pediatric"
33,81,71,5,29-1221.00,"Pediatricians, General"
34,81,71,5,25-1065.00,"Political Science Teachers, Postsecondary"
35,81,70,5,29-1229.01,Allergists and Immunologists
36,81,70,5,29-1211.00,Anesthesiologists
37,81,70,5,19-1029.01,Bioinformatics Scientists
38,81,70,5,11-1011.00,Chief Executives
39,81,70,5,19-3011.01,Environmental Economists
40,81,70,5,29-9092.00,Genetic Counselors
41,81,70,5,19-2032.00,Materials Scientists
42,81,70,4,13-1041.07,Regulatory Affairs Specialists
43,81,68,5,11-9041.00,Architectural and Engineering Managers
44,81,68,4,13-2061.00,Financial Examiners
45,81,68,4,33-3021.06,Intelligence Analysts
46,81,68,5,15-2031.00,Operations Research Analysts
47,81,66,5,29-1223.00,Psychiatrists
48,81,64,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
49,81,64,5,29-1161.00,Nurse Midwives
50,81,63,5,19-2041.01,Climate Change Policy Analysts
51,81,61,4,13-1081.01,Logistics Engineers
52,78,75,5,29-1229.05,Preventive Medicine Physicians
53,78,73,4,17-2011.00,Aerospace Engineers
54,78,73,5,25-1032.00,"Engineering Teachers, Postsecondary"
55,78,73,5,29-1217.00,Neurologists
56,78,73,5,29-1222.00,"Physicians, Pathologists"
57,78,73,5,29-1081.00,Podiatrists
58,78,71,5,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
59,78,71,5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
60,78,71,5,25-1042.00,"Biological Science Teachers, Postsecondary"
61,78,71,5,15-2041.01,Biostatisticians
62,78,71,4,17-2041.00,Chemical Engineers
63,78,71,5,19-3011.00,Economists
64,78,71,5,25-1081.00,"Education Teachers, Postsecondary"
65,78,71,5,25-1053.00,"Environmental Science Teachers, Postsecondary"
66,78,71,4,19-2041.00,"Environmental Scientists and Specialists, Including Health"
67,78,71,5,29-1216.00,General Internal Medicine Physicians
68,78,71,5,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
69,78,71,5,25-1071.00,"Health Specialties Teachers, Postsecondary"
70,78,71,5,25-1125.00,"History Teachers, Postsecondary"
71,78,71,5,11-9121.00,Natural Sciences Managers
72,78,71,4,17-2161.00,Nuclear Engineers
73,78,71,5,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
74,78,71,5,25-1126.00,"Philosophy and Religion Teachers, Postsecondary"
75,78,71,5,25-1066.00,"Psychology Teachers, Postsecondary"
76,78,70,4,17-2021.00,Agricultural Engineers
77,78,70,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
78,78,70,4,17-2031.00,Bioengineers and Biomedical Engineers
79,78,70,5,25-1011.00,"Business Teachers, Postsecondary"
80,78,70,4,15-1211.01,Health Informatics Specialists
81,78,70,5,29-1051.00,Pharmacists
82,78,70,5,19-3034.00,School Psychologists
83,78,68,5,29-1181.00,Audiologists
84,78,68,4,17-2071.00,Electrical Engineers
85,78,68,5,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary"
86,78,68,4,19-3092.00,Geographers
87,78,68,5,19-3041.00,Sociologists
88,78,66,4,17-2081.00,Environmental Engineers
89,78,66,4,11-3031.00,Financial Managers
