,Importance,Level,Job Zone,Code,Occupation
0,97,71,5,29-1215.00,Family Medicine Physicians
1,97,71,5,23-1011.00,Lawyers Bright Outlook
2,97,71,5,29-1221.00,"Pediatricians, General"
3,97,59,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
4,94,75,5,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
5,94,73,5,25-1071.00,"Health Specialties Teachers, Postsecondary"
6,94,71,5,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
7,94,71,5,25-1125.00,"History Teachers, Postsecondary"
8,94,71,5,25-1113.00,"Social Work Teachers, Postsecondary"
9,94,64,5,21-2011.00,Clergy
10,91,79,5,25-1042.00,"Biological Science Teachers, Postsecondary"
11,91,77,5,25-1112.00,"Law Teachers, Postsecondary"
12,91,75,5,25-1011.00,"Business Teachers, Postsecondary"
13,91,71,5,25-1123.00,"English Language and Literature Teachers, Postsecondary"
14,91,68,3,53-2021.00,Air Traffic Controllers
15,91,68,4,27-2022.00,Coaches and Scouts
16,91,61,4,25-2021.00,"Elementary School Teachers, Except Special Education"
17,91,59,4,21-1021.00,"Child, Family, and School Social Workers"
18,88,80,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
19,88,73,5,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
20,88,71,5,25-1066.00,"Psychology Teachers, Postsecondary"
21,88,71,5,25-1067.00,"Sociology Teachers, Postsecondary"
22,88,70,5,11-1011.00,Chief Executives
23,88,70,5,25-9021.00,Farm and Home Management Educators
24,88,70,5,21-1014.00,Mental Health Counselors
25,88,68,5,19-3033.00,Clinical and Counseling Psychologists
26,88,66,4,27-2012.00,Producers and Directors
27,88,66,4,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
28,88,55,2,43-2021.00,Telephone Operators
29,85,80,5,25-1054.00,"Physics Teachers, Postsecondary"
30,85,77,5,25-1032.00,"Engineering Teachers, Postsecondary"
31,85,77,5,29-1229.05,Preventive Medicine Physicians
32,85,73,5,25-1081.00,"Education Teachers, Postsecondary"
33,85,73,5,25-1053.00,"Environmental Science Teachers, Postsecondary"
34,85,71,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
35,85,71,5,29-1224.00,Radiologists
36,85,71,5,29-1229.06,Sports Medicine Physicians
37,85,70,5,19-3032.00,Industrial-Organizational Psychologists
38,85,68,5,29-1223.00,Psychiatrists
39,85,68,5,19-3034.00,School Psychologists
40,85,66,4,11-9151.00,Social and Community Service Managers
41,85,57,2,43-5031.00,Public Safety Telecommunicators
42,81,75,5,25-1031.00,"Architecture Teachers, Postsecondary"
43,81,75,5,29-1217.00,Neurologists
44,81,73,5,19-1041.00,Epidemiologists
45,81,73,5,29-1229.02,Hospitalists
46,81,71,5,19-3091.00,Anthropologists and Archeologists
47,81,71,5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
48,81,71,5,29-1216.00,General Internal Medicine Physicians
49,81,71,5,19-1029.03,Geneticists
50,81,71,5,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
51,81,71,5,29-1218.00,Obstetricians and Gynecologists
52,81,71,5,19-3041.00,Sociologists
53,81,71,5,29-1127.00,Speech-Language Pathologists
54,81,70,4,19-2021.00,Atmospheric and Space Scientists
55,81,70,5,29-1213.00,Dermatologists
56,81,70,5,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary"
