,Importance,Level,Job Zone,Code,Occupation
0,91,71,4,27-3041.00,Editors
1,91,71,4,27-3043.05,"Poets, Lyricists and Creative Writers"
2,91,68,4,27-3043.00,Writers and Authors
3,88,73,5,19-3091.00,Anthropologists and Archeologists
4,85,71,5,19-1029.03,Geneticists
5,85,71,5,25-1125.00,"History Teachers, Postsecondary"
6,81,77,5,19-1021.00,Biochemists and Biophysicists Bright Outlook
7,81,73,4,27-3042.00,Technical Writers
8,81,71,5,25-1123.00,"English Language and Literature Teachers, Postsecondary"
9,81,71,5,19-1041.00,Epidemiologists
10,81,70,5,19-1029.01,Bioinformatics Scientists
11,81,70,5,19-3093.00,Historians
12,81,70,5,19-3032.00,Industrial-Organizational Psychologists
13,81,70,5,29-1222.00,"Physicians, Pathologists"
14,81,70,5,29-1229.03,Urologists
15,81,68,5,29-1127.00,Speech-Language Pathologists
16,81,66,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
17,81,66,5,25-9031.00,Instructional Coordinators
18,81,64,5,23-1012.00,Judicial Law Clerks
19,81,61,5,19-3033.00,Clinical and Counseling Psychologists
20,81,61,4,13-2099.04,"Fraud Examiners, Investigators and Analysts"
21,78,77,5,19-1029.02,Molecular and Cellular Biologists
22,78,73,5,25-1011.00,"Business Teachers, Postsecondary"
23,78,71,5,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
24,78,71,5,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
25,78,71,5,25-1042.00,"Biological Science Teachers, Postsecondary"
26,78,71,5,25-1052.00,"Chemistry Teachers, Postsecondary"
27,78,71,5,25-1081.00,"Education Teachers, Postsecondary"
28,78,71,5,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
29,78,71,5,23-1011.00,Lawyers
30,78,71,5,19-1042.00,"Medical Scientists, Except Epidemiologists"
31,78,71,5,19-1022.00,Microbiologists
32,78,71,5,25-1066.00,"Psychology Teachers, Postsecondary"
