,Importance,Level,Job Zone,Code,Occupation
0,81,61,4,27-1011.00,Art Directors
1,81,61,4,27-3043.05,"Poets, Lyricists and Creative Writers"
2,78,73,5,19-2012.00,Physicists Bright Outlook
3,78,59,5,27-1027.00,Set and Exhibit Designers
4,78,59,4,15-1255.01,Video Game Designers
5,75,63,5,17-1011.00,"Architects, Except Landscape and Naval"
6,75,63,5,29-1229.05,Preventive Medicine Physicians
7,75,59,5,19-1041.00,Epidemiologists
8,75,59,3,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators"
9,75,59,4,11-3131.00,Training and Development Managers
10,75,57,4,27-2032.00,Choreographers
11,75,57,4,27-1025.00,Interior Designers
12,75,57,4,13-1161.00,Market Research Analysts and Marketing Specialists
13,75,57,4,19-3099.01,Transportation Planners
14,72,66,5,11-1011.00,Chief Executives
15,72,61,4,27-3041.00,Editors
16,72,61,4,11-9161.00,Emergency Management Directors
17,72,61,5,19-3032.00,Industrial-Organizational Psychologists
18,72,59,5,19-1029.01,Bioinformatics Scientists
19,72,59,5,11-1011.03,Chief Sustainability Officers
20,72,59,5,15-1221.00,Computer and Information Research Scientists
21,72,59,5,19-1029.03,Geneticists
22,72,59,5,19-1029.02,Molecular and Cellular Biologists
23,72,59,4,17-2199.08,Robotics Engineers
24,72,57,4,17-2141.02,Automotive Engineers
25,72,57,4,13-1199.04,Business Continuity Planners
26,72,57,4,27-1021.00,Commercial and Industrial Designers
27,72,57,5,19-3011.00,Economists
28,72,57,4,27-1024.00,Graphic Designers
29,72,57,4,13-1081.01,Logistics Engineers
30,72,57,5,19-1022.00,Microbiologists
31,72,57,4,17-2051.02,Water/Wastewater Engineers
32,72,55,5,21-2011.00,Clergy
33,72,55,5,19-3033.00,Clinical and Counseling Psychologists
34,72,55,3,27-1022.00,Fashion Designers
35,72,55,4,15-1211.01,Health Informatics Specialists
36,72,55,4,27-2012.03,Media Programming Directors
37,72,55,5,21-1023.00,Mental Health and Substance Abuse Social Workers
38,72,55,4,11-3061.00,Purchasing Managers
39,72,55,4,13-1161.01,Search Marketing Strategists
40,72,55,4,17-2199.11,Solar Energy Systems Engineers
41,72,55,4,27-3043.00,Writers and Authors
42,69,68,5,19-1021.00,Biochemists and Biophysicists
43,69,68,5,15-2021.00,Mathematicians
44,69,61,4,11-2021.00,Marketing Managers
45,69,61,4,17-2199.07,Photonics Engineers
46,69,59,4,11-2011.00,Advertising and Promotions Managers
47,69,59,5,11-9041.00,Architectural and Engineering Managers
48,69,59,5,21-1022.00,Healthcare Social Workers
49,69,59,5,21-1014.00,Mental Health Counselors
50,69,59,5,15-2031.00,Operations Research Analysts
51,69,59,5,29-1127.00,Speech-Language Pathologists
52,69,57,5,29-1129.01,Art Therapists
53,69,57,4,17-2051.00,Civil Engineers
54,69,57,4,13-1131.00,Fundraisers
55,69,57,4,13-1111.00,Management Analysts
56,69,57,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
57,69,57,4,27-2041.00,Music Directors and Composers
58,69,57,4,17-2171.00,Petroleum Engineers
59,69,57,4,27-3031.00,Public Relations Specialists
60,69,57,4,17-2051.01,Transportation Engineers
61,69,55,5,29-1229.01,Allergists and Immunologists
62,69,55,5,19-1011.00,Animal Scientists
63,69,55,4,17-2041.00,Chemical Engineers
64,69,55,4,27-2022.00,Coaches and Scouts
65,69,55,5,11-9033.00,"Education Administrators, Postsecondary"
66,69,55,4,17-2081.00,Environmental Engineers
67,69,55,4,17-1012.00,Landscape Architects
68,69,55,5,23-1011.00,Lawyers
69,69,55,4,29-1129.02,Music Therapists
70,69,55,5,29-1122.00,Occupational Therapists
71,69,55,4,13-1151.00,Training and Development Specialists
72,69,54,3,43-9031.00,Desktop Publishers
73,69,54,4,13-1121.00,"Meeting, Convention, and Event Planners"
74,69,54,4,11-2022.00,Sales Managers
75,69,52,4,25-2021.00,"Elementary School Teachers, Except Special Education"
76,69,48,4,25-2012.00,"Kindergarten Teachers, Except Special Education"
77,69,48,4,25-2058.00,"Special Education Teachers, Secondary School"
78,66,63,5,29-1217.00,Neurologists
79,66,61,4,17-2141.01,Fuel Cell Engineers
80,66,59,4,17-2112.03,Manufacturing Engineers
81,66,59,5,21-1013.00,Marriage and Family Therapists
82,66,59,5,17-2199.09,Nanosystems Engineers
83,66,59,4,27-2012.00,Producers and Directors
84,66,59,5,19-3051.00,Urban and Regional Planners
85,66,57,5,15-2041.01,Biostatisticians
86,66,57,5,17-2199.06,Microsystems Engineers
87,66,57,4,41-9031.00,Sales Engineers
88,66,55,5,19-1029.04,Biologists
89,66,55,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
90,66,55,5,13-2099.01,Financial Quantitative Analysts
91,66,55,4,15-1299.09,Information Technology Project Managers
92,66,55,4,19-2099.01,Remote Sensing Scientists and Technologists
93,66,54,5,25-9031.00,Instructional Coordinators
94,66,54,4,11-9151.00,Social and Community Service Managers
95,66,52,3,27-1012.00,Craft Artists
96,66,50,4,27-4032.00,Film and Video Editors
97,66,50,4,11-9081.00,Lodging Managers
98,66,48,4,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
99,66,46,3,25-2011.00,"Preschool Teachers, Except Special Education"
100,63,61,5,19-2011.00,Astronomers
101,63,59,4,17-2031.00,Bioengineers and Biomedical Engineers
102,63,59,5,17-2112.01,Human Factors Engineers and Ergonomists
103,63,59,5,19-2043.00,Hydrologists
104,63,59,5,19-1013.00,Soil and Plant Scientists
105,63,57,4,17-2011.00,Aerospace Engineers
106,63,57,5,19-3091.00,Anthropologists and Archeologists
107,63,57,5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
108,63,57,3,15-1211.00,Computer Systems Analysts
109,63,57,5,25-9021.00,Farm and Home Management Educators
110,63,57,4,11-3121.00,Human Resources Managers
111,63,57,4,11-3051.00,Industrial Production Managers
112,63,57,4,17-2199.05,Mechatronics Engineers
113,63,55,5,25-1031.00,"Architecture Teachers, Postsecondary"
114,63,55,5,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
115,63,55,4,17-2072.00,"Electronics Engineers, Except Computer"
116,63,55,4,11-9179.01,Fitness and Wellness Coordinators
117,63,55,4,13-1075.00,Labor Relations Specialists
118,63,55,4,17-2131.00,Materials Engineers
119,63,55,5,29-1299.01,Naturopathic Physicians
120,63,55,4,17-2161.00,Nuclear Engineers
121,63,55,5,29-1229.04,Physical Medicine and Rehabilitation Physicians
122,63,54,5,29-1229.06,Sports Medicine Physicians
123,63,52,4,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
124,63,50,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
125,63,48,3,11-9179.02,Spa Managers
126,63,46,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
127,61,54,4,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
128,60,57,4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
129,60,57,4,15-1299.08,Computer Systems Engineers/Architects
130,60,57,5,25-4012.00,Curators
131,60,57,5,19-2041.03,Industrial Ecologists
132,60,57,4,27-1014.00,Special Effects Artists and Animators
133,60,55,4,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
134,60,55,5,19-2041.02,Environmental Restoration Planners
135,60,55,5,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
136,60,55,4,17-2141.00,Mechanical Engineers
137,60,55,4,27-2012.05,Media Technical Directors/Managers
138,60,55,5,29-1223.00,Psychiatrists
139,60,54,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
140,60,54,3,53-2021.00,Air Traffic Controllers
141,60,54,5,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
142,60,54,4,15-2051.01,Business Intelligence Analysts
143,60,54,4,11-3021.00,Computer and Information Systems Managers
144,60,54,3,33-3021.00,Detectives and Criminal Investigators
145,60,54,4,19-1012.00,Food Scientists and Technologists
146,60,54,4,21-1091.00,Health Education Specialists
147,60,54,4,13-1081.00,Logisticians
148,60,54,5,29-1151.00,Nurse Anesthetists
149,60,54,4,19-4099.03,Remote Sensing Technicians
150,60,52,4,17-2021.00,Agricultural Engineers
151,60,52,5,25-1042.00,"Biological Science Teachers, Postsecondary"
152,60,52,4,29-1141.03,Critical Care Nurses
153,60,52,4,21-2021.00,"Directors, Religious Activities and Education"
154,60,52,4,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
155,60,52,3,33-1012.00,First-Line Supervisors of Police and Detectives
156,60,52,5,11-3031.03,Investment Fund Managers
157,60,52,5,25-1113.00,"Social Work Teachers, Postsecondary"
158,60,50,5,25-2059.01,Adapted Physical Education Specialists
159,60,50,5,29-1141.04,Clinical Nurse Specialists
160,60,50,3,47-4011.01,Energy Auditors
161,60,50,4,11-3031.00,Financial Managers
162,60,50,4,13-1199.05,Sustainability Specialists
163,60,48,5,29-1141.02,Advanced Practice Psychiatric Nurses
164,60,48,2,27-1023.00,Floral Designers
165,60,48,3,11-3051.06,Hydroelectric Production Managers
166,60,48,5,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
167,60,48,3,27-1026.00,Merchandise Displayers and Window Trimmers
168,60,48,5,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
169,60,48,5,29-1229.03,Urologists
170,60,46,4,19-1023.00,Zoologists and Wildlife Biologists
171,60,45,3,25-3041.00,Tutors
172,60,43,3,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
173,58,58,4,17-2121.00,Marine Engineers and Naval Architects
174,57,49,4,11-3071.00,"Transportation, Storage, and Distribution Managers"
175,56,57,4,17-2071.00,Electrical Engineers
176,56,57,5,19-3011.01,Environmental Economists
177,56,57,5,19-1042.00,"Medical Scientists, Except Epidemiologists"
178,56,57,5,11-9121.00,Natural Sciences Managers
179,56,55,4,41-3011.00,Advertising Sales Agents
180,56,55,4,17-2061.00,Computer Hardware Engineers
181,56,55,5,25-1032.00,"Engineering Teachers, Postsecondary"
182,56,55,5,25-1123.00,"English Language and Literature Teachers, Postsecondary"
183,56,55,5,29-1216.00,General Internal Medicine Physicians
184,56,55,5,19-3041.00,Sociologists
185,56,54,4,15-1243.00,Database Architects
186,56,54,5,29-1021.00,"Dentists, General"
187,56,54,3,19-4092.00,Forensic Science Technicians
188,56,54,3,17-3026.00,Industrial Engineering Technologists and Technicians
189,56,54,4,33-3021.06,Intelligence Analysts
190,56,54,4,15-1244.00,Network and Computer Systems Administrators
191,56,54,3,27-4021.00,Photographers
192,56,54,5,25-1054.00,"Physics Teachers, Postsecondary"
193,56,54,4,11-3051.01,Quality Control Systems Managers
194,56,54,4,19-1031.02,Range Managers
195,56,54,4,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
196,56,54,5,15-2041.00,Statisticians
197,56,52,4,19-1031.00,Conservation Scientists
198,56,52,4,17-2199.03,"Energy Engineers, Except Wind and Solar"
199,56,52,3,51-6092.00,Fabric and Apparel Patternmakers
200,56,52,4,17-2112.00,Industrial Engineers
201,56,52,4,11-9111.00,Medical and Health Services Managers
202,56,52,5,29-1171.00,Nurse Practitioners
203,56,52,3,27-4014.00,Sound Engineering Technicians
204,56,52,4,27-2012.04,Talent Directors
205,56,52,4,11-3031.01,Treasurers and Controllers
206,56,52,3,15-1254.00,Web Developers
207,56,50,4,15-2099.01,Bioinformatics Technicians
208,56,50,4,19-3092.00,Geographers
209,56,50,5,29-1081.00,Podiatrists
210,56,50,5,25-1066.00,"Psychology Teachers, Postsecondary"
211,56,50,4,11-9199.01,Regulatory Affairs Managers
212,56,50,4,21-1093.00,Social and Human Service Assistants
213,56,50,4,11-9121.02,Water Resource Specialists
214,56,48,4,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
215,56,48,4,19-2021.00,Atmospheric and Space Scientists
216,56,48,4,25-2023.00,"Career/Technical Education Teachers, Middle School"
217,56,48,4,25-2032.00,"Career/Technical Education Teachers, Secondary School"
218,56,48,4,11-3111.00,Compensation and Benefits Managers
219,56,48,4,11-1021.00,General and Operations Managers
220,56,48,3,13-1041.04,Government Property Inspectors and Investigators
221,56,48,4,25-4013.00,Museum Technicians and Conservators
222,56,48,5,29-1023.00,Orthodontists
223,56,48,5,29-2091.00,Orthotists and Prosthetists
224,56,48,4,17-2072.01,Radio Frequency Identification Device Specialists
225,56,48,5,25-2051.00,"Special Education Teachers, Preschool"
226,56,46,5,29-1211.00,Anesthesiologists
227,56,46,3,35-1011.00,Chefs and Head Cooks
228,56,46,3,17-3013.00,Mechanical Drafters
229,56,46,4,19-1031.03,Park Naturalists
230,56,46,4,13-2052.00,Personal Financial Advisors
231,56,46,3,47-1011.03,Solar Energy Installation Managers
232,56,45,4,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
233,56,45,3,35-2013.00,"Cooks, Private Household"
234,56,45,3,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
235,56,45,4,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
236,56,45,5,29-1123.00,Physical Therapists
237,56,45,5,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
238,56,45,3,11-9199.09,Wind Energy Operations Managers
239,56,41,2,49-9095.00,Manufactured Building and Mobile Home Installers
240,55,54,4,27-3023.00,"News Analysts, Reporters, and Journalists"
241,53,55,4,17-2111.02,Fire-Prevention and Protection Engineers
242,53,55,4,25-2057.00,"Special Education Teachers, Middle School"
243,53,54,4,15-2011.00,Actuaries
244,53,54,5,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
245,53,54,5,29-1229.02,Hospitalists
246,53,54,4,13-1081.02,Logistics Analysts
247,53,54,5,19-2032.00,Materials Scientists
248,53,54,5,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
249,53,54,5,19-3094.00,Political Scientists
250,53,52,5,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
251,53,52,4,19-2031.00,Chemists
252,53,52,4,15-1241.00,Computer Network Architects
253,53,52,4,13-2071.00,Credit Counselors
254,53,52,4,15-1242.00,Database Administrators
255,53,52,5,29-1031.00,Dietitians and Nutritionists
256,53,52,4,19-2041.00,"Environmental Scientists and Specialists, Including Health"
257,53,52,5,25-1064.00,"Geography Teachers, Postsecondary"
258,53,52,3,39-5091.00,"Makeup Artists, Theatrical and Performance"
259,53,52,5,29-1022.00,Oral and Maxillofacial Surgeons
260,53,52,4,13-1041.07,Regulatory Affairs Specialists
261,53,52,4,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
262,53,50,4,15-2051.02,Clinical Data Managers
263,53,50,5,25-1021.00,"Computer Science Teachers, Postsecondary"
264,53,50,5,25-1053.00,"Environmental Science Teachers, Postsecondary"
265,53,50,4,29-1128.00,Exercise Physiologists
266,53,50,5,19-3093.00,Historians
267,53,50,4,11-9199.08,Loss Prevention Managers
268,53,50,5,29-1222.00,"Physicians, Pathologists"
269,53,50,4,43-9111.00,Statistical Assistants
270,53,50,4,17-2199.10,Wind Energy Engineers
271,53,48,5,29-9091.00,Athletic Trainers
272,53,48,5,25-1052.00,"Chemistry Teachers, Postsecondary"
273,53,48,4,21-1021.00,"Child, Family, and School Social Workers"
274,53,48,4,11-9021.00,Construction Managers
275,53,48,4,15-1299.02,Geographic Information Systems Technologists and Technicians
276,53,48,5,25-1022.00,"Mathematical Science Teachers, Postsecondary"
277,53,48,5,29-1218.00,Obstetricians and Gynecologists
278,53,48,5,29-1024.00,Prosthodontists
279,53,48,4,21-1015.00,Rehabilitation Counselors
280,53,48,5,19-3034.00,School Psychologists
281,53,48,4,11-9199.10,Wind Energy Development Managers
282,53,46,5,29-1291.00,Acupuncturists
283,53,46,4,11-3051.03,Biofuels Production Managers
284,53,46,4,11-3051.04,Biomass Power Plant Managers
285,53,46,3,27-4031.00,"Camera Operators, Television, Video, and Film"
286,53,46,4,15-1243.01,Data Warehousing Specialists
287,53,46,3,29-2051.00,Dietetic Technicians
288,53,46,5,25-1063.00,"Economics Teachers, Postsecondary"
289,53,46,5,25-1081.00,"Education Teachers, Postsecondary"
290,53,46,4,13-1041.01,Environmental Compliance Inspectors
291,53,46,3,51-1011.00,First-Line Supervisors of Production and Operating Workers
292,53,46,5,29-9092.00,Genetic Counselors
293,53,46,5,25-1071.00,"Health Specialties Teachers, Postsecondary"
294,53,46,5,29-1161.00,Nurse Midwives
295,53,46,5,29-1299.02,Orthoptists
296,53,46,4,29-1125.00,Recreational Therapists
297,53,46,5,25-1067.00,"Sociology Teachers, Postsecondary"
298,53,46,3,41-4011.07,Solar Sales Representatives and Assessors
299,53,46,4,11-3071.04,Supply Chain Managers
300,53,46,5,25-9044.00,"Teaching Assistants, Postsecondary"
301,53,46,3,15-1241.01,Telecommunications Engineering Specialists
302,53,45,3,11-3012.00,Administrative Services Managers
303,53,45,2,39-2011.00,Animal Trainers
304,53,45,5,19-2041.01,Climate Change Policy Analysts
305,53,45,3,39-6012.00,Concierges
306,53,45,2,39-3092.00,Costume Attendants
307,53,45,5,29-1215.00,Family Medicine Physicians
308,53,45,3,39-1022.00,First-Line Supervisors of Personal Service Workers
309,53,45,4,17-1022.01,Geodetic Surveyors
310,53,45,3,17-3027.00,Mechanical Engineering Technologists and Technicians
311,53,45,3,31-2011.00,Occupational Therapy Assistants
312,53,45,5,29-1041.00,Optometrists
313,53,45,5,29-1051.00,Pharmacists
314,53,45,3,33-3021.02,Police Identification and Records Officers
315,53,45,3,19-4012.01,Precision Agriculture Technicians
316,53,45,4,39-9032.00,Recreation Workers
317,53,45,4,29-1141.00,Registered Nurses
318,53,45,3,17-3024.01,Robotics Technicians
319,53,45,4,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
320,53,45,4,17-2112.02,Validation Engineers
321,53,45,4,15-1299.01,Web Administrators
322,53,43,4,13-2031.00,Budget Analysts
323,53,43,3,15-1232.00,Computer User Support Specialists
324,53,43,3,33-2021.00,Fire Inspectors and Investigators
325,53,43,3,49-3052.00,Motorcycle Mechanics
326,53,43,2,39-9011.01,Nannies
327,52,47,4,13-2011.00,Accountants and Auditors
328,52,45,4,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
329,52,44,3,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians
330,50,55,5,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
331,50,55,5,29-1241.00,"Ophthalmologists, Except Pediatric"
332,50,54,4,13-1041.03,Equal Opportunity Representatives and Officers
333,50,54,4,13-2099.04,"Fraud Examiners, Investigators and Analysts"
334,50,54,4,15-1212.00,Information Security Analysts
335,50,54,5,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
336,50,54,5,25-1112.00,"Law Teachers, Postsecondary"
337,50,52,5,29-1213.00,Dermatologists
338,50,52,4,19-1032.00,Foresters
339,50,50,5,23-1022.00,"Arbitrators, Mediators, and Conciliators"
340,50,50,3,17-3027.01,Automotive Engineering Technicians
341,50,50,4,15-1231.00,Computer Network Support Specialists
342,50,50,4,13-1051.00,Cost Estimators
343,50,50,5,19-3022.00,Survey Researchers
344,50,50,3,41-3041.00,Travel Agents
345,50,48,2,27-2011.00,Actors
346,50,48,4,15-1251.00,Computer Programmers
347,50,48,4,13-2061.00,Financial Examiners
348,50,48,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
349,50,48,3,11-3051.02,Geothermal Production Managers
350,50,48,5,25-1125.00,"History Teachers, Postsecondary"
351,50,48,5,29-9099.01,Midwives
352,50,48,4,13-1199.06,Online Merchants
353,50,48,5,29-1221.00,"Pediatricians, General"
354,50,48,3,33-9021.00,Private Detectives and Investigators
355,50,48,5,29-1131.00,Veterinarians
356,50,47,4,17-3026.01,Nanotechnology Engineering Technologists and Technicians
357,50,46,5,29-1181.00,Audiologists
358,50,46,4,19-4021.00,Biological Technicians
