,Importance,Level,Job Zone,Code,Occupation
0,85,66,3,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators"
1,81,68,4,27-3043.05,"Poets, Lyricists and Creative Writers"
2,81,63,4,27-1011.00,Art Directors
3,78,75,5,19-2012.00,Physicists Bright Outlook
4,78,57,4,27-1025.00,Interior Designers
5,75,63,3,27-1022.00,Fashion Designers
6,75,61,5,17-1011.00,"Architects, Except Landscape and Naval"
7,75,61,4,27-2032.00,Choreographers
8,75,59,4,15-1255.01,Video Game Designers
9,75,57,4,27-1024.00,Graphic Designers
10,72,68,4,17-2031.00,Bioengineers and Biomedical Engineers
11,72,66,4,17-2141.02,Automotive Engineers
12,72,66,4,17-2199.08,Robotics Engineers
13,72,63,4,27-1021.00,Commercial and Industrial Designers
14,72,59,5,19-1041.00,Epidemiologists
15,72,57,5,11-1011.03,Chief Sustainability Officers
16,72,57,4,15-1299.08,Computer Systems Engineers/Architects
17,72,57,5,11-9033.00,"Education Administrators, Postsecondary"
18,72,57,5,19-3032.00,Industrial-Organizational Psychologists
19,72,57,5,19-1013.00,Soil and Plant Scientists
20,72,57,4,11-3131.00,Training and Development Managers
21,72,55,4,13-1199.04,Business Continuity Planners
22,72,55,5,21-2011.00,Clergy
23,72,55,4,27-2022.00,Coaches and Scouts
24,72,55,3,27-1012.00,Craft Artists
25,72,55,3,43-9031.00,Desktop Publishers
26,72,55,4,15-1211.01,Health Informatics Specialists
27,72,55,4,17-1012.00,Landscape Architects
28,72,55,3,27-4021.00,Photographers
29,72,55,5,27-1027.00,Set and Exhibit Designers
30,72,55,4,27-3043.00,Writers and Authors
31,69,66,5,19-1021.00,Biochemists and Biophysicists
32,69,66,4,17-2199.07,Photonics Engineers
33,69,64,5,19-1029.02,Molecular and Cellular Biologists
34,69,63,5,17-2199.09,Nanosystems Engineers
35,69,61,5,19-1029.01,Bioinformatics Scientists
36,69,61,5,11-1011.00,Chief Executives
37,69,61,4,27-2012.00,Producers and Directors
38,69,59,4,17-2041.00,Chemical Engineers
39,69,59,4,11-9161.00,Emergency Management Directors
40,69,59,4,27-2041.00,Music Directors and Composers
41,69,57,5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
42,69,57,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
43,69,57,4,17-2081.00,Environmental Engineers
44,69,57,5,25-9021.00,Farm and Home Management Educators
45,69,57,5,19-1029.03,Geneticists
46,69,57,5,15-2031.00,Operations Research Analysts
47,69,55,4,11-2011.00,Advertising and Promotions Managers
48,69,55,4,25-2021.00,"Elementary School Teachers, Except Special Education"
49,69,55,3,51-6092.00,Fabric and Apparel Patternmakers
50,69,55,4,19-1012.00,Food Scientists and Technologists
51,69,55,4,27-2012.03,Media Programming Directors
52,69,55,5,21-1023.00,Mental Health and Substance Abuse Social Workers
53,69,55,5,29-1122.00,Occupational Therapists
54,69,55,4,27-3031.00,Public Relations Specialists
55,69,54,5,25-9031.00,Instructional Coordinators
56,69,54,4,11-9151.00,Social and Community Service Managers
57,69,52,3,25-2011.00,"Preschool Teachers, Except Special Education"
58,69,48,2,27-2011.00,Actors
59,69,45,3,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
60,67,52,4,27-3023.00,"News Analysts, Reporters, and Journalists"
61,66,63,5,15-1221.00,Computer and Information Research Scientists
62,66,59,4,17-2112.03,Manufacturing Engineers
63,66,57,5,11-9041.00,Architectural and Engineering Managers
64,66,57,4,11-2021.00,Marketing Managers
65,66,57,5,29-1229.05,Preventive Medicine Physicians
66,66,57,4,19-3099.01,Transportation Planners
67,66,55,5,19-2011.00,Astronomers
68,66,55,4,29-1129.02,Music Therapists
69,66,55,4,11-2022.00,Sales Managers
70,66,55,4,25-2057.00,"Special Education Teachers, Middle School"
71,66,55,4,13-1151.00,Training and Development Specialists
72,66,55,4,17-2051.02,Water/Wastewater Engineers
73,66,54,5,23-1011.00,Lawyers
74,66,54,4,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
75,66,52,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
76,66,52,4,13-1121.00,"Meeting, Convention, and Event Planners"
77,66,50,5,21-1013.00,Marriage and Family Therapists
78,66,46,4,27-2012.04,Talent Directors
79,66,45,2,27-1023.00,Floral Designers
80,63,70,5,15-2021.00,Mathematicians
81,63,59,4,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
82,63,59,5,25-4012.00,Curators
83,63,57,4,17-2061.00,Computer Hardware Engineers
84,63,57,4,17-2141.01,Fuel Cell Engineers
85,63,57,5,21-1014.00,Mental Health Counselors
86,63,57,5,17-2199.06,Microsystems Engineers
87,63,57,4,27-1014.00,Special Effects Artists and Animators
88,63,55,5,29-1031.00,Dietitians and Nutritionists
89,63,55,4,27-3041.00,Editors
90,63,55,4,13-1081.00,Logisticians
91,63,55,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
92,63,55,4,17-2199.11,Solar Energy Systems Engineers
93,63,54,4,13-1075.00,Labor Relations Specialists
94,63,54,4,11-3061.00,Purchasing Managers
95,63,52,4,27-4032.00,Film and Video Editors
96,63,52,4,13-1199.05,Sustainability Specialists
97,63,50,5,29-1229.06,Sports Medicine Physicians
98,61,58,4,17-2121.00,Marine Engineers and Naval Architects
99,60,59,4,17-2011.00,Aerospace Engineers
100,60,59,4,17-2199.05,Mechatronics Engineers
101,60,57,4,17-2072.00,"Electronics Engineers, Except Computer"
102,60,57,5,19-2041.03,Industrial Ecologists
103,60,57,4,17-2131.00,Materials Engineers
104,60,55,5,17-2112.01,Human Factors Engineers and Ergonomists
105,60,55,4,11-3121.00,Human Resources Managers
106,60,55,3,39-5091.00,"Makeup Artists, Theatrical and Performance"
107,60,55,5,11-9121.00,Natural Sciences Managers
108,60,55,5,29-1217.00,Neurologists
109,60,55,4,17-2171.00,Petroleum Engineers
110,60,55,5,29-1229.04,Physical Medicine and Rehabilitation Physicians
111,60,55,4,19-2099.01,Remote Sensing Scientists and Technologists
112,60,54,5,29-1229.01,Allergists and Immunologists
113,60,54,5,19-3033.00,Clinical and Counseling Psychologists
114,60,54,4,27-2012.05,Media Technical Directors/Managers
115,60,54,4,41-9031.00,Sales Engineers
116,60,54,4,25-2058.00,"Special Education Teachers, Secondary School"
117,60,52,4,11-9081.00,Lodging Managers
118,60,52,4,11-9199.08,Loss Prevention Managers
119,60,50,4,17-2021.00,Agricultural Engineers
120,60,50,3,53-2021.00,Air Traffic Controllers
121,60,50,3,35-1011.00,Chefs and Head Cooks
122,60,50,5,11-3031.03,Investment Fund Managers
123,60,50,4,27-2042.00,Musicians and Singers
124,60,48,3,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
125,60,48,4,25-2012.00,"Kindergarten Teachers, Except Special Education"
126,60,48,4,13-1161.00,Market Research Analysts and Marketing Specialists
127,60,46,5,29-1141.02,Advanced Practice Psychiatric Nurses
128,60,46,4,21-2021.00,"Directors, Religious Activities and Education"
129,60,46,3,27-4014.00,Sound Engineering Technicians
130,60,45,4,25-4013.00,Museum Technicians and Conservators
131,58,50,4,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
132,56,66,5,19-1022.00,Microbiologists
133,56,59,5,25-1031.00,"Architecture Teachers, Postsecondary"
134,56,59,5,19-2043.00,Hydrologists
135,56,57,4,17-2051.00,Civil Engineers
136,56,57,5,19-3011.01,Environmental Economists
137,56,57,4,13-1081.01,Logistics Engineers
138,56,57,4,17-2141.00,Mechanical Engineers
139,56,57,5,19-1042.00,"Medical Scientists, Except Epidemiologists"
140,56,57,5,19-3051.00,Urban and Regional Planners
141,56,55,5,19-1011.00,Animal Scientists
142,56,55,5,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
143,56,55,5,29-1129.01,Art Therapists
144,56,55,5,19-1029.04,Biologists
145,56,55,5,15-2041.01,Biostatisticians
146,56,55,5,25-1032.00,"Engineering Teachers, Postsecondary"
147,56,55,4,17-2111.02,Fire-Prevention and Protection Engineers
148,56,55,5,29-1299.01,Naturopathic Physicians
149,56,55,4,13-1161.01,Search Marketing Strategists
150,56,55,5,29-1127.00,Speech-Language Pathologists
151,56,54,5,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
152,56,54,5,25-1123.00,"English Language and Literature Teachers, Postsecondary"
153,56,54,4,13-1131.00,Fundraisers
154,56,54,4,13-1111.00,Management Analysts
155,56,54,5,29-1022.00,Oral and Maxillofacial Surgeons
156,56,54,5,29-2091.00,Orthotists and Prosthetists
157,56,54,4,29-1125.00,Recreational Therapists
158,56,54,4,17-2051.01,Transportation Engineers
159,56,52,4,25-2032.00,"Career/Technical Education Teachers, Secondary School"
160,56,52,4,19-1031.00,Conservation Scientists
161,56,52,4,17-2199.03,"Energy Engineers, Except Wind and Solar"
162,56,52,4,19-1032.00,Foresters
163,56,52,3,17-3026.00,Industrial Engineering Technologists and Technicians
164,56,52,4,17-2161.00,Nuclear Engineers
165,56,52,5,29-1223.00,Psychiatrists
166,56,52,4,19-1031.02,Range Managers
167,56,50,5,25-2059.01,Adapted Physical Education Specialists
168,56,50,5,29-1141.04,Clinical Nurse Specialists
169,56,50,4,11-3021.00,Computer and Information Systems Managers
170,56,50,4,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
171,56,50,4,17-2071.00,Electrical Engineers
172,56,50,4,17-2112.00,Industrial Engineers
173,56,50,4,11-3031.01,Treasurers and Controllers
174,56,50,4,11-9121.02,Water Resource Specialists
175,56,48,4,41-3011.00,Advertising Sales Agents
176,56,48,4,25-2023.00,"Career/Technical Education Teachers, Middle School"
177,56,48,4,21-1091.00,Health Education Specialists
178,56,48,5,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
179,56,48,3,17-3013.00,Mechanical Drafters
180,56,48,4,19-4099.03,Remote Sensing Technicians
181,56,46,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
182,56,46,4,15-1299.09,Information Technology Project Managers
183,56,46,3,27-1026.00,Merchandise Displayers and Window Trimmers
184,56,46,4,11-3071.04,Supply Chain Managers
185,56,45,4,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
186,56,45,4,19-1023.00,Zoologists and Wildlife Biologists
187,54,48,4,11-3071.00,"Transportation, Storage, and Distribution Managers"
188,53,59,5,19-2032.00,Materials Scientists
189,53,55,5,29-1021.00,"Dentists, General"
190,53,55,5,19-2041.02,Environmental Restoration Planners
191,53,55,4,11-3051.00,Industrial Production Managers
192,53,55,5,29-1241.00,"Ophthalmologists, Except Pediatric"
193,53,55,5,19-3041.00,Sociologists
194,53,54,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
