,Importance,Level,Job Zone,Code,Occupation
0,100,84,5,29-1218.00,Obstetricians and Gynecologists
1,100,79,5,29-1211.00,Anesthesiologists
2,100,75,5,29-1215.00,Family Medicine Physicians
3,94,75,5,29-1229.03,Urologists
4,94,71,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
5,94,71,5,29-1151.00,Nurse Anesthetists Bright Outlook
6,94,66,3,53-2021.00,Air Traffic Controllers
7,91,71,5,29-1141.02,Advanced Practice Psychiatric Nurses
8,88,75,5,29-1229.01,Allergists and Immunologists
9,88,73,5,29-1229.06,Sports Medicine Physicians
10,88,71,5,29-1224.00,Radiologists
11,88,70,4,17-2161.00,Nuclear Engineers
12,88,61,3,33-3051.00,Police and Sheriff's Patrol Officers
13,85,82,5,29-1222.00,"Physicians, Pathologists"
14,85,80,5,29-1216.00,General Internal Medicine Physicians
15,85,61,5,19-3033.00,Clinical and Counseling Psychologists
16,81,82,5,29-1217.00,Neurologists
17,81,80,5,29-1241.00,"Ophthalmologists, Except Pediatric"
18,81,73,5,29-1021.00,"Dentists, General"
19,81,73,5,21-1014.00,Mental Health Counselors
20,81,73,5,29-1171.00,Nurse Practitioners
21,81,73,5,29-1221.00,"Pediatricians, General"
22,81,71,5,29-1213.00,Dermatologists
23,81,71,5,29-1299.01,Naturopathic Physicians
24,81,68,3,53-2012.00,Commercial Pilots
25,81,68,5,19-1041.00,Epidemiologists
26,81,63,4,21-1021.00,"Child, Family, and School Social Workers"
27,81,59,2,33-9031.00,Gambling Surveillance Officers and Gambling Investigators
28,78,79,5,29-1229.05,Preventive Medicine Physicians
29,78,77,5,29-1081.00,Podiatrists
30,78,73,5,29-1161.00,Nurse Midwives
31,78,71,4,29-1141.03,Critical Care Nurses
32,78,71,5,29-1041.00,Optometrists
33,78,71,5,29-1229.04,Physical Medicine and Rehabilitation Physicians
34,78,71,4,29-1141.00,Registered Nurses
35,78,70,4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
36,78,70,4,13-1041.01,Environmental Compliance Inspectors
37,78,70,5,21-1023.00,Mental Health and Substance Abuse Social Workers
38,78,70,5,29-1023.00,Orthodontists
39,78,68,3,29-1141.01,Acute Care Nurses
40,78,68,5,29-9091.00,Athletic Trainers
41,78,68,4,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
42,78,68,5,29-1071.00,Physician Assistants
43,78,66,4,13-1199.04,Business Continuity Planners
44,78,66,4,19-2041.00,"Environmental Scientists and Specialists, Including Health"
45,78,66,4,11-3051.01,Quality Control Systems Managers
46,78,64,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
47,78,64,3,33-2011.00,Firefighters
48,78,64,4,17-2199.08,Robotics Engineers
49,78,63,3,53-6051.01,Aviation Inspectors
50,78,63,4,11-9199.02,Compliance Managers
51,78,63,3,33-3021.00,Detectives and Criminal Investigators
52,78,63,5,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
53,78,61,3,53-2022.00,Airfield Operations Specialists
54,78,61,2,17-3029.01,Non-Destructive Testing Specialists
55,78,61,3,19-4051.02,Nuclear Monitoring Technicians
56,78,61,5,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
57,78,59,5,29-1071.01,Anesthesiologist Assistants
58,78,59,3,29-2031.00,Cardiovascular Technologists and Technicians
59,78,59,4,15-1299.08,Computer Systems Engineers/Architects
60,78,59,4,17-2199.03,"Energy Engineers, Except Wind and Solar"
61,78,59,4,13-1041.03,Equal Opportunity Representatives and Officers
62,78,59,4,29-1128.00,Exercise Physiologists
63,78,59,4,19-1012.00,Food Scientists and Technologists
64,78,59,4,33-3021.06,Intelligence Analysts
65,78,59,3,51-8011.00,Nuclear Power Reactor Operators
66,78,57,3,47-4011.00,Construction and Building Inspectors
67,78,57,3,33-1012.00,First-Line Supervisors of Police and Detectives
68,78,57,4,13-2099.04,"Fraud Examiners, Investigators and Analysts"
69,78,57,4,11-9199.08,Loss Prevention Managers
70,78,57,4,13-1111.00,Management Analysts
71,78,57,4,27-2012.03,Media Programming Directors
72,78,57,4,29-1129.02,Music Therapists
73,78,57,3,33-3052.00,Transit and Railroad Police
74,78,55,5,11-9033.00,"Education Administrators, Postsecondary"
75,78,55,3,33-2021.00,Fire Inspectors and Investigators
76,78,55,2,33-9093.00,Transportation Security Screeners
77,78,52,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
78,75,75,5,29-1229.02,Hospitalists
