,Importance,Level,Job Zone,Code,Occupation
0,94,84,5,29-1222.00,"Physicians, Pathologists"
1,94,75,5,29-1221.00,"Pediatricians, General"
2,88,79,5,29-1217.00,Neurologists
3,88,77,5,29-1229.02,Hospitalists
4,88,77,5,29-1218.00,Obstetricians and Gynecologists
5,88,71,5,29-1224.00,Radiologists
6,85,80,5,29-1229.05,Preventive Medicine Physicians
7,85,71,5,19-1041.00,Epidemiologists Bright Outlook
8,85,68,5,19-3091.00,Anthropologists and Archeologists
9,85,59,3,33-3021.00,Detectives and Criminal Investigators
10,81,77,5,29-1216.00,General Internal Medicine Physicians
11,81,77,5,29-1241.00,"Ophthalmologists, Except Pediatric"
12,81,75,5,19-1021.00,Biochemists and Biophysicists
13,81,75,5,19-1022.00,Microbiologists
14,81,75,5,29-1229.03,Urologists
15,81,71,5,15-2041.01,Biostatisticians
16,81,71,5,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
17,81,70,5,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
18,81,70,5,19-1029.03,Geneticists
19,81,70,5,29-1171.00,Nurse Practitioners
20,81,70,5,29-1229.06,Sports Medicine Physicians
21,81,68,5,29-1211.00,Anesthesiologists
22,81,64,4,19-2099.01,Remote Sensing Scientists and Technologists
23,81,63,5,15-2031.00,Operations Research Analysts
24,81,57,3,53-2021.00,Air Traffic Controllers
25,81,55,3,33-3051.00,Police and Sheriff's Patrol Officers
26,78,79,5,19-2012.00,Physicists
27,78,77,5,19-1029.02,Molecular and Cellular Biologists
28,78,75,5,29-1021.00,"Dentists, General"
29,78,75,5,29-1213.00,Dermatologists
30,78,75,5,19-1042.00,"Medical Scientists, Except Epidemiologists"
31,78,73,5,29-1215.00,Family Medicine Physicians
32,78,73,5,29-1299.01,Naturopathic Physicians
33,78,73,5,29-1081.00,Podiatrists
34,78,71,5,29-1229.01,Allergists and Immunologists
35,78,71,5,19-1029.04,Biologists
36,78,71,5,15-2021.00,Mathematicians
37,78,71,5,29-1229.04,Physical Medicine and Rehabilitation Physicians
38,78,70,5,29-1071.00,Physician Assistants
39,78,68,5,19-2011.00,Astronomers
40,78,68,4,17-2031.00,Bioengineers and Biomedical Engineers
41,78,68,4,33-3021.06,Intelligence Analysts
42,78,68,5,29-1223.00,Psychiatrists
43,78,68,5,15-2041.00,Statisticians
44,78,66,4,15-2011.00,Actuaries
45,78,66,5,15-1221.00,Computer and Information Research Scientists
46,78,66,5,19-2041.03,Industrial Ecologists
47,78,64,4,13-2061.00,Financial Examiners
48,78,64,5,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
49,78,64,5,19-2032.00,Materials Scientists
50,78,63,4,11-3031.01,Treasurers and Controllers
51,78,61,4,19-3092.00,Geographers
52,78,61,3,13-1041.04,Government Property Inspectors and Investigators
53,78,61,4,13-1161.00,Market Research Analysts and Marketing Specialists
54,78,61,5,19-3022.00,Survey Researchers
55,78,59,4,17-2021.00,Agricultural Engineers
56,78,59,4,13-1051.00,Cost Estimators
57,78,59,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
58,78,59,5,19-3032.00,Industrial-Organizational Psychologists
59,78,59,3,33-9021.00,Private Detectives and Investigators
60,78,59,5,19-3041.00,Sociologists
61,78,57,3,53-6051.01,Aviation Inspectors
62,78,57,4,13-1041.03,Equal Opportunity Representatives and Officers
63,78,57,4,33-3031.00,Fish and Game Wardens
64,75,71,5,21-1014.00,Mental Health Counselors
65,75,71,5,29-1022.00,Oral and Maxillofacial Surgeons
66,75,71,5,19-1013.00,Soil and Plant Scientists
67,75,70,5,29-1181.00,Audiologists
68,75,70,4,19-2031.00,Chemists
69,75,70,5,11-1011.00,Chief Executives
70,75,70,5,17-2199.09,Nanosystems Engineers
71,75,70,5,11-9121.00,Natural Sciences Managers
72,75,70,5,29-1041.00,Optometrists
73,75,70,4,29-1141.00,Registered Nurses
74,75,70,5,29-1131.00,Veterinarians
75,75,68,5,19-1011.00,Animal Scientists
76,75,68,3,13-1041.06,Coroners
77,75,68,4,13-1041.01,Environmental Compliance Inspectors
78,75,68,5,29-1299.02,Orthoptists
79,75,66,4,17-2141.02,Automotive Engineers
80,75,66,5,19-1029.01,Bioinformatics Scientists
81,75,66,4,19-2041.00,"Environmental Scientists and Specialists, Including Health"
82,75,66,5,29-9092.00,Genetic Counselors
83,75,66,5,17-2112.01,Human Factors Engineers and Ergonomists
84,75,66,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
85,75,65,4,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
86,75,64,4,15-2051.01,Business Intelligence Analysts
87,75,64,4,17-2081.00,Environmental Engineers
88,75,64,4,29-1128.00,Exercise Physiologists
89,75,64,5,25-1112.00,"Law Teachers, Postsecondary"
90,75,64,4,17-2199.07,Photonics Engineers
91,75,64,4,17-2199.08,Robotics Engineers
92,75,63,5,29-1011.00,Chiropractors
93,75,63,4,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
94,75,63,5,29-1141.04,Clinical Nurse Specialists
95,75,63,5,25-9021.00,Farm and Home Management Educators
96,75,63,4,17-2112.03,Manufacturing Engineers
97,75,63,4,17-2121.00,Marine Engineers and Naval Architects
98,75,63,5,21-1013.00,Marriage and Family Therapists
99,75,63,5,29-9099.01,Midwives
100,75,63,4,11-3051.01,Quality Control Systems Managers
101,75,63,5,19-3034.00,School Psychologists
102,75,63,5,29-1127.00,Speech-Language Pathologists
103,75,63,4,17-2051.01,Transportation Engineers
104,75,61,5,29-1141.02,Advanced Practice Psychiatric Nurses
105,75,61,4,17-2011.00,Aerospace Engineers
106,75,61,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
107,75,61,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
108,75,61,5,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
109,75,61,5,25-1042.00,"Biological Science Teachers, Postsecondary"
110,75,61,5,19-3011.00,Economists
111,75,61,4,17-2072.00,"Electronics Engineers, Except Computer"
112,75,61,4,11-9161.00,Emergency Management Directors
113,75,61,5,19-2041.02,Environmental Restoration Planners
114,75,61,4,17-2112.00,Industrial Engineers
115,75,61,5,23-1011.00,Lawyers
116,75,61,4,17-2131.00,Materials Engineers
117,75,61,5,21-1023.00,Mental Health and Substance Abuse Social Workers
118,75,61,5,29-1151.00,Nurse Anesthetists
119,75,61,5,29-1161.00,Nurse Midwives
120,75,61,4,19-5011.00,Occupational Health and Safety Specialists
121,75,61,5,29-2091.00,Orthotists and Prosthetists
122,75,61,5,25-1126.00,"Philosophy and Religion Teachers, Postsecondary"
123,75,59,5,17-1011.00,"Architects, Except Landscape and Naval"
124,75,59,4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
125,75,59,4,11-9199.02,Compliance Managers
126,75,59,4,17-2061.00,Computer Hardware Engineers
127,75,59,4,29-1141.03,Critical Care Nurses
128,75,59,5,29-1031.00,Dietitians and Nutritionists
129,75,59,5,11-9033.00,"Education Administrators, Postsecondary"
130,75,59,4,17-2071.00,Electrical Engineers
131,75,59,4,17-2199.03,"Energy Engineers, Except Wind and Solar"
132,75,59,5,25-1053.00,"Environmental Science Teachers, Postsecondary"
133,75,59,3,19-4092.00,Forensic Science Technicians
134,75,59,4,17-2141.01,Fuel Cell Engineers
135,75,59,4,17-1022.01,Geodetic Surveyors
136,75,59,4,15-1211.01,Health Informatics Specialists
137,75,59,4,15-1212.00,Information Security Analysts
138,75,59,4,13-1081.01,Logistics Engineers
139,75,59,4,13-1111.00,Management Analysts
