,Importance,Level,Job Zone,Code,Occupation
0,78,59,4,11-9021.00,Construction Managers Bright Outlook
1,78,57,4,15-2051.02,Clinical Data Managers
2,78,57,5,29-1151.00,Nurse Anesthetists
3,78,43,2,43-4071.00,File Clerks
4,75,71,5,19-2012.00,Physicists
5,75,68,5,15-2021.00,Mathematicians
6,75,66,4,17-2041.00,Chemical Engineers
7,75,64,4,17-2199.08,Robotics Engineers
8,75,63,4,17-2141.00,Mechanical Engineers
9,75,63,4,17-2199.07,Photonics Engineers
10,75,61,5,19-1021.00,Biochemists and Biophysicists
11,75,61,5,19-1029.01,Bioinformatics Scientists
12,75,61,4,15-1241.00,Computer Network Architects
13,75,61,5,19-1042.00,"Medical Scientists, Except Epidemiologists"
14,75,61,5,19-1022.00,Microbiologists
15,75,59,3,53-2021.00,Air Traffic Controllers
16,75,59,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
17,75,59,5,19-2011.00,Astronomers
18,75,59,5,11-1011.00,Chief Executives
19,75,59,4,17-2061.00,Computer Hardware Engineers
20,75,59,4,17-2072.00,"Electronics Engineers, Except Computer"
21,75,59,5,25-9021.00,Farm and Home Management Educators
22,75,59,5,29-1216.00,General Internal Medicine Physicians
23,75,59,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
24,75,59,4,17-2161.00,Nuclear Engineers
25,75,59,5,19-1013.00,Soil and Plant Scientists
26,75,57,3,29-1141.01,Acute Care Nurses
27,75,57,4,17-2011.00,Aerospace Engineers
28,75,57,3,49-3011.00,Aircraft Mechanics and Service Technicians
29,75,57,5,17-1011.00,"Architects, Except Landscape and Naval"
30,75,57,5,25-4011.00,Archivists
31,75,57,3,53-2012.00,Commercial Pilots
32,75,57,3,15-1211.00,Computer Systems Analysts
33,75,57,4,29-2011.01,Cytogenetic Technologists
34,75,57,4,17-2199.03,"Energy Engineers, Except Wind and Solar"
35,75,57,4,17-1022.01,Geodetic Surveyors
36,75,57,3,13-1041.04,Government Property Inspectors and Investigators
37,75,57,4,11-3051.00,Industrial Production Managers
38,75,57,5,19-3032.00,Industrial-Organizational Psychologists
39,75,57,4,33-3021.06,Intelligence Analysts
40,75,57,5,11-9121.00,Natural Sciences Managers
41,75,57,3,51-8011.00,Nuclear Power Reactor Operators
42,75,57,5,29-1171.00,Nurse Practitioners
43,75,57,5,29-1071.00,Physician Assistants
44,75,57,4,17-2051.02,Water/Wastewater Engineers
45,75,55,3,43-9031.00,Desktop Publishers
46,75,55,4,13-1081.00,Logisticians
47,75,55,3,19-4051.00,Nuclear Technicians
48,75,54,3,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
49,74,65,4,17-2121.00,Marine Engineers and Naval Architects
50,72,64,5,19-1029.02,Molecular and Cellular Biologists
51,72,63,5,29-1229.04,Physical Medicine and Rehabilitation Physicians
52,72,61,5,15-2041.01,Biostatisticians
53,72,61,4,19-2031.00,Chemists
54,72,61,4,17-2071.00,Electrical Engineers
55,72,61,5,17-2199.09,Nanosystems Engineers
56,72,61,5,29-1217.00,Neurologists
57,72,61,5,29-1022.00,Oral and Maxillofacial Surgeons
58,72,61,5,29-1229.05,Preventive Medicine Physicians
59,72,61,5,15-2041.00,Statisticians
