,Importance,Level,Job Zone,Code,Occupation
0,75,73,5,19-1021.00,Biochemists and Biophysicists Bright Outlook
1,75,71,5,19-1022.00,Microbiologists
2,75,70,4,17-2041.00,Chemical Engineers
3,75,68,5,19-1029.04,Biologists
4,75,68,4,17-2131.00,Materials Engineers
5,75,68,5,19-1029.02,Molecular and Cellular Biologists
6,75,64,5,19-1041.00,Epidemiologists
7,75,63,4,17-2112.03,Manufacturing Engineers
8,75,61,5,17-1011.00,"Architects, Except Landscape and Naval"
9,75,61,5,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
10,75,61,5,19-1042.00,"Medical Scientists, Except Epidemiologists"
11,75,59,5,19-1029.03,Geneticists
12,75,59,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
13,75,59,5,19-1013.00,Soil and Plant Scientists
14,75,57,4,15-2011.00,Actuaries
15,75,57,5,29-1216.00,General Internal Medicine Physicians
16,75,57,4,17-2161.00,Nuclear Engineers
17,75,57,4,17-2051.01,Transportation Engineers
18,75,55,5,25-4011.00,Archivists
19,75,50,2,43-4071.00,File Clerks
20,72,73,5,19-2012.00,Physicists
21,72,68,5,17-2199.09,Nanosystems Engineers
22,72,64,5,29-1229.05,Preventive Medicine Physicians
23,72,63,4,19-2031.00,Chemists
24,72,61,5,19-2032.00,Materials Scientists
25,72,61,5,29-1051.00,Pharmacists
26,72,59,5,29-1031.00,Dietitians and Nutritionists
27,72,59,5,29-1223.00,Psychiatrists
28,72,57,4,17-2021.00,Agricultural Engineers
29,72,57,5,19-1011.00,Animal Scientists
30,72,57,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
31,72,57,4,17-2071.00,Electrical Engineers
32,72,57,4,19-2041.00,"Environmental Scientists and Specialists, Including Health"
33,72,57,4,13-2061.00,Financial Examiners
34,72,57,4,17-2111.02,Fire-Prevention and Protection Engineers
35,72,57,4,19-1012.00,Food Scientists and Technologists
36,72,57,4,19-1032.00,Foresters
37,72,57,4,17-1012.00,Landscape Architects
38,72,57,5,11-9121.00,Natural Sciences Managers
39,72,57,4,17-2171.00,Petroleum Engineers
40,72,55,4,17-2199.08,Robotics Engineers
41,69,64,5,29-1217.00,Neurologists
42,69,63,5,15-1221.00,Computer and Information Research Scientists
43,69,61,5,19-3091.00,Anthropologists and Archeologists
44,69,61,5,29-1229.02,Hospitalists
45,69,59,5,19-1029.01,Bioinformatics Scientists
46,69,59,4,17-2051.00,Civil Engineers
47,69,59,5,25-4012.00,Curators
48,69,59,5,25-1032.00,"Engineering Teachers, Postsecondary"
49,69,59,3,19-4092.00,Forensic Science Technicians
