,Importance,Level,Job Zone,Code,Occupation
0,100,86,5,15-2021.00,Mathematicians
1,94,84,5,19-2012.00,Physicists Bright Outlook
2,94,68,5,15-2031.00,Operations Research Analysts
3,91,77,5,15-2041.00,Statisticians
4,91,71,4,15-2011.00,Actuaries
5,91,70,4,43-9111.00,Statistical Assistants
6,85,71,5,13-2099.01,Financial Quantitative Analysts
7,81,71,5,15-2041.01,Biostatisticians
8,81,68,5,25-1022.00,"Mathematical Science Teachers, Postsecondary"
9,78,70,5,19-2011.00,Astronomers
10,78,68,5,19-3011.01,Environmental Economists
11,75,68,5,19-1021.00,Biochemists and Biophysicists
12,75,68,4,17-1022.01,Geodetic Surveyors
13,75,61,4,17-2041.00,Chemical Engineers
14,75,61,5,19-3011.00,Economists
15,75,59,4,13-2031.00,Budget Analysts
16,75,59,4,13-1051.00,Cost Estimators
17,75,59,5,19-3022.00,Survey Researchers
18,75,59,4,17-1022.00,Surveyors
19,74,58,4,13-2011.00,Accountants and Auditors
20,72,70,4,17-2199.07,Photonics Engineers
21,72,68,4,17-2011.00,Aerospace Engineers
22,72,68,4,17-2141.02,Automotive Engineers
23,72,68,4,17-2051.00,Civil Engineers
24,72,68,4,17-2141.00,Mechanical Engineers
25,72,68,4,17-2199.08,Robotics Engineers
26,72,64,5,19-1029.02,Molecular and Cellular Biologists
27,72,64,4,17-2051.02,Water/Wastewater Engineers
28,72,63,4,17-2031.00,Bioengineers and Biomedical Engineers
29,72,63,5,19-1029.01,Bioinformatics Scientists
30,72,63,5,19-2043.00,Hydrologists
31,72,63,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
32,72,61,5,11-3031.03,Investment Fund Managers
33,72,61,4,19-2099.01,Remote Sensing Scientists and Technologists
34,72,61,4,17-2051.01,Transportation Engineers
35,72,61,4,11-3031.01,Treasurers and Controllers
36,72,59,5,11-9041.00,Architectural and Engineering Managers
37,72,59,5,19-1029.04,Biologists
38,72,59,4,17-2141.01,Fuel Cell Engineers
39,72,57,4,17-2199.03,"Energy Engineers, Except Wind and Solar"
40,72,57,5,19-1029.03,Geneticists
41,72,57,5,25-1054.00,"Physics Teachers, Postsecondary"
42,72,55,3,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
