,Importance,Level,Job Zone,Code,Occupation
0,72,57,2,27-2011.00,Actors Bright Outlook
1,63,57,4,27-2042.00,Musicians and Singers
2,53,48,5,21-2011.00,Clergy
3,53,46,5,19-1029.01,Bioinformatics Scientists
4,53,45,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
5,53,45,4,27-2032.00,Choreographers
6,53,45,2,39-1013.00,First-Line Supervisors of Gambling Services Workers
7,53,45,3,13-1041.04,Government Property Inspectors and Investigators
8,53,45,5,25-9031.00,Instructional Coordinators
9,53,43,5,29-1141.04,Clinical Nurse Specialists
10,53,43,5,25-9021.00,Farm and Home Management Educators
11,53,43,5,29-1161.00,Nurse Midwives
12,53,43,5,29-1229.05,Preventive Medicine Physicians
13,53,43,4,29-1141.00,Registered Nurses
14,50,54,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
15,50,52,4,27-2041.00,Music Directors and Composers
16,50,45,5,19-1021.00,Biochemists and Biophysicists
17,50,45,5,25-1052.00,"Chemistry Teachers, Postsecondary"
18,50,45,4,17-2081.00,Environmental Engineers
19,50,45,5,29-1171.00,Nurse Practitioners
20,50,45,5,29-1051.00,Pharmacists
21,50,45,3,33-3051.00,Police and Sheriff's Patrol Officers
22,50,45,3,17-3024.01,Robotics Technicians
23,50,45,4,41-9031.00,Sales Engineers
24,50,45,4,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
25,50,45,4,13-1151.00,Training and Development Specialists
26,50,43,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
27,50,43,3,53-2021.00,Air Traffic Controllers
28,50,43,5,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
29,50,43,5,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
30,50,43,5,19-1029.04,Biologists
31,50,43,4,25-2032.00,"Career/Technical Education Teachers, Secondary School"
32,50,43,5,29-1213.00,Dermatologists
33,50,43,5,25-1063.00,"Economics Teachers, Postsecondary"
34,50,43,4,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
