,Importance,Level,Job Zone,Code,Occupation
0,81,70,3,53-2021.00,Air Traffic Controllers
1,60,57,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
2,60,55,5,19-2012.00,Physicists Bright Outlook
3,60,52,4,29-1141.03,Critical Care Nurses
4,60,48,3,33-3021.00,Detectives and Criminal Investigators
5,56,57,5,29-1229.02,Hospitalists
6,56,48,3,13-1041.04,Government Property Inspectors and Investigators
7,56,46,4,27-2042.00,Musicians and Singers
8,56,46,5,29-1151.00,Nurse Anesthetists
9,56,41,3,33-3051.00,Police and Sheriff's Patrol Officers
10,53,57,5,29-1217.00,Neurologists
11,53,54,3,19-4092.00,Forensic Science Technicians
12,53,54,5,29-1222.00,"Physicians, Pathologists"
13,53,52,5,29-1224.00,Radiologists
14,53,52,5,29-1229.03,Urologists
15,53,48,2,33-9031.00,Gambling Surveillance Officers and Gambling Investigators
16,53,48,5,29-1229.05,Preventive Medicine Physicians
17,53,46,3,13-1041.06,Coroners
18,53,46,3,33-2011.00,Firefighters
19,53,46,3,33-2022.00,Forest Fire Inspectors and Prevention Specialists
20,53,46,4,11-3051.01,Quality Control Systems Managers
21,53,46,5,29-1127.00,Speech-Language Pathologists
22,53,45,5,29-1141.04,Clinical Nurse Specialists
23,53,45,4,11-9021.00,Construction Managers
24,53,45,3,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
25,53,45,2,11-9071.00,Gambling Managers
26,53,45,5,29-1171.00,Nurse Practitioners
27,53,45,5,29-1081.00,Podiatrists
28,53,45,4,27-2012.00,Producers and Directors
29,53,45,4,29-1141.00,Registered Nurses
30,53,45,3,33-3052.00,Transit and Railroad Police
31,53,43,2,45-2011.00,Agricultural Inspectors
32,53,41,3,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
33,50,52,4,17-2112.03,Manufacturing Engineers
34,50,52,5,15-2021.00,Mathematicians
35,50,50,3,53-2012.00,Commercial Pilots
36,50,50,5,21-1013.00,Marriage and Family Therapists
37,50,48,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
38,50,48,5,29-1229.06,Sports Medicine Physicians
39,50,46,5,29-1229.01,Allergists and Immunologists
40,50,46,5,19-3091.00,Anthropologists and Archeologists
41,50,46,4,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
42,50,46,3,15-1211.00,Computer Systems Analysts
43,50,46,5,19-1041.00,Epidemiologists
44,50,46,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
45,50,46,5,19-1029.02,Molecular and Cellular Biologists
46,50,45,5,17-1011.00,"Architects, Except Landscape and Naval"
47,50,45,5,19-1021.00,Biochemists and Biophysicists
48,50,45,3,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
49,50,45,5,11-1011.00,Chief Executives
50,50,45,4,13-1041.03,Equal Opportunity Representatives and Officers
51,50,45,4,17-1022.01,Geodetic Surveyors
52,50,45,4,27-2012.05,Media Technical Directors/Managers
53,50,45,4,29-2011.00,Medical and Clinical Laboratory Technologists
54,50,45,2,17-3029.01,Non-Destructive Testing Specialists
55,50,45,5,29-1161.00,Nurse Midwives
56,50,45,5,29-1229.04,Physical Medicine and Rehabilitation Physicians
57,50,45,3,17-3024.01,Robotics Technicians
58,50,45,4,17-1022.00,Surveyors
59,50,45,2,27-2023.00,"Umpires, Referees, and Other Sports Officials"
60,50,43,2,53-1041.00,Aircraft Cargo Handling Supervisors
61,50,43,5,29-1071.01,Anesthesiologist Assistants
62,50,43,5,29-1181.00,Audiologists
63,50,43,4,11-3051.04,Biomass Power Plant Managers
64,50,43,5,15-2041.01,Biostatisticians
65,50,43,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
66,50,43,3,29-2031.00,Cardiovascular Technologists and Technicians
67,50,43,4,25-2032.00,"Career/Technical Education Teachers, Secondary School"
68,50,43,4,17-2041.00,Chemical Engineers
69,50,43,3,19-4031.00,Chemical Technicians
70,50,43,2,51-9161.00,Computer Numerically Controlled Tool Operators
71,50,43,3,29-2032.00,Diagnostic Medical Sonographers
72,50,43,4,17-2072.00,"Electronics Engineers, Except Computer"
73,50,43,4,11-9161.00,Emergency Management Directors
74,50,43,5,25-9021.00,Farm and Home Management Educators
75,50,43,4,13-2061.00,Financial Examiners
76,50,43,4,11-3031.00,Financial Managers
77,50,43,4,33-3031.00,Fish and Game Wardens
