,Importance,Level,Job Zone,Code,Occupation
0,81,64,3,53-2021.00,Air Traffic Controllers
1,75,59,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
2,75,59,3,19-4092.00,Forensic Science Technicians Bright Outlook
3,75,59,4,17-1022.01,Geodetic Surveyors
4,72,64,5,19-2011.00,Astronomers
5,72,64,5,29-1224.00,Radiologists
6,72,59,4,13-1041.01,Environmental Compliance Inspectors
7,72,59,5,19-1022.00,Microbiologists
8,72,57,5,29-1041.00,Optometrists
9,72,55,4,29-1141.03,Critical Care Nurses
10,72,55,3,19-4051.00,Nuclear Technicians
11,72,55,5,29-1241.00,"Ophthalmologists, Except Pediatric"
12,69,63,5,29-1217.00,Neurologists
13,69,61,5,29-1222.00,"Physicians, Pathologists"
14,69,57,5,19-3091.00,Anthropologists and Archeologists
15,69,57,3,13-1041.04,Government Property Inspectors and Investigators
16,69,57,4,19-5011.00,Occupational Health and Safety Specialists
17,69,55,5,17-2199.09,Nanosystems Engineers
18,69,55,4,17-2199.08,Robotics Engineers
19,69,54,5,29-1211.00,Anesthesiologists
20,69,54,4,17-2111.02,Fire-Prevention and Protection Engineers
21,69,54,2,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
22,67,52,4,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
23,66,59,4,33-3021.06,Intelligence Analysts
24,66,57,4,17-2112.03,Manufacturing Engineers
25,66,57,5,29-1081.00,Podiatrists
26,66,55,5,17-1011.00,"Architects, Except Landscape and Naval"
27,66,55,5,19-1021.00,Biochemists and Biophysicists
28,66,55,4,17-2031.00,Bioengineers and Biomedical Engineers
29,66,55,5,29-2011.02,Cytotechnologists
30,66,55,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
31,66,55,3,33-3021.02,Police Identification and Records Officers
32,66,55,5,29-1229.05,Preventive Medicine Physicians
33,66,54,4,17-2051.00,Civil Engineers
34,66,54,3,53-2012.00,Commercial Pilots
35,66,54,5,19-1041.00,Epidemiologists
36,66,54,5,19-2043.00,Hydrologists
37,66,52,3,33-3021.00,Detectives and Criminal Investigators
38,66,52,3,49-9097.00,Signal and Track Switch Repairers
39,66,50,2,33-9031.00,Gambling Surveillance Officers and Gambling Investigators
40,66,50,2,53-4011.00,Locomotive Engineers
41,63,57,4,11-3051.01,Quality Control Systems Managers
42,63,55,4,17-2041.00,Chemical Engineers
43,63,55,4,29-2011.01,Cytogenetic Technologists
44,63,55,3,33-2011.00,Firefighters
45,63,55,3,33-2022.00,Forest Fire Inspectors and Prevention Specialists
46,63,55,5,29-1229.02,Hospitalists
47,63,55,2,33-9093.00,Transportation Security Screeners
48,63,54,2,45-2011.00,Agricultural Inspectors
49,63,54,3,13-1041.06,Coroners
50,63,54,5,29-1021.00,"Dentists, General"
51,63,54,3,33-2021.00,Fire Inspectors and Investigators
52,63,54,3,33-3051.00,Police and Sheriff's Patrol Officers
53,63,54,5,29-1229.06,Sports Medicine Physicians
54,63,52,4,13-1199.04,Business Continuity Planners
55,63,50,5,19-1029.03,Geneticists
56,63,48,4,19-2099.01,Remote Sensing Scientists and Technologists
57,63,43,2,53-4041.00,Subway and Streetcar Operators
58,63,41,1,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
59,60,59,4,19-4099.03,Remote Sensing Technicians
60,60,57,4,19-2021.00,Atmospheric and Space Scientists
61,60,57,5,29-1229.03,Urologists
62,60,55,4,19-1032.00,Foresters
63,60,55,5,29-1216.00,General Internal Medicine Physicians
64,60,55,5,19-2012.00,Physicists
65,60,54,4,19-2041.00,"Environmental Scientists and Specialists, Including Health"
66,60,54,5,29-1299.01,Naturopathic Physicians
67,60,54,5,29-1022.00,Oral and Maxillofacial Surgeons
68,60,52,3,49-3011.00,Aircraft Mechanics and Service Technicians
69,60,52,5,19-1029.01,Bioinformatics Scientists
70,60,52,4,15-2099.01,Bioinformatics Technicians
71,60,52,4,17-2141.01,Fuel Cell Engineers
72,60,50,4,17-1021.00,Cartographers and Photogrammetrists
73,60,50,4,19-2031.00,Chemists
74,60,50,4,19-1031.00,Conservation Scientists
75,60,50,1,47-5011.00,"Derrick Operators, Oil and Gas"
76,60,50,3,29-2032.00,Diagnostic Medical Sonographers
77,60,50,4,15-1299.02,Geographic Information Systems Technologists and Technicians
78,60,50,4,15-1212.00,Information Security Analysts
79,60,50,5,11-3031.03,Investment Fund Managers
80,60,50,4,17-2161.00,Nuclear Engineers
81,60,50,5,19-1013.00,Soil and Plant Scientists
82,60,48,3,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians
83,60,48,3,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
84,60,48,3,33-3051.04,Customs and Border Protection Officers
85,60,48,4,19-1012.00,Food Scientists and Technologists
86,60,48,4,13-2099.04,"Fraud Examiners, Investigators and Analysts"
87,60,48,3,17-3027.00,Mechanical Engineering Technologists and Technicians
88,60,48,4,27-2012.00,Producers and Directors
89,60,48,2,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
90,60,48,3,33-3052.00,Transit and Railroad Police
91,60,46,3,51-8011.00,Nuclear Power Reactor Operators
92,60,45,3,19-4051.02,Nuclear Monitoring Technicians
93,60,45,3,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
94,56,57,5,29-1127.00,Speech-Language Pathologists
95,56,55,5,19-2032.00,Materials Scientists
96,56,55,4,29-2011.00,Medical and Clinical Laboratory Technologists
97,56,55,2,53-5011.00,Sailors and Marine Oilers
98,56,54,5,29-1229.01,Allergists and Immunologists
99,56,54,5,29-1071.01,Anesthesiologist Assistants
100,56,54,5,19-1029.04,Biologists
101,56,54,3,49-9092.00,Commercial Divers
102,56,54,5,29-1213.00,Dermatologists
103,56,54,3,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
104,56,54,2,51-8092.00,Gas Plant Operators
105,56,54,5,19-2041.03,Industrial Ecologists
