,Importance,Level,Job Zone,Code,Occupation
0,78,63,3,53-2021.00,Air Traffic Controllers
1,78,61,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
2,75,57,3,19-4051.00,Nuclear Technicians
3,72,57,3,51-8011.00,Nuclear Power Reactor Operators
4,72,55,3,53-2012.00,Commercial Pilots
5,72,55,2,51-8092.00,Gas Plant Operators
6,69,57,2,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
7,69,55,5,29-1211.00,Anesthesiologists
8,69,55,4,29-1141.03,Critical Care Nurses Bright Outlook
9,69,54,2,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
10,69,54,2,53-4011.00,Locomotive Engineers
11,69,54,2,53-7072.00,"Pump Operators, Except Wellhead Pumpers"
12,69,52,5,29-1071.01,Anesthesiologist Assistants
13,69,48,2,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
14,69,46,2,53-5011.00,Sailors and Marine Oilers
15,69,45,3,51-9162.00,Computer Numerically Controlled Tool Programmers
16,66,55,2,49-9099.01,Geothermal Technicians
17,66,54,4,17-2051.00,Civil Engineers
18,66,54,3,11-3051.06,Hydroelectric Production Managers
19,66,50,2,53-5022.00,Motorboat Operators
20,66,48,3,13-1041.04,Government Property Inspectors and Investigators
21,66,48,3,19-4051.02,Nuclear Monitoring Technicians
22,66,45,2,53-7121.00,"Tank Car, Truck, and Ship Loaders"
23,66,43,2,53-4041.00,Subway and Streetcar Operators
24,63,55,2,51-9011.00,Chemical Equipment Operators and Tenders
25,63,54,4,13-1041.01,Environmental Compliance Inspectors
26,63,52,2,51-8091.00,Chemical Plant and System Operators
27,63,52,3,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
28,63,52,5,29-1217.00,Neurologists
29,63,50,3,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
30,63,48,5,29-1224.00,Radiologists
31,63,43,3,43-9031.00,Desktop Publishers
32,63,41,2,43-4071.00,File Clerks
33,63,39,2,43-9021.00,Data Entry Keyers
34,60,54,2,51-8099.01,Biofuels Processing Technicians
