,Importance,Level,Job Zone,Code,Occupation
0,75,66,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
1,72,55,2,53-5022.00,Motorboat Operators
2,72,50,2,53-3032.00,Heavy and Tractor-Trailer Truck Drivers Bright Outlook
3,69,63,3,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
4,66,43,2,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
5,66,41,2,53-3052.00,"Bus Drivers, Transit and Intercity"
6,63,57,3,53-2012.00,Commercial Pilots
7,63,45,2,53-3033.00,Light Truck Drivers
8,56,43,3,33-2011.00,Firefighters
9,53,48,4,17-1022.00,Surveyors
10,53,46,4,33-3031.00,Fish and Game Wardens
11,53,45,2,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
12,53,45,2,53-4011.00,Locomotive Engineers
13,53,43,2,53-7051.00,Industrial Truck and Tractor Operators
14,53,41,2,49-9095.00,Manufactured Building and Mobile Home Installers
15,53,39,2,53-6021.00,Parking Attendants
16,50,43,3,49-9092.00,Commercial Divers
17,50,43,2,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
18,50,41,2,47-5081.00,Helpers--Extraction Workers
19,50,41,1,45-4022.00,Logging Equipment Operators
20,50,41,2,53-5011.00,Sailors and Marine Oilers
21,50,39,3,53-7021.00,Crane and Tower Operators
22,50,39,2,47-2072.00,Pile Driver Operators
23,50,36,2,37-3013.00,Tree Trimmers and Pruners
24,47,43,2,47-2073.00,Operating Engineers and Other Construction Equipment Operators
25,47,41,2,53-4041.00,Subway and Streetcar Operators
26,47,39,2,47-5043.00,"Roof Bolters, Mining"
27,47,38,1,45-4021.00,Fallers
28,47,37,3,33-3051.00,Police and Sheriff's Patrol Officers
29,47,36,2,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators"
30,47,30,2,49-9051.00,Electrical Power-Line Installers and Repairers
31,45,Not available,1,45-3031.00,Fishing and Hunting Workers
32,44,37,2,47-5041.00,Continuous Mining Machine Operators
33,44,37,3,19-4071.00,Forest and Conservation Technicians
34,44,36,2,47-4051.00,Highway Maintenance Workers
35,44,34,2,45-4011.00,Forest and Conservation Workers
36,44,34,2,47-5044.00,"Loading and Moving Machine Operators, Underground Mining"
37,44,34,2,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
38,44,32,2,43-5021.00,Couriers and Messengers
39,44,30,3,47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
40,44,30,2,47-5013.00,"Service Unit Operators, Oil and Gas"
41,44,29,2,53-7121.00,"Tank Car, Truck, and Ship Loaders"
42,44,25,2,53-7041.00,Hoist and Winch Operators
43,41,39,3,49-9097.00,Signal and Track Switch Repairers
44,41,39,3,33-3052.00,Transit and Railroad Police
45,41,37,4,19-1032.00,Foresters
46,41,36,2,47-2031.00,Carpenters
47,41,36,3,13-1041.04,Government Property Inspectors and Investigators
48,41,36,2,39-7012.00,Travel Guides
49,41,34,2,53-7031.00,Dredge Operators
50,41,34,2,47-5023.00,"Earth Drillers, Except Oil and Gas"
51,41,32,2,39-6011.00,Baggage Porters and Bellhops
52,41,32,1,47-5011.00,"Derrick Operators, Oil and Gas"
53,41,32,1,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
54,41,32,2,47-3016.00,Helpers--Roofers
55,41,32,2,33-3041.00,Parking Enforcement Workers
56,41,32,2,37-2021.00,Pest Control Workers
57,41,32,1,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
58,41,31,2,53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
59,41,30,2,53-3031.00,Driver/Sales Workers
60,41,30,2,47-2221.00,Structural Iron and Steel Workers
61,38,34,3,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
62,38,34,2,47-4091.00,Segmental Pavers
63,38,32,2,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
64,38,32,2,53-4031.00,Railroad Conductors and Yardmasters
65,38,32,3,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
66,38,30,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
67,38,30,3,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
68,38,29,2,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
69,38,29,2,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall"
70,38,29,2,49-9044.00,Millwrights
71,38,Not available,3,33-3021.00,Detectives and Criminal Investigators
72,35,36,3,33-2021.00,Fire Inspectors and Investigators
73,35,34,3,53-2022.00,Airfield Operations Specialists
74,35,34,3,49-3023.00,Automotive Service Technicians and Mechanics
75,35,34,3,33-2022.00,Forest Fire Inspectors and Prevention Specialists
76,35,32,4,19-1031.02,Range Managers
77,35,32,2,47-2171.00,Reinforcing Iron and Rebar Workers
78,35,30,2,51-8099.01,Biofuels Processing Technicians
79,35,30,2,53-7081.00,Refuse and Recyclable Material Collectors
80,35,30,2,47-2211.00,Sheet Metal Workers
81,35,30,2,27-2023.00,"Umpires, Referees, and Other Sports Officials"
82,35,29,3,11-3051.06,Hydroelectric Production Managers
83,35,29,2,33-9032.00,Security Guards
84,35,27,1,47-2051.00,Cement Masons and Concrete Finishers
85,35,27,2,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
86,35,25,4,19-1031.00,Conservation Scientists
87,35,25,2,51-4051.00,Metal-Refining Furnace Operators and Tenders
88,31,32,3,33-1012.00,First-Line Supervisors of Police and Detectives
89,31,32,3,19-4012.01,Precision Agriculture Technicians
90,31,32,3,47-2152.04,Solar Thermal Installers and Technicians
91,31,30,3,17-3027.01,Automotive Engineering Technicians
92,31,30,2,47-2061.00,Construction Laborers
93,31,30,2,49-9011.00,Mechanical Door Repairers
94,31,30,2,43-5041.00,"Meter Readers, Utilities"
95,31,30,3,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers"
96,31,29,1,45-2091.00,Agricultural Equipment Operators
97,31,29,2,47-2041.00,Carpet Installers
98,31,29,3,49-3041.00,Farm Equipment Mechanics and Service Technicians
99,31,29,2,47-4031.00,Fence Erectors
100,31,29,2,47-2151.00,Pipelayers
101,31,29,2,43-5052.00,Postal Service Mail Carriers
102,31,29,2,49-9096.00,Riggers
103,31,29,2,47-5012.00,"Rotary Drill Operators, Oil and Gas"
104,31,29,2,47-2231.00,Solar Photovoltaic Installers
105,31,29,2,49-9052.00,Telecommunications Line Installers and Repairers
106,31,29,2,47-2044.00,Tile and Stone Setters
107,31,27,2,53-6031.00,Automotive and Watercraft Service Attendants
108,31,27,4,27-2032.00,Choreographers
109,31,27,2,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
110,31,27,3,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
111,31,27,1,47-5051.00,"Rock Splitters, Quarry"
112,31,25,5,17-1011.00,"Architects, Except Landscape and Naval"
113,31,25,2,47-2081.00,Drywall and Ceiling Tile Installers
114,31,25,3,47-2022.00,Stonemasons
115,28,32,3,47-2111.00,Electricians
116,28,30,2,33-3012.00,Correctional Officers and Jailers
117,28,30,2,49-9099.01,Geothermal Technicians
118,28,30,2,53-7072.00,"Pump Operators, Except Wellhead Pumpers"
119,28,30,2,53-7062.04,Recycling and Reclamation Workers
120,28,30,2,47-4099.03,Weatherization Installers and Technicians
121,28,29,2,53-1041.00,Aircraft Cargo Handling Supervisors
122,28,29,3,49-3011.00,Aircraft Mechanics and Service Technicians
123,28,29,2,47-2021.00,Brickmasons and Blockmasons
124,28,29,3,47-4021.00,Elevator and Escalator Installers and Repairers
125,28,29,3,47-4011.01,Energy Auditors
126,28,29,3,33-1011.00,First-Line Supervisors of Correctional Officers
127,28,29,3,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
128,28,29,3,51-8013.04,Hydroelectric Plant Technicians
129,28,29,2,45-4023.00,Log Graders and Scalers
130,28,29,4,19-1031.03,Park Naturalists
131,28,29,3,49-2098.00,Security and Fire Alarm Systems Installers
132,28,27,3,47-2011.00,Boilermakers
133,28,27,2,51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
134,28,27,4,13-1041.01,Environmental Compliance Inspectors
135,28,27,2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
136,28,27,2,51-8092.00,Gas Plant Operators
137,28,27,3,47-4041.00,Hazardous Materials Removal Workers
138,28,27,2,47-3012.00,Helpers--Carpenters
139,28,27,2,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers"
140,28,27,2,17-3029.01,Non-Destructive Testing Specialists
141,28,27,2,33-9099.02,Retail Loss Prevention Specialists
142,28,27,3,53-6041.00,Traffic Technicians
143,28,27,2,53-7073.00,Wellhead Pumpers
144,28,27,4,19-1023.00,Zoologists and Wildlife Biologists
145,28,25,3,49-2097.00,Audiovisual Equipment Installers and Repairers
146,28,25,2,51-9011.00,Chemical Equipment Operators and Tenders
147,28,25,2,51-9161.00,Computer Numerically Controlled Tool Operators
148,28,25,3,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
149,28,25,2,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
150,28,25,2,49-9045.00,"Refractory Materials Repairers, Except Brickmasons"
151,28,25,2,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
152,28,25,2,49-3093.00,Tire Repairers and Changers
153,28,23,2,33-9011.00,Animal Control Workers
154,28,23,1,37-3011.00,Landscaping and Groundskeeping Workers
155,28,23,2,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
156,28,23,4,11-9081.00,Lodging Managers
157,28,23,3,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers"
158,28,23,2,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
159,28,23,2,51-4052.00,"Pourers and Casters, Metal"
160,28,23,3,51-8021.00,Stationary Engineers and Boiler Operators
161,28,21,3,27-4031.00,"Camera Operators, Television, Video, and Film"
162,28,21,2,53-7061.00,Cleaners of Vehicles and Equipment
163,28,21,3,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers"
164,28,20,2,51-7011.00,Cabinetmakers and Bench Carpenters
165,28,20,2,47-2132.00,"Insulation Workers, Mechanical"
166,28,20,3,13-1032.00,"Insurance Appraisers, Auto Damage"
167,28,20,5,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
168,25,30,4,17-1022.01,Geodetic Surveyors
169,25,30,2,49-3043.00,Rail Car Repairers
170,25,30,1,47-5071.00,"Roustabouts, Oil and Gas"
171,25,29,2,45-2011.00,Agricultural Inspectors
172,25,29,3,53-6051.01,Aviation Inspectors
173,25,29,3,13-1041.00,Compliance Officers
174,25,29,5,25-9021.00,Farm and Home Management Educators
175,25,27,2,39-2011.00,Animal Trainers
176,25,27,2,49-3021.00,Automotive Body and Related Repairers
177,25,27,2,51-8013.03,Biomass Plant Technicians
178,25,27,3,47-4011.00,Construction and Building Inspectors
179,25,27,2,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
180,25,27,3,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
181,25,27,4,11-9161.00,Emergency Management Directors
182,25,27,2,51-2031.00,Engine and Other Machine Assemblers
183,25,27,4,17-3025.00,Environmental Engineering Technologists and Technicians
184,25,27,3,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
185,25,27,3,19-4092.00,Forensic Science Technicians
186,25,27,2,53-7071.00,Gas Compressor and Gas Pumping Station Operators
187,25,27,2,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
188,25,27,2,49-9094.00,Locksmiths and Safe Repairers
189,25,27,3,49-9071.00,"Maintenance and Repair Workers, General"
190,25,27,2,39-9011.01,Nannies
191,25,27,2,51-8013.00,Power Plant Operators
192,25,27,2,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
193,25,27,2,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation"
194,25,27,3,11-9199.09,Wind Energy Operations Managers
195,25,27,3,49-9081.00,Wind Turbine Service Technicians
196,25,25,2,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
197,25,25,2,53-6011.00,Bridge and Lock Tenders
198,25,25,3,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
199,25,25,4,19-4042.00,"Environmental Science and Protection Technicians, Including Health"
200,25,25,2,51-2051.00,Fiberglass Laminators and Fabricators
201,25,25,3,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
202,25,25,3,11-3051.02,Geothermal Production Managers
203,25,25,3,49-9041.00,Industrial Machinery Mechanics
204,25,25,2,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
205,25,25,3,51-4041.00,Machinists
206,25,25,2,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders"
