,Importance,Level,Job Zone,Code,Occupation
0,78,68,5,17-1011.00,"Architects, Except Landscape and Naval"
1,75,64,5,27-1027.00,Set and Exhibit Designers
2,75,61,3,51-6092.00,Fabric and Apparel Patternmakers
3,75,61,3,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators"
4,75,59,4,27-1025.00,Interior Designers
5,75,59,4,17-1012.00,Landscape Architects
6,75,57,4,17-2112.03,Manufacturing Engineers Bright Outlook
7,75,57,4,27-1014.00,Special Effects Artists and Animators
8,75,55,2,47-2221.00,Structural Iron and Steel Workers
9,72,66,4,17-2199.08,Robotics Engineers
10,72,59,4,11-9021.00,Construction Managers
11,72,57,2,47-2031.00,Carpenters
12,72,57,3,43-9031.00,Desktop Publishers
13,72,57,3,27-4021.00,Photographers
14,72,57,4,19-3099.01,Transportation Planners
15,72,55,4,27-1011.00,Art Directors
16,72,55,3,27-1026.00,Merchandise Displayers and Window Trimmers
17,72,54,2,49-3091.00,Bicycle Repairers
18,72,50,2,27-1023.00,Floral Designers
19,72,48,2,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
20,69,63,4,17-2121.00,Marine Engineers and Naval Architects
21,69,61,5,11-9041.00,Architectural and Engineering Managers
22,69,61,4,27-1021.00,Commercial and Industrial Designers
23,69,61,2,49-9095.00,Manufactured Building and Mobile Home Installers
24,69,59,4,17-2141.02,Automotive Engineers
25,69,59,4,17-2051.00,Civil Engineers
26,69,59,4,17-2051.01,Transportation Engineers
27,69,57,4,17-2051.02,Water/Wastewater Engineers
28,69,55,2,51-4192.00,"Layout Workers, Metal and Plastic"
29,69,55,2,49-9044.00,Millwrights
30,69,55,3,17-3024.01,Robotics Technicians
31,69,55,3,51-4111.00,Tool and Die Makers
32,69,54,3,49-9061.00,Camera and Photographic Equipment Repairers
33,69,54,3,27-4031.00,"Camera Operators, Television, Video, and Film"
34,69,54,3,51-9082.00,Medical Appliance Technicians
35,69,54,2,47-2044.00,Tile and Stone Setters
36,69,48,4,17-2021.00,Agricultural Engineers
37,66,61,5,19-2012.00,Physicists
38,66,57,3,17-3022.00,Civil Engineering Technologists and Technicians
39,66,57,5,29-2091.00,Orthotists and Prosthetists
40,66,57,4,27-2012.00,Producers and Directors
41,66,57,2,47-2211.00,Sheet Metal Workers
42,66,55,2,47-2021.00,Brickmasons and Blockmasons
43,66,55,3,17-3012.00,Electrical and Electronics Drafters
44,66,55,2,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers"
45,66,55,3,51-4061.00,"Model Makers, Metal and Plastic"
46,66,55,2,51-6093.00,Upholsterers
47,66,54,4,17-2031.00,Bioengineers and Biomedical Engineers
48,66,54,2,51-9081.00,Dental Laboratory Technicians
49,66,54,3,49-3041.00,Farm Equipment Mechanics and Service Technicians
50,66,54,4,27-4032.00,Film and Video Editors
51,66,54,3,51-9195.05,"Potters, Manufacturing"
52,66,54,2,47-2231.00,Solar Photovoltaic Installers
53,66,52,3,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
54,66,52,3,27-1022.00,Fashion Designers
55,66,52,3,49-9097.00,Signal and Track Switch Repairers
56,63,64,3,53-2021.00,Air Traffic Controllers
57,63,59,3,17-3011.00,Architectural and Civil Drafters
58,63,59,5,25-1031.00,"Architecture Teachers, Postsecondary"
59,63,57,3,17-3013.00,Mechanical Drafters
60,63,57,3,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
61,63,55,2,51-7011.00,Cabinetmakers and Bench Carpenters
62,63,55,3,27-1012.00,Craft Artists
63,63,55,4,17-2141.00,Mechanical Engineers
64,63,54,3,49-2097.00,Audiovisual Equipment Installers and Repairers
65,63,54,3,49-9063.00,Musical Instrument Repairers and Tuners
66,63,52,4,27-2032.00,Choreographers
67,63,52,3,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
68,63,52,5,17-2199.06,Microsystems Engineers
69,60,63,4,27-2022.00,Coaches and Scouts
70,60,59,4,17-2072.00,"Electronics Engineers, Except Computer"
71,60,59,5,29-1024.00,Prosthodontists
72,60,57,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
73,60,57,3,47-2111.00,Electricians
74,60,57,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
75,60,55,2,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
76,60,55,2,49-3021.00,Automotive Body and Related Repairers
77,60,55,3,51-9162.00,Computer Numerically Controlled Tool Programmers
78,60,55,2,51-7021.00,Furniture Finishers
79,60,55,3,17-3027.00,Mechanical Engineering Technologists and Technicians
80,60,55,3,51-7031.00,"Model Makers, Wood"
81,60,55,2,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
82,60,55,2,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics
83,60,54,3,49-9071.00,"Maintenance and Repair Workers, General"
84,60,52,3,49-3023.00,Automotive Service Technicians and Mechanics
85,60,52,3,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
86,60,52,5,29-1217.00,Neurologists
87,60,50,3,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers"
88,60,50,2,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
89,60,48,2,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders"
90,60,48,2,51-4194.00,"Tool Grinders, Filers, and Sharpeners"
91,60,46,3,53-6051.01,Aviation Inspectors
92,60,46,3,47-2011.00,Boilermakers
93,56,59,5,29-1022.00,Oral and Maxillofacial Surgeons
94,56,59,4,17-2199.07,Photonics Engineers
95,56,57,3,49-9041.00,Industrial Machinery Mechanics
96,56,57,3,49-9062.00,Medical Equipment Repairers
97,56,55,3,49-2091.00,Avionics Technicians
98,56,55,4,17-2061.00,Computer Hardware Engineers
99,56,55,5,25-4012.00,Curators
100,56,55,2,51-2031.00,Engine and Other Machine Assemblers
101,56,55,4,17-2141.01,Fuel Cell Engineers
102,56,55,3,39-5091.00,"Makeup Artists, Theatrical and Performance"
103,56,55,4,17-2131.00,Materials Engineers
104,56,55,3,51-7032.00,"Patternmakers, Wood"
105,56,54,3,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians
106,56,54,3,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
107,56,54,4,17-2041.00,Chemical Engineers
108,56,54,2,51-9161.00,Computer Numerically Controlled Tool Operators
109,56,54,5,29-1021.00,"Dentists, General"
110,56,54,3,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
111,56,54,2,49-9099.01,Geothermal Technicians
112,56,54,2,49-9031.00,Home Appliance Repairers
113,56,54,3,17-3026.00,Industrial Engineering Technologists and Technicians
114,56,54,2,49-9094.00,Locksmiths and Safe Repairers
115,56,54,4,17-2199.05,Mechatronics Engineers
116,56,54,3,47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
117,56,54,3,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
118,56,54,4,15-1255.01,Video Game Designers
119,56,52,2,53-1041.00,Aircraft Cargo Handling Supervisors
120,56,52,5,15-1221.00,Computer and Information Research Scientists
121,56,52,3,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
122,56,52,3,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians
123,56,52,4,17-2199.03,"Energy Engineers, Except Wind and Solar"
124,56,52,4,17-2111.02,Fire-Prevention and Protection Engineers
125,56,52,3,19-4071.00,Forest and Conservation Technicians
126,56,52,4,17-1022.01,Geodetic Surveyors
127,56,52,5,29-1224.00,Radiologists
128,56,52,4,19-4099.03,Remote Sensing Technicians
129,56,52,3,53-5031.00,Ship Engineers
130,56,52,5,29-1229.06,Sports Medicine Physicians
131,56,52,3,49-9081.00,Wind Turbine Service Technicians
132,56,51,4,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
133,56,50,5,19-3091.00,Anthropologists and Archeologists
134,56,50,2,47-2041.00,Carpet Installers
135,56,50,2,47-2081.00,Drywall and Ceiling Tile Installers
136,56,50,3,47-4021.00,Elevator and Escalator Installers and Repairers
137,56,50,3,33-2011.00,Firefighters
138,56,49,4,15-1299.02,Geographic Information Systems Technologists and Technicians
139,56,48,4,17-2011.00,Aerospace Engineers
140,56,48,5,19-1021.00,Biochemists and Biophysicists
141,56,48,4,17-1021.00,Cartographers and Photogrammetrists
142,56,48,1,47-5011.00,"Derrick Operators, Oil and Gas"
143,56,48,2,51-2051.00,Fiberglass Laminators and Fabricators
144,56,48,3,47-4041.00,Hazardous Materials Removal Workers
145,56,48,3,51-8013.04,Hydroelectric Plant Technicians
146,56,48,3,11-3051.06,Hydroelectric Production Managers
147,56,48,4,25-4013.00,Museum Technicians and Conservators
148,56,48,3,51-4062.00,"Patternmakers, Metal and Plastic"
149,56,48,2,51-5113.00,Print Binding and Finishing Workers
150,56,48,2,51-6051.00,"Sewers, Hand"
151,56,48,3,47-2022.00,Stonemasons
152,56,46,3,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
153,56,46,1,47-2051.00,Cement Masons and Concrete Finishers
154,56,46,2,47-5023.00,"Earth Drillers, Except Oil and Gas"
155,56,46,3,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
156,56,46,3,13-1041.04,Government Property Inspectors and Investigators
157,56,46,4,17-2171.00,Petroleum Engineers
158,56,46,3,51-5111.00,Prepress Technicians and Workers
159,56,46,2,51-9195.03,"Stone Cutters and Carvers, Manufacturing"
160,56,46,3,49-9064.00,Watch and Clock Repairers
161,56,46,2,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
162,56,45,4,11-2011.00,Advertising and Promotions Managers
163,56,45,3,49-9043.00,"Maintenance Workers, Machinery"
164,56,43,2,47-3016.00,Helpers--Roofers
165,56,41,2,53-7041.00,Hoist and Winch Operators
166,55,Not available,3,51-9071.00,Jewelers and Precious Stone and Metal Workers
167,53,57,3,49-3011.00,Aircraft Mechanics and Service Technicians
168,53,57,3,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
169,53,57,5,17-2112.01,Human Factors Engineers and Ergonomists
170,53,57,3,49-3052.00,Motorcycle Mechanics
171,53,57,4,17-2199.10,Wind Energy Engineers
172,53,55,4,17-2112.00,Industrial Engineers
173,53,55,3,51-4041.00,Machinists
174,53,55,5,19-2032.00,Materials Scientists
175,53,55,5,17-2199.09,Nanosystems Engineers
176,53,55,2,49-3043.00,Rail Car Repairers
177,53,55,2,49-9096.00,Riggers
178,53,54,2,51-2022.00,Electrical and Electronic Equipment Assemblers
179,53,54,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
180,53,54,4,27-2012.05,Media Technical Directors/Managers
181,53,54,4,17-1022.00,Surveyors
182,53,54,5,19-3051.00,Urban and Regional Planners
183,53,54,2,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
184,53,52,3,15-1211.00,Computer Systems Analysts
185,53,52,2,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
186,53,52,4,27-1024.00,Graphic Designers
187,53,52,5,29-1023.00,Orthodontists
188,53,52,5,29-1229.04,Physical Medicine and Rehabilitation Physicians
189,53,52,3,47-2152.04,Solar Thermal Installers and Technicians
190,53,52,3,51-2041.00,Structural Metal Fabricators and Fitters
191,53,52,3,15-1254.00,Web Developers
192,53,50,4,17-2071.00,Electrical Engineers
193,53,50,2,51-2023.00,Electromechanical Equipment Assemblers
194,53,50,4,11-9161.00,Emergency Management Directors
195,53,50,5,29-1081.00,Podiatrists
196,53,50,2,49-3092.00,Recreational Vehicle Service Technicians
197,53,48,4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
198,53,48,3,49-9092.00,Commercial Divers
199,53,48,3,53-2012.00,Commercial Pilots
200,53,48,2,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
201,53,48,5,25-1032.00,"Engineering Teachers, Postsecondary"
202,53,48,4,17-2081.00,Environmental Engineers
203,53,48,5,19-2041.02,Environmental Restoration Planners
204,53,48,2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
205,53,48,1,45-4021.00,Fallers
206,53,48,2,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
207,53,48,3,49-3051.00,Motorboat Mechanics and Service Technicians
208,53,48,2,53-4031.00,Railroad Conductors and Yardmasters
209,53,48,3,49-2098.00,Security and Fire Alarm Systems Installers
210,53,48,3,47-1011.03,Solar Energy Installation Managers
211,53,48,2,51-2061.00,Timing Device Assemblers and Adjusters
212,53,46,3,17-3027.01,Automotive Engineering Technicians
213,53,46,5,19-1029.04,Biologists
214,53,46,2,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers"
215,53,46,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
216,53,46,4,19-1032.00,Foresters
217,53,46,4,11-3051.00,Industrial Production Managers
218,53,46,2,47-2073.00,Operating Engineers and Other Construction Equipment Operators
219,53,46,2,47-2072.00,Pile Driver Operators
220,53,46,5,29-1229.05,Preventive Medicine Physicians
221,53,46,2,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
222,53,46,4,19-2099.01,Remote Sensing Scientists and Technologists
223,53,46,2,53-5011.00,Sailors and Marine Oilers
224,53,46,2,47-5013.00,"Service Unit Operators, Oil and Gas"
225,53,46,3,29-9093.00,Surgical Assistants
226,53,45,2,51-9191.00,Adhesive Bonding Machine Operators and Tenders
227,53,45,3,35-1011.00,Chefs and Head Cooks
228,53,45,3,19-4031.00,Chemical Technicians
229,53,45,2,51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
230,53,45,3,53-7021.00,Crane and Tower Operators
231,53,45,2,49-9051.00,Electrical Power-Line Installers and Repairers
232,53,45,2,51-9194.00,Etchers and Engravers
233,53,45,3,51-1011.00,First-Line Supervisors of Production and Operating Workers
234,53,45,2,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
235,53,45,2,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
236,53,45,2,47-4051.00,Highway Maintenance Workers
237,53,45,4,13-1081.00,Logisticians
238,53,45,2,51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
239,53,45,2,17-3029.01,Non-Destructive Testing Specialists
240,53,45,5,29-1151.00,Nurse Anesthetists
241,53,45,4,19-5011.00,Occupational Health and Safety Specialists
242,53,45,2,51-9083.00,Ophthalmic Laboratory Technicians
243,53,45,2,51-5112.00,Printing Press Operators
244,53,45,2,47-2053.00,Terrazzo Workers and Finishers
245,53,45,3,53-6041.00,Traffic Technicians
246,53,45,2,37-3013.00,Tree Trimmers and Pruners
247,53,45,2,47-4099.03,Weatherization Installers and Technicians
248,53,43,2,51-8013.03,Biomass Plant Technicians
249,53,43,3,39-4011.00,Embalmers
250,53,43,2,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
251,53,43,2,47-5081.00,Helpers--Extraction Workers
252,53,43,2,53-7051.00,Industrial Truck and Tractor Operators
253,53,43,2,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall"
254,53,43,1,45-4022.00,Logging Equipment Operators
255,53,43,4,17-2161.00,Nuclear Engineers
256,53,43,2,51-9151.00,Photographic Process Workers and Processing Machine Operators
257,53,43,1,47-2161.00,Plasterers and Stucco Masons
258,53,43,3,29-2034.00,Radiologic Technologists and Technicians
259,53,41,3,27-4014.00,Sound Engineering Technicians
260,52,47,4,17-3026.01,Nanotechnology Engineering Technologists and Technicians
261,52,45,3,17-3031.00,Surveying and Mapping Technicians
262,50,52,5,19-2043.00,Hydrologists
263,50,52,4,13-1081.01,Logistics Engineers
264,50,52,2,49-9011.00,Mechanical Door Repairers
265,50,52,3,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers"
266,50,50,3,27-4011.00,Audio and Video Technicians
267,50,50,4,19-2031.00,Chemists
268,50,50,2,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
269,50,50,3,19-4092.00,Forensic Science Technicians
270,50,50,5,19-1022.00,Microbiologists
271,50,50,2,53-5022.00,Motorboat Operators
272,50,50,3,19-4012.01,Precision Agriculture Technicians
273,50,50,4,17-2199.11,Solar Energy Systems Engineers
274,50,50,2,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders"
275,50,48,5,11-1011.00,Chief Executives
276,50,48,2,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
277,50,48,3,51-9071.06,Gem and Diamond Workers
278,50,48,2,47-3012.00,Helpers--Carpenters
279,50,46,5,19-2011.00,Astronomers
280,50,46,3,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
281,50,46,3,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
282,50,46,5,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
283,50,46,2,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers"
284,50,46,2,31-9093.00,Medical Equipment Preparers
285,50,46,2,53-7072.00,"Pump Operators, Except Wellhead Pumpers"
286,50,46,4,27-3042.00,Technical Writers
287,50,46,3,11-9199.09,Wind Energy Operations Managers
288,50,45,2,51-8099.01,Biofuels Processing Technicians
289,50,45,4,15-2099.01,Bioinformatics Technicians
290,50,45,4,19-4021.00,Biological Technicians
291,50,45,5,15-2041.01,Biostatisticians
292,50,45,3,27-4012.00,Broadcast Technicians
293,50,45,2,51-9011.00,Chemical Equipment Operators and Tenders
294,50,45,3,13-1041.06,Coroners
295,50,45,3,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
296,50,45,4,19-4042.00,"Environmental Science and Protection Technicians, Including Health"
297,50,45,5,19-1041.00,Epidemiologists
298,50,45,2,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
299,50,45,3,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
300,50,45,2,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
301,50,45,2,51-8092.00,Gas Plant Operators
302,50,45,4,19-3092.00,Geographers
303,50,45,2,47-2121.00,Glaziers
304,50,45,2,47-3013.00,Helpers--Electricians
305,50,45,5,29-1241.00,"Ophthalmologists, Except Pediatric"
306,50,45,3,17-3029.08,Photonics Technicians
307,50,45,4,29-1141.00,Registered Nurses
308,50,45,2,47-2171.00,Reinforcing Iron and Rebar Workers
309,50,45,2,47-5012.00,"Rotary Drill Operators, Oil and Gas"
310,50,45,2,47-4091.00,Segmental Pavers
311,50,45,2,49-9052.00,Telecommunications Line Installers and Repairers
312,50,43,3,53-2022.00,Airfield Operations Specialists
313,50,43,5,29-1129.01,Art Therapists
314,50,43,5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
315,50,43,2,53-6031.00,Automotive and Watercraft Service Attendants
316,50,43,2,49-3022.00,Automotive Glass Installers and Repairers
317,50,43,3,39-5011.00,Barbers
318,50,43,4,11-3021.00,Computer and Information Systems Managers
319,50,43,3,47-4011.00,Construction and Building Inspectors
320,50,43,2,47-5041.00,Continuous Mining Machine Operators
321,50,43,1,53-7011.00,Conveyor Operators and Tenders
322,50,43,4,13-1051.00,Cost Estimators
323,50,43,2,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
324,50,43,4,15-1242.00,Database Administrators
325,50,43,3,29-2032.00,Diagnostic Medical Sonographers
326,50,43,3,47-4011.01,Energy Auditors
327,50,43,4,13-1041.01,Environmental Compliance Inspectors
328,50,43,2,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
329,50,43,5,25-9021.00,Farm and Home Management Educators
330,50,43,3,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
331,50,43,2,45-4011.00,Forest and Conservation Workers
332,50,43,2,51-4071.00,Foundry Mold and Coremakers
333,50,43,3,11-3051.02,Geothermal Production Managers
334,50,43,2,53-3032.00,Heavy and Tractor-Trailer Truck Drivers
335,50,43,5,29-1229.02,Hospitalists
336,50,43,2,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
337,50,43,5,25-9031.00,Instructional Coordinators
338,50,43,2,47-5044.00,"Loading and Moving Machine Operators, Underground Mining"
339,50,43,2,53-4011.00,Locomotive Engineers
340,50,43,4,11-2021.00,Marketing Managers
341,50,43,4,29-2011.00,Medical and Clinical Laboratory Technologists
342,50,43,4,13-1121.00,"Meeting, Convention, and Event Planners"
343,50,43,2,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic"
344,50,43,2,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
345,50,43,5,29-1041.00,Optometrists
346,50,43,2,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators"
347,50,43,2,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
348,50,43,3,31-2021.00,Physical Therapist Assistants
349,50,43,2,47-2151.00,Pipelayers
350,50,43,3,51-8012.00,Power Distributors and Dispatchers
351,50,43,2,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
352,50,43,2,47-5043.00,"Roof Bolters, Mining"
353,50,43,2,47-2181.00,Roofers
354,50,43,1,47-5071.00,"Roustabouts, Oil and Gas"
355,50,43,2,51-9141.00,Semiconductor Processing Technicians
356,50,43,2,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
357,50,43,1,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
358,50,43,1,51-6031.00,Sewing Machine Operators
359,50,43,2,51-6041.00,Shoe and Leather Workers and Repairers
360,50,43,3,29-2055.00,Surgical Technologists
361,50,43,2,53-7121.00,"Tank Car, Truck, and Ship Loaders"
362,50,43,2,51-2092.00,Team Assemblers
363,50,43,2,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders
364,50,43,2,51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
365,50,41,2,27-2021.00,Athletes and Sports Competitors
366,50,41,2,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
367,50,41,2,51-9022.00,"Grinding and Polishing Workers, Hand"
368,50,41,2,51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
369,50,41,5,29-1161.00,Nurse Midwives
370,50,41,2,51-9111.00,Packaging and Filling Machine Operators and Tenders
371,50,41,2,37-2021.00,Pest Control Workers
372,50,41,3,29-1124.00,Radiation Therapists
373,50,41,1,47-5051.00,"Rock Splitters, Quarry"
374,50,41,2,51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
375,50,39,2,35-2012.00,"Cooks, Institution and Cafeteria"
376,50,39,1,37-3011.00,Landscaping and Groundskeeping Workers
377,50,32,1,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers"
378,49,44,1,45-3031.00,Fishing and Hunting Workers
379,49,43,2,53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
380,47,50,5,19-1029.01,Bioinformatics Scientists
381,47,50,2,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
382,47,50,4,15-1244.00,Network and Computer Systems Administrators
383,47,48,4,15-1299.08,Computer Systems Engineers/Architects
384,47,48,4,15-1211.01,Health Informatics Specialists
385,47,48,3,19-4051.00,Nuclear Technicians
386,47,48,3,41-4011.07,Solar Sales Representatives and Assessors
387,47,48,2,51-4121.00,"Welders, Cutters, Solderers, and Brazers"
388,47,46,4,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
389,47,46,4,15-1231.00,Computer Network Support Specialists
390,47,46,4,17-3025.00,Environmental Engineering Technologists and Technicians
391,47,46,4,53-6051.00,Transportation Inspectors
392,47,45,2,41-9011.00,Demonstrators and Product Promoters
393,47,45,2,47-4031.00,Fence Erectors
394,47,45,2,51-8013.00,Power Plant Operators
395,47,45,4,17-2072.01,Radio Frequency Identification Device Specialists
396,47,45,4,41-9031.00,Sales Engineers
397,47,45,2,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood"
398,47,45,4,11-9121.02,Water Resource Specialists
399,47,45,4,11-9199.10,Wind Energy Development Managers
400,47,43,5,29-1071.01,Anesthesiologist Assistants
401,47,43,2,51-3011.00,Bakers
402,47,43,5,29-1011.00,Chiropractors
403,47,43,4,19-1031.00,Conservation Scientists
404,47,43,2,33-3012.00,Correctional Officers and Jailers
405,47,43,4,29-2011.01,Cytogenetic Technologists
406,47,43,4,15-1243.00,Database Architects
407,47,43,3,29-1292.00,Dental Hygienists
408,47,43,4,27-3041.00,Editors
409,47,43,4,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
410,47,43,2,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
