,Importance,Level,Job Zone,Code,Occupation
0,88,70,3,53-2021.00,Air Traffic Controllers
1,75,59,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
2,75,57,2,33-9031.00,Gambling Surveillance Officers and Gambling Investigators Bright Outlook
3,75,57,2,53-4011.00,Locomotive Engineers
4,72,57,3,19-4051.00,Nuclear Technicians
5,72,57,2,43-5031.00,Public Safety Telecommunicators
6,72,55,5,29-1211.00,Anesthesiologists
7,72,55,5,29-1021.00,"Dentists, General"
8,69,57,3,53-2012.00,Commercial Pilots
9,69,55,3,19-4051.02,Nuclear Monitoring Technicians
10,69,54,2,51-8091.00,Chemical Plant and System Operators
11,69,54,4,29-1141.03,Critical Care Nurses
12,69,54,4,29-1129.02,Music Therapists
13,69,52,5,29-1071.01,Anesthesiologist Assistants
14,69,45,3,33-3011.00,Bailiffs
15,69,43,3,27-3092.00,Court Reporters and Simultaneous Captioners
16,69,43,2,47-2221.00,Structural Iron and Steel Workers
17,66,54,5,29-1022.00,Oral and Maxillofacial Surgeons
18,66,54,2,33-9093.00,Transportation Security Screeners
19,66,46,5,19-2011.00,Astronomers
20,66,46,3,17-3024.01,Robotics Technicians
21,66,46,2,53-4041.00,Subway and Streetcar Operators
22,66,45,5,29-1229.01,Allergists and Immunologists
23,63,57,5,29-1151.00,Nurse Anesthetists
24,63,54,3,51-8013.04,Hydroelectric Plant Technicians
25,63,52,4,11-3051.03,Biofuels Production Managers
26,63,52,5,19-1022.00,Microbiologists
27,63,52,2,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
28,63,50,2,53-1041.00,Aircraft Cargo Handling Supervisors
29,63,50,3,33-1012.00,First-Line Supervisors of Police and Detectives
30,63,50,2,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers"
31,63,50,3,29-9093.00,Surgical Assistants
32,63,48,4,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
33,63,48,2,39-1013.00,First-Line Supervisors of Gambling Services Workers
34,63,48,5,17-2199.06,Microsystems Engineers
35,63,46,4,15-2099.01,Bioinformatics Technicians
36,63,46,3,17-3027.00,Mechanical Engineering Technologists and Technicians
37,63,46,2,47-5043.00,"Roof Bolters, Mining"
38,63,45,3,53-7021.00,Crane and Tower Operators
39,63,45,3,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
40,63,43,2,47-5041.00,Continuous Mining Machine Operators
41,63,43,3,13-1041.04,Government Property Inspectors and Investigators
42,63,43,5,23-1011.00,Lawyers
43,61,50,2,53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
44,61,49,4,17-3026.01,Nanotechnology Engineering Technologists and Technicians
45,60,57,2,47-5012.00,"Rotary Drill Operators, Oil and Gas"
46,60,55,2,33-9032.00,Security Guards
47,60,55,3,53-5031.00,Ship Engineers
48,60,55,3,29-2055.00,Surgical Technologists
49,60,54,2,33-3012.00,Correctional Officers and Jailers
50,60,54,4,15-1255.01,Video Game Designers
51,60,52,2,51-8099.01,Biofuels Processing Technicians
52,60,52,5,19-1029.01,Bioinformatics Scientists
53,60,52,5,21-1014.00,Mental Health Counselors
54,60,52,3,51-7031.00,"Model Makers, Wood"
55,60,52,2,53-5022.00,Motorboat Operators
56,60,50,4,19-4021.00,Biological Technicians
57,60,50,1,47-5011.00,"Derrick Operators, Oil and Gas"
58,60,50,2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
59,60,50,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
60,60,50,2,33-9099.02,Retail Loss Prevention Specialists
61,60,48,3,33-2021.00,Fire Inspectors and Investigators
62,60,48,2,51-8092.00,Gas Plant Operators
63,60,48,3,51-8011.00,Nuclear Power Reactor Operators
64,60,48,5,29-1241.00,"Ophthalmologists, Except Pediatric"
65,60,46,2,53-3052.00,"Bus Drivers, Transit and Intercity"
66,60,46,4,27-4032.00,Film and Video Editors
67,60,46,4,17-2141.01,Fuel Cell Engineers
68,60,46,2,51-4051.00,Metal-Refining Furnace Operators and Tenders
69,60,46,3,33-9021.00,Private Detectives and Investigators
70,60,46,2,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
71,60,46,3,27-4014.00,Sound Engineering Technicians
72,60,46,5,25-2051.00,"Special Education Teachers, Preschool"
