,Importance,Level,Job Zone,Code,Occupation
0,78,80,3,53-2021.00,Air Traffic Controllers
1,75,61,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
2,63,55,3,53-2012.00,Commercial Pilots
3,56,52,2,43-5031.00,Public Safety Telecommunicators
4,56,50,2,53-4011.00,Locomotive Engineers
5,56,46,2,53-3052.00,"Bus Drivers, Transit and Intercity Bright Outlook"
6,56,46,3,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
7,56,46,2,53-5022.00,Motorboat Operators
8,56,45,2,53-1041.00,Aircraft Cargo Handling Supervisors
9,56,45,3,33-3021.00,Detectives and Criminal Investigators
10,56,45,4,25-2021.00,"Elementary School Teachers, Except Special Education"
11,56,45,2,53-4041.00,Subway and Streetcar Operators
12,56,43,4,11-3051.03,Biofuels Production Managers
13,53,45,2,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
14,53,45,3,35-1011.00,Chefs and Head Cooks
15,53,45,3,13-1041.04,Government Property Inspectors and Investigators
16,53,45,2,49-9095.00,Manufactured Building and Mobile Home Installers
17,53,45,4,27-2012.05,Media Technical Directors/Managers
18,53,45,5,29-1151.00,Nurse Anesthetists
19,53,45,4,27-2012.00,Producers and Directors
20,53,45,4,29-1141.00,Registered Nurses
21,53,45,2,27-2023.00,"Umpires, Referees, and Other Sports Officials"
22,53,43,5,29-1141.04,Clinical Nurse Specialists
23,53,43,3,49-9092.00,Commercial Divers
24,53,43,2,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
25,53,43,2,33-9031.00,Gambling Surveillance Officers and Gambling Investigators
26,53,43,3,11-3051.06,Hydroelectric Production Managers
27,53,43,2,49-9044.00,Millwrights
28,53,43,5,29-1161.00,Nurse Midwives
29,53,41,3,11-3012.00,Administrative Services Managers
30,53,41,2,51-8099.01,Biofuels Processing Technicians
31,53,41,3,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
32,53,41,2,47-5044.00,"Loading and Moving Machine Operators, Underground Mining"
33,53,39,3,49-3023.00,Automotive Service Technicians and Mechanics
34,53,37,2,35-3031.00,Waiters and Waitresses
35,53,36,1,35-3023.01,Baristas
36,50,50,3,33-1012.00,First-Line Supervisors of Police and Detectives
