,Importance,Level,Job Zone,Code,Occupation
0,81,57,2,49-9044.00,Millwrights
1,78,54,2,51-6051.00,"Sewers, Hand"
2,75,59,2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
3,75,57,3,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines Bright Outlook"
4,75,57,3,51-7032.00,"Patternmakers, Wood"
5,75,55,3,49-9063.00,Musical Instrument Repairers and Tuners
6,75,55,2,47-2221.00,Structural Iron and Steel Workers
7,75,55,2,51-6093.00,Upholsterers
8,75,54,3,49-3041.00,Farm Equipment Mechanics and Service Technicians
9,75,54,2,47-3013.00,Helpers--Electricians
10,75,50,2,49-9095.00,Manufactured Building and Mobile Home Installers
11,75,46,2,47-5081.00,Helpers--Extraction Workers
12,72,75,5,29-1022.00,Oral and Maxillofacial Surgeons
13,72,66,5,29-1021.00,"Dentists, General"
14,72,59,3,49-3011.00,Aircraft Mechanics and Service Technicians
15,72,55,3,49-3023.00,Automotive Service Technicians and Mechanics
16,72,55,3,51-9195.05,"Potters, Manufacturing"
17,72,54,2,51-7011.00,Cabinetmakers and Bench Carpenters
18,72,54,2,47-2061.00,Construction Laborers
19,72,54,3,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
20,72,54,3,49-3052.00,Motorcycle Mechanics
21,72,54,2,49-3043.00,Rail Car Repairers
22,72,54,2,47-5043.00,"Roof Bolters, Mining"
23,72,54,2,37-3013.00,Tree Trimmers and Pruners
24,72,52,3,49-9041.00,Industrial Machinery Mechanics
25,72,50,2,51-4194.00,"Tool Grinders, Filers, and Sharpeners"
26,72,48,1,47-2051.00,Cement Masons and Concrete Finishers
27,72,48,3,49-9071.00,"Maintenance and Repair Workers, General"
28,72,46,3,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
29,72,46,2,49-9011.00,Mechanical Door Repairers
30,72,45,2,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
31,72,45,2,53-7071.00,Gas Compressor and Gas Pumping Station Operators
32,69,55,5,29-1023.00,Orthodontists
33,69,55,3,17-3024.01,Robotics Technicians
34,69,54,3,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
35,69,54,3,39-5091.00,"Makeup Artists, Theatrical and Performance"
36,69,52,2,49-3091.00,Bicycle Repairers
37,69,52,1,47-5011.00,"Derrick Operators, Oil and Gas"
38,69,52,1,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
39,69,50,2,51-9197.00,Tire Builders
40,69,48,3,47-2011.00,Boilermakers
41,69,48,3,27-1012.00,Craft Artists
42,69,48,2,47-5023.00,"Earth Drillers, Except Oil and Gas"
43,69,48,2,49-9031.00,Home Appliance Repairers
44,69,48,2,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
45,69,48,2,49-3092.00,Recreational Vehicle Service Technicians
46,69,48,2,53-7062.04,Recycling and Reclamation Workers
47,69,48,2,47-5012.00,"Rotary Drill Operators, Oil and Gas"
48,69,48,2,47-2053.00,Terrazzo Workers and Finishers
49,69,46,2,47-2021.00,Brickmasons and Blockmasons
50,69,46,3,49-9092.00,Commercial Divers
51,69,46,2,47-4031.00,Fence Erectors
52,69,46,2,51-4051.00,Metal-Refining Furnace Operators and Tenders
53,69,45,2,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
54,69,45,2,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
55,69,45,1,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
56,69,45,2,53-7121.00,"Tank Car, Truck, and Ship Loaders"
57,69,45,2,51-2092.00,Team Assemblers
