,Importance,Level,Job Zone,Code,Occupation
0,81,68,5,29-1021.00,"Dentists, General"
1,78,73,5,29-1022.00,Oral and Maxillofacial Surgeons
2,78,70,3,49-9064.00,Watch and Clock Repairers
3,78,61,2,51-6051.00,"Sewers, Hand"
4,75,61,3,49-9063.00,Musical Instrument Repairers and Tuners
5,75,59,3,49-3011.00,Aircraft Mechanics and Service Technicians
6,75,59,3,29-9093.00,Surgical Assistants
7,75,57,2,51-9081.00,Dental Laboratory Technicians
8,75,57,3,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
9,75,57,2,49-9044.00,Millwrights
10,75,57,5,29-1023.00,Orthodontists
11,75,57,2,51-6093.00,Upholsterers
12,75,Not available,2,51-2061.00,Timing Device Assemblers and Adjusters
13,74,68,3,51-9071.00,Jewelers and Precious Stone and Metal Workers
14,72,59,5,29-1241.00,"Ophthalmologists, Except Pediatric"
15,72,59,3,17-3024.01,Robotics Technicians
16,72,55,2,51-7011.00,Cabinetmakers and Bench Carpenters
17,72,55,3,27-1012.00,Craft Artists
18,72,55,3,49-3041.00,Farm Equipment Mechanics and Service Technicians Bright Outlook
19,72,55,3,49-9041.00,Industrial Machinery Mechanics
20,72,55,3,49-3052.00,Motorcycle Mechanics
21,72,55,2,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
22,72,54,2,49-3091.00,Bicycle Repairers
23,72,54,3,29-1292.00,Dental Hygienists
24,72,54,3,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
25,72,54,3,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
26,72,54,2,49-9094.00,Locksmiths and Safe Repairers
27,72,54,3,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
28,72,54,3,51-9195.05,"Potters, Manufacturing"
29,72,52,3,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
30,72,52,2,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders"
31,72,52,2,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics
32,72,50,2,49-9095.00,Manufactured Building and Mobile Home Installers
33,72,50,2,51-4194.00,"Tool Grinders, Filers, and Sharpeners"
34,72,48,3,47-2011.00,Boilermakers
35,72,45,2,53-7071.00,Gas Compressor and Gas Pumping Station Operators
36,69,59,5,29-1024.00,Prosthodontists
37,69,55,3,49-3023.00,Automotive Service Technicians and Mechanics
38,69,55,3,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
39,69,54,2,51-2022.00,Electrical and Electronic Equipment Assemblers
40,69,54,2,49-9031.00,Home Appliance Repairers
41,69,52,3,51-7031.00,"Model Makers, Wood"
42,69,50,3,49-9092.00,Commercial Divers
43,69,50,2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
44,69,50,2,51-9022.00,"Grinding and Polishing Workers, Hand"
45,69,50,3,49-9081.00,Wind Turbine Service Technicians
46,69,46,3,47-2111.00,Electricians
47,69,43,2,43-9021.00,Data Entry Keyers
48,66,63,3,51-9071.06,Gem and Diamond Workers
49,66,57,3,49-9062.00,Medical Equipment Repairers
50,66,55,3,49-9061.00,Camera and Photographic Equipment Repairers
51,66,55,3,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
52,66,55,5,29-1041.00,Optometrists
53,66,55,2,47-2221.00,Structural Iron and Steel Workers
54,66,54,3,49-2097.00,Audiovisual Equipment Installers and Repairers
55,66,54,3,49-2091.00,Avionics Technicians
56,66,54,5,29-2011.02,Cytotechnologists
57,66,54,2,49-9051.00,Electrical Power-Line Installers and Repairers
58,66,54,2,51-2023.00,Electromechanical Equipment Assemblers
