,Importance,Level,Job Zone,Code,Occupation
0,91,64,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
1,81,63,3,53-2012.00,Commercial Pilots
2,81,52,2,49-9095.00,Manufactured Building and Mobile Home Installers
3,78,59,3,53-7021.00,Crane and Tower Operators
4,78,59,2,47-2073.00,Operating Engineers and Other Construction Equipment Operators
5,78,57,2,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
6,78,57,2,47-2072.00,Pile Driver Operators
7,78,57,2,47-5043.00,"Roof Bolters, Mining"
8,78,57,2,53-4041.00,Subway and Streetcar Operators
9,75,80,5,29-1021.00,"Dentists, General"
10,75,77,5,29-1022.00,Oral and Maxillofacial Surgeons
11,75,59,3,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
12,75,59,2,49-9044.00,Millwrights
13,75,57,3,49-3011.00,Aircraft Mechanics and Service Technicians
14,75,57,2,47-5041.00,Continuous Mining Machine Operators
15,75,57,2,53-7031.00,Dredge Operators
16,75,57,2,47-5023.00,"Earth Drillers, Except Oil and Gas Bright Outlook"
17,75,57,3,49-3041.00,Farm Equipment Mechanics and Service Technicians
18,75,57,2,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
19,75,57,2,53-7051.00,Industrial Truck and Tractor Operators
20,75,57,2,53-4011.00,Locomotive Engineers
21,75,57,1,45-4022.00,Logging Equipment Operators
22,75,57,3,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
23,75,57,2,53-5022.00,Motorboat Operators
24,75,57,2,37-3013.00,Tree Trimmers and Pruners
25,75,57,3,49-9064.00,Watch and Clock Repairers
26,75,55,2,47-5013.00,"Service Unit Operators, Oil and Gas"
27,75,54,2,47-5012.00,"Rotary Drill Operators, Oil and Gas"
28,72,57,1,47-5011.00,"Derrick Operators, Oil and Gas"
29,72,57,2,51-4051.00,Metal-Refining Furnace Operators and Tenders
30,72,57,2,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
31,72,57,3,51-7032.00,"Patternmakers, Wood"
32,72,57,2,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
33,72,57,2,47-2221.00,Structural Iron and Steel Workers
34,72,57,2,53-7121.00,"Tank Car, Truck, and Ship Loaders"
