,Importance,Level,Job Zone,Code,Occupation
0,85,59,2,49-9095.00,Manufactured Building and Mobile Home Installers
1,78,59,2,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
2,78,57,2,47-2221.00,Structural Iron and Steel Workers
3,75,61,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
4,75,57,3,53-7021.00,Crane and Tower Operators
5,75,57,2,49-9051.00,Electrical Power-Line Installers and Repairers
6,75,57,3,49-3041.00,Farm Equipment Mechanics and Service Technicians Bright Outlook
7,75,57,2,47-2072.00,Pile Driver Operators
8,75,55,1,47-5011.00,"Derrick Operators, Oil and Gas"
9,72,57,2,53-3032.00,Heavy and Tractor-Trailer Truck Drivers
10,72,57,2,53-7051.00,Industrial Truck and Tractor Operators
11,72,57,2,49-9044.00,Millwrights
12,72,57,2,47-2073.00,Operating Engineers and Other Construction Equipment Operators
13,72,55,1,45-2091.00,Agricultural Equipment Operators
14,72,55,4,27-2032.00,Choreographers
15,72,55,2,47-5023.00,"Earth Drillers, Except Oil and Gas"
16,72,55,2,47-4051.00,Highway Maintenance Workers
17,72,55,2,53-4041.00,Subway and Streetcar Operators
18,72,55,2,53-7121.00,"Tank Car, Truck, and Ship Loaders"
19,72,54,3,49-9092.00,Commercial Divers
20,72,54,2,37-3013.00,Tree Trimmers and Pruners
21,72,46,2,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
22,69,57,3,53-2012.00,Commercial Pilots
23,69,57,2,53-7031.00,Dredge Operators
24,69,57,1,45-4022.00,Logging Equipment Operators
25,69,57,2,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
26,69,55,2,47-5041.00,Continuous Mining Machine Operators
27,69,55,1,45-4021.00,Fallers
28,69,55,2,47-5081.00,Helpers--Extraction Workers
29,69,55,2,53-4011.00,Locomotive Engineers
30,69,55,2,47-5043.00,"Roof Bolters, Mining"
31,69,54,2,49-3043.00,Rail Car Repairers
32,69,54,2,51-6093.00,Upholsterers
33,69,52,2,47-5013.00,"Service Unit Operators, Oil and Gas"
34,69,50,2,53-3052.00,"Bus Drivers, Transit and Intercity"
35,69,50,1,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
36,69,50,2,47-5012.00,"Rotary Drill Operators, Oil and Gas"
37,69,48,2,47-2171.00,Reinforcing Iron and Rebar Workers
38,69,46,1,47-5071.00,"Roustabouts, Oil and Gas"
39,66,57,3,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
40,66,55,3,49-3011.00,Aircraft Mechanics and Service Technicians
41,66,55,3,33-2011.00,Firefighters
42,66,54,5,29-1021.00,"Dentists, General"
43,66,54,2,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
44,66,54,2,53-5011.00,Sailors and Marine Oilers
45,66,52,3,49-9041.00,Industrial Machinery Mechanics
46,66,52,1,37-3011.00,Landscaping and Groundskeeping Workers
47,66,52,2,51-9197.00,Tire Builders
48,66,50,3,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
49,66,50,2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
50,66,50,2,51-2051.00,Fiberglass Laminators and Fabricators
51,66,48,2,47-2061.00,Construction Laborers
52,66,48,2,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
53,66,48,1,47-5051.00,"Rock Splitters, Quarry"
54,66,46,3,47-2011.00,Boilermakers
55,66,46,2,47-2021.00,Brickmasons and Blockmasons
56,66,46,2,51-7011.00,Cabinetmakers and Bench Carpenters
57,66,46,1,47-2051.00,Cement Masons and Concrete Finishers
58,66,46,2,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
59,66,46,2,47-4031.00,Fence Erectors
60,66,46,2,53-3033.00,Light Truck Drivers
61,66,46,2,47-4091.00,Segmental Pavers
62,66,45,2,53-7071.00,Gas Compressor and Gas Pumping Station Operators
63,66,43,1,47-2043.00,Floor Sanders and Finishers
64,66,43,2,49-3093.00,Tire Repairers and Changers
65,66,Not available,3,27-2031.00,Dancers
66,63,54,2,53-7062.04,Recycling and Reclamation Workers
67,63,52,2,53-7041.00,Hoist and Winch Operators
68,63,52,2,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
69,63,52,3,51-9195.05,"Potters, Manufacturing"
70,63,46,1,45-3031.00,Fishing and Hunting Workers
71,63,46,2,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
72,63,46,2,47-2181.00,Roofers
73,63,45,2,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
