,Importance,Level,Job Zone,Code,Occupation
0,97,80,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
1,78,63,3,53-2012.00,Commercial Pilots
2,75,57,2,53-4011.00,Locomotive Engineers
3,72,57,2,53-3032.00,Heavy and Tractor-Trailer Truck Drivers Bright Outlook
4,69,57,2,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
5,66,55,2,53-3052.00,"Bus Drivers, Transit and Intercity"
6,66,54,2,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
7,66,52,2,53-4041.00,Subway and Streetcar Operators
8,66,46,2,53-7051.00,Industrial Truck and Tractor Operators
9,63,52,1,45-4022.00,Logging Equipment Operators
10,63,52,2,49-9095.00,Manufactured Building and Mobile Home Installers
11,63,50,3,53-7021.00,Crane and Tower Operators
12,60,54,2,47-2072.00,Pile Driver Operators
13,60,48,2,47-5043.00,"Roof Bolters, Mining"
14,56,50,2,53-5022.00,Motorboat Operators
15,56,48,1,47-5011.00,"Derrick Operators, Oil and Gas"
16,56,46,1,45-2091.00,Agricultural Equipment Operators
17,56,46,2,47-2073.00,Operating Engineers and Other Construction Equipment Operators
18,56,46,2,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
19,53,50,2,47-5041.00,Continuous Mining Machine Operators
20,53,50,3,33-3051.00,Police and Sheriff's Patrol Officers
21,53,50,2,53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
22,53,50,2,47-2221.00,Structural Iron and Steel Workers
23,53,48,1,45-4021.00,Fallers
24,53,46,2,47-5081.00,Helpers--Extraction Workers
25,53,46,2,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
26,53,45,2,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
27,53,45,2,49-9051.00,Electrical Power-Line Installers and Repairers
28,53,45,2,47-4051.00,Highway Maintenance Workers
29,53,43,2,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
30,53,41,3,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
31,50,48,3,33-2011.00,Firefighters
32,50,46,2,53-7041.00,Hoist and Winch Operators
33,50,46,3,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
34,50,46,2,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators"
35,50,45,2,43-5021.00,Couriers and Messengers
36,50,45,3,49-3041.00,Farm Equipment Mechanics and Service Technicians
37,50,45,2,49-9044.00,Millwrights
38,50,45,3,33-3052.00,Transit and Railroad Police
39,50,43,2,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
40,50,43,3,49-9041.00,Industrial Machinery Mechanics
41,50,43,2,53-3033.00,Light Truck Drivers
42,50,43,2,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders"
43,50,43,2,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders"
44,50,43,2,53-7073.00,Wellhead Pumpers
45,50,41,5,29-1211.00,Anesthesiologists
46,50,41,3,49-9092.00,Commercial Divers
47,50,41,2,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders"
48,50,41,2,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
49,50,41,3,33-1011.00,First-Line Supervisors of Correctional Officers
50,50,39,3,49-3023.00,Automotive Service Technicians and Mechanics
51,50,39,2,51-4051.00,Metal-Refining Furnace Operators and Tenders
52,50,37,2,51-7011.00,Cabinetmakers and Bench Carpenters
53,47,48,2,53-7031.00,Dredge Operators
54,47,45,3,49-3052.00,Motorcycle Mechanics
55,47,45,1,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
56,47,45,2,47-5013.00,"Service Unit Operators, Oil and Gas"
57,47,43,2,47-2061.00,Construction Laborers
58,47,43,2,33-3012.00,Correctional Officers and Jailers
59,47,43,2,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
60,47,43,3,33-1012.00,First-Line Supervisors of Police and Detectives
61,47,43,3,51-7032.00,"Patternmakers, Wood"
62,47,41,2,51-9191.00,Adhesive Bonding Machine Operators and Tenders
63,47,41,2,51-9161.00,Computer Numerically Controlled Tool Operators
64,47,41,1,53-7011.00,Conveyor Operators and Tenders
65,47,41,2,47-5023.00,"Earth Drillers, Except Oil and Gas"
66,47,41,2,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
67,47,41,2,53-5011.00,Sailors and Marine Oilers
68,47,41,3,53-5031.00,Ship Engineers
69,47,41,2,37-3013.00,Tree Trimmers and Pruners
70,47,41,3,49-9081.00,Wind Turbine Service Technicians
71,47,39,2,53-7062.04,Recycling and Reclamation Workers
72,47,39,2,47-4091.00,Segmental Pavers
73,47,37,5,29-1241.00,"Ophthalmologists, Except Pediatric"
74,47,34,2,47-2181.00,Roofers
75,44,45,2,47-5044.00,"Loading and Moving Machine Operators, Underground Mining"
76,44,43,3,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
77,44,43,2,47-2171.00,Reinforcing Iron and Rebar Workers
78,44,43,3,51-8031.00,Water and Wastewater Treatment Plant and System Operators
79,44,41,5,29-1071.01,Anesthesiologist Assistants
80,44,41,3,47-2011.00,Boilermakers
81,44,41,2,47-2031.00,Carpenters
82,44,41,2,51-9011.00,Chemical Equipment Operators and Tenders
83,44,41,5,29-1021.00,"Dentists, General"
84,44,41,2,47-4031.00,Fence Erectors
85,44,41,2,53-7071.00,Gas Compressor and Gas Pumping Station Operators
86,44,41,2,51-8092.00,Gas Plant Operators
87,44,41,3,49-9097.00,Signal and Track Switch Repairers
88,44,41,3,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
89,44,41,2,51-9197.00,Tire Builders
90,44,39,2,51-8013.03,Biomass Plant Technicians
91,44,39,3,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
92,44,39,3,47-4021.00,Elevator and Escalator Installers and Repairers
93,44,39,1,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
94,44,39,2,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
95,44,39,2,45-4011.00,Forest and Conservation Workers
96,44,39,2,51-9022.00,"Grinding and Polishing Workers, Hand"
97,44,39,3,51-9195.05,"Potters, Manufacturing"
98,44,39,2,49-9096.00,Riggers
99,44,39,1,47-5051.00,"Rock Splitters, Quarry"
100,44,39,1,47-5071.00,"Roustabouts, Oil and Gas"
101,44,39,2,47-2211.00,Sheet Metal Workers
102,44,39,2,53-7121.00,"Tank Car, Truck, and Ship Loaders"
103,44,37,2,27-2021.00,Athletes and Sports Competitors
104,44,37,2,51-8099.01,Biofuels Processing Technicians
105,44,37,2,51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
106,44,37,2,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers"
107,44,37,3,47-4041.00,Hazardous Materials Removal Workers
108,44,37,2,31-1133.00,Psychiatric Aides
109,44,37,2,49-3093.00,Tire Repairers and Changers
110,44,36,2,39-2011.00,Animal Trainers
111,42,38,1,45-3031.00,Fishing and Hunting Workers
112,41,45,3,51-4061.00,"Model Makers, Metal and Plastic"
