,Importance,Level,Job Zone,Code,Occupation
0,78,71,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
1,72,57,2,53-3032.00,Heavy and Tractor-Trailer Truck Drivers Bright Outlook
2,69,54,3,53-7021.00,Crane and Tower Operators
3,69,54,2,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
4,69,52,2,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
5,69,46,2,53-4041.00,Subway and Streetcar Operators
6,69,45,2,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
7,69,45,2,53-7121.00,"Tank Car, Truck, and Ship Loaders"
8,66,54,2,53-4011.00,Locomotive Engineers
9,66,50,2,47-5041.00,Continuous Mining Machine Operators
10,66,43,2,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
11,63,52,3,53-2012.00,Commercial Pilots
12,63,48,2,47-2073.00,Operating Engineers and Other Construction Equipment Operators
13,63,48,2,47-2072.00,Pile Driver Operators
14,63,46,2,53-3052.00,"Bus Drivers, Transit and Intercity"
15,63,46,1,45-4022.00,Logging Equipment Operators
16,63,45,2,47-5023.00,"Earth Drillers, Except Oil and Gas"
17,63,45,2,47-2221.00,Structural Iron and Steel Workers
18,63,45,2,51-9197.00,Tire Builders
19,63,43,2,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers"
20,63,41,1,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
21,60,46,2,53-7051.00,Industrial Truck and Tractor Operators
22,60,46,2,47-5012.00,"Rotary Drill Operators, Oil and Gas"
23,60,45,2,51-9191.00,Adhesive Bonding Machine Operators and Tenders
24,60,45,2,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
25,60,45,2,47-5081.00,Helpers--Extraction Workers
26,60,43,2,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
27,56,46,2,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators"
