,Importance,Level,Job Zone,Code,Occupation
0,81,71,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
1,78,61,1,45-4021.00,Fallers
2,72,63,2,53-4011.00,Locomotive Engineers
3,72,63,2,53-4041.00,Subway and Streetcar Operators
4,72,59,2,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
5,72,59,1,45-4022.00,Logging Equipment Operators
6,72,57,2,49-9095.00,Manufactured Building and Mobile Home Installers
7,72,57,2,47-2072.00,Pile Driver Operators
8,72,57,2,37-3013.00,Tree Trimmers and Pruners
9,72,55,2,47-5023.00,"Earth Drillers, Except Oil and Gas Bright Outlook"
10,72,55,2,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
11,69,57,3,53-2012.00,Commercial Pilots
12,69,57,2,47-5041.00,Continuous Mining Machine Operators
13,69,57,1,47-5011.00,"Derrick Operators, Oil and Gas"
14,69,57,2,53-3032.00,Heavy and Tractor-Trailer Truck Drivers
15,69,55,3,53-7021.00,Crane and Tower Operators
16,69,55,2,47-5081.00,Helpers--Extraction Workers
17,69,55,3,49-9041.00,Industrial Machinery Mechanics
18,69,55,2,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
19,69,55,2,47-5043.00,"Roof Bolters, Mining"
20,69,54,2,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
21,69,50,2,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers"
22,66,57,2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
23,66,55,2,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
24,66,54,2,53-3052.00,"Bus Drivers, Transit and Intercity"
25,66,54,2,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
26,66,54,2,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
27,66,54,2,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
28,66,54,2,53-7121.00,"Tank Car, Truck, and Ship Loaders"
29,66,52,2,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
30,66,50,2,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
31,66,50,2,53-7041.00,Hoist and Winch Operators
32,66,46,2,51-4051.00,Metal-Refining Furnace Operators and Tenders
33,63,57,3,33-2011.00,Firefighters
34,63,55,2,47-2221.00,Structural Iron and Steel Workers
35,63,54,3,51-4061.00,"Model Makers, Metal and Plastic"
36,63,54,3,51-7032.00,"Patternmakers, Wood"
37,63,54,2,49-3043.00,Rail Car Repairers
38,63,54,2,53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
