,Importance,Level,Job Zone,Code,Occupation
0,78,64,2,47-2221.00,Structural Iron and Steel Workers
1,72,57,2,47-2171.00,Reinforcing Iron and Rebar Workers
2,72,55,2,27-2021.00,Athletes and Sports Competitors Bright Outlook
3,69,70,3,47-2022.00,Stonemasons
4,69,63,3,33-2011.00,Firefighters
5,69,57,2,47-2021.00,Brickmasons and Blockmasons
6,69,57,2,47-2061.00,Construction Laborers
7,69,57,2,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
8,69,55,2,37-3013.00,Tree Trimmers and Pruners
9,66,57,1,47-5011.00,"Derrick Operators, Oil and Gas"
10,66,57,2,49-9095.00,Manufactured Building and Mobile Home Installers
11,66,55,2,47-5081.00,Helpers--Extraction Workers
12,66,55,2,53-7121.00,"Tank Car, Truck, and Ship Loaders"
13,66,54,1,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
14,66,54,2,47-5043.00,"Roof Bolters, Mining"
15,66,52,2,49-9044.00,Millwrights
16,66,50,2,51-9191.00,Adhesive Bonding Machine Operators and Tenders
17,66,45,3,27-2031.00,Dancers
18,63,64,1,45-4021.00,Fallers
19,63,61,2,47-2041.00,Carpet Installers
20,63,59,2,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
21,63,55,2,49-3093.00,Tire Repairers and Changers
22,63,54,2,39-6011.00,Baggage Porters and Bellhops
23,63,54,1,47-5051.00,"Rock Splitters, Quarry"
24,63,52,2,49-3043.00,Rail Car Repairers
25,63,50,2,51-4071.00,Foundry Mold and Coremakers
26,60,57,2,47-4031.00,Fence Erectors
27,60,55,2,31-1132.00,Orderlies
28,60,54,3,39-9031.00,Exercise Trainers and Group Fitness Instructors
29,60,54,3,49-3041.00,Farm Equipment Mechanics and Service Technicians
30,60,54,2,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic"
31,60,53,1,45-3031.00,Fishing and Hunting Workers
32,60,52,2,47-2031.00,Carpenters
33,60,52,2,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
34,60,52,1,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
35,60,52,2,47-4051.00,Highway Maintenance Workers
36,60,52,2,49-9011.00,Mechanical Door Repairers
37,56,55,2,45-4011.00,Forest and Conservation Workers
38,56,54,2,53-1041.00,Aircraft Cargo Handling Supervisors
39,56,54,3,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
40,56,54,2,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
41,56,54,1,47-5071.00,"Roustabouts, Oil and Gas"
42,56,52,1,47-2161.00,Plasterers and Stucco Masons
43,56,50,2,51-7011.00,Cabinetmakers and Bench Carpenters
44,56,48,3,33-3051.00,Police and Sheriff's Patrol Officers
45,56,48,2,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
46,56,46,3,47-2011.00,Boilermakers
47,56,46,2,51-9198.00,Helpers--Production Workers
48,56,46,3,31-1131.00,Nursing Assistants
49,56,46,2,53-7081.00,Refuse and Recyclable Material Collectors
50,56,46,2,47-4091.00,Segmental Pavers
51,56,45,3,49-9092.00,Commercial Divers
52,56,45,2,47-2081.00,Drywall and Ceiling Tile Installers
53,56,45,2,51-7021.00,Furniture Finishers
54,56,45,2,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
55,53,57,1,47-2051.00,Cement Masons and Concrete Finishers
56,53,57,2,47-3016.00,Helpers--Roofers
57,53,55,2,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
58,53,55,2,49-9051.00,Electrical Power-Line Installers and Repairers
59,53,55,3,33-1011.00,First-Line Supervisors of Correctional Officers
60,53,55,2,47-2053.00,Terrazzo Workers and Finishers
61,53,54,2,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
62,53,54,2,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers"
63,53,54,1,37-3011.00,Landscaping and Groundskeeping Workers
64,53,52,2,53-7051.00,Industrial Truck and Tractor Operators
65,53,52,2,53-3033.00,Light Truck Drivers
66,53,52,2,53-5011.00,Sailors and Marine Oilers
67,53,50,2,47-3012.00,Helpers--Carpenters
68,53,48,3,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
69,53,48,2,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
70,53,48,2,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
71,53,48,2,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
72,53,46,2,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
