,Importance,Level,Job Zone,Code,Occupation
0,81,66,3,27-2031.00,Dancers Bright Outlook
1,69,50,3,31-9011.00,Massage Therapists
2,66,57,2,27-2021.00,Athletes and Sports Competitors
3,66,54,2,47-2221.00,Structural Iron and Steel Workers
4,66,46,2,47-2021.00,Brickmasons and Blockmasons
5,63,55,4,27-2032.00,Choreographers
6,63,54,3,33-2011.00,Firefighters
7,63,45,1,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
8,60,57,3,39-9031.00,Exercise Trainers and Group Fitness Instructors
9,60,48,2,37-3013.00,Tree Trimmers and Pruners
10,56,43,1,47-2051.00,Cement Masons and Concrete Finishers
11,53,46,2,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
12,53,46,3,49-9081.00,Wind Turbine Service Technicians
13,53,45,2,47-2061.00,Construction Laborers
14,53,45,2,47-4031.00,Fence Erectors
15,53,45,2,45-4011.00,Forest and Conservation Workers
16,53,43,2,47-2171.00,Reinforcing Iron and Rebar Workers
17,53,41,2,51-7021.00,Furniture Finishers
18,53,41,1,47-2161.00,Plasterers and Stucco Masons
19,53,37,3,33-3051.00,Police and Sheriff's Patrol Officers
20,53,Not available,3,47-2022.00,Stonemasons
21,50,46,1,47-5051.00,"Rock Splitters, Quarry"
22,50,45,2,47-2041.00,Carpet Installers
23,50,45,2,51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
24,50,45,1,45-4021.00,Fallers
25,50,45,2,47-2053.00,Terrazzo Workers and Finishers
26,50,43,3,49-9092.00,Commercial Divers
27,50,43,2,33-3012.00,Correctional Officers and Jailers
28,50,43,2,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
29,50,43,2,47-5081.00,Helpers--Extraction Workers
30,50,43,2,49-9044.00,Millwrights
31,50,41,1,47-2043.00,Floor Sanders and Finishers
32,50,41,2,31-1132.00,Orderlies
33,50,41,3,47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
