,Importance,Level,Job Zone,Code,Occupation
0,78,68,3,27-2031.00,Dancers Bright Outlook
1,75,59,2,47-2021.00,Brickmasons and Blockmasons
2,75,55,1,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
3,72,55,2,47-2221.00,Structural Iron and Steel Workers
4,72,54,2,47-2171.00,Reinforcing Iron and Rebar Workers
5,69,61,1,47-2051.00,Cement Masons and Concrete Finishers
6,69,59,2,47-3016.00,Helpers--Roofers
7,69,55,4,27-2032.00,Choreographers
8,69,55,2,47-4031.00,Fence Erectors
9,69,54,2,49-9095.00,Manufactured Building and Mobile Home Installers
10,69,54,2,47-2181.00,Roofers
11,69,52,3,47-2022.00,Stonemasons
12,69,50,2,49-3093.00,Tire Repairers and Changers
13,69,48,3,31-9011.00,Massage Therapists
14,69,45,2,39-6011.00,Baggage Porters and Bellhops
15,69,45,2,51-4071.00,Foundry Mold and Coremakers
16,66,59,3,39-9031.00,Exercise Trainers and Group Fitness Instructors
17,66,55,1,47-2043.00,Floor Sanders and Finishers
18,66,54,2,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
19,66,52,2,47-2041.00,Carpet Installers
20,66,52,2,49-9044.00,Millwrights
21,66,46,2,51-7011.00,Cabinetmakers and Bench Carpenters
22,66,46,2,47-2081.00,Drywall and Ceiling Tile Installers
23,66,46,2,49-9011.00,Mechanical Door Repairers
24,66,43,2,51-2051.00,Fiberglass Laminators and Fabricators
25,66,43,2,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic"
26,63,55,3,33-2011.00,Firefighters
27,63,55,2,47-5081.00,Helpers--Extraction Workers
28,63,55,2,37-3013.00,Tree Trimmers and Pruners
29,63,54,1,47-5011.00,"Derrick Operators, Oil and Gas"
30,63,54,2,49-3043.00,Rail Car Repairers
31,63,54,2,47-2053.00,Terrazzo Workers and Finishers
32,63,52,2,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
33,63,52,1,47-2161.00,Plasterers and Stucco Masons
34,63,50,2,47-2031.00,Carpenters
35,63,48,2,31-1132.00,Orderlies
36,63,46,2,51-9197.00,Tire Builders
37,63,45,2,51-9191.00,Adhesive Bonding Machine Operators and Tenders
38,63,43,1,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers
39,60,55,1,45-4021.00,Fallers
40,60,52,1,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
41,60,52,1,47-5051.00,"Rock Splitters, Quarry"
42,60,48,3,47-2111.00,Electricians
43,60,48,2,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall"
44,60,48,2,47-2044.00,Tile and Stone Setters
45,60,46,2,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
46,60,46,2,47-2132.00,"Insulation Workers, Mechanical"
47,60,46,2,47-2141.00,"Painters, Construction and Maintenance"
48,60,46,3,47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
49,60,45,3,47-2011.00,Boilermakers
50,60,45,3,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
51,60,45,2,47-2121.00,Glaziers
52,60,43,5,29-1011.00,Chiropractors
53,60,43,3,33-3051.00,Police and Sheriff's Patrol Officers
54,56,54,2,47-2061.00,Construction Laborers
55,56,52,2,47-5043.00,"Roof Bolters, Mining"
56,56,50,3,49-3041.00,Farm Equipment Mechanics and Service Technicians
57,56,50,1,37-3011.00,Landscaping and Groundskeeping Workers
58,56,48,2,27-2021.00,Athletes and Sports Competitors
59,56,48,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
60,56,48,2,51-9198.00,Helpers--Production Workers
61,56,48,1,47-5071.00,"Roustabouts, Oil and Gas"
62,56,46,2,53-6031.00,Automotive and Watercraft Service Attendants
