,Importance,Level,Job Zone,Code,Occupation
0,81,66,3,27-2031.00,Dancers Bright Outlook
1,72,57,2,27-2021.00,Athletes and Sports Competitors
2,72,57,3,39-9031.00,Exercise Trainers and Group Fitness Instructors
3,69,55,4,27-2032.00,Choreographers
4,66,55,3,33-2011.00,Firefighters
5,63,46,1,47-5011.00,"Derrick Operators, Oil and Gas"
6,63,46,2,49-9095.00,Manufactured Building and Mobile Home Installers
7,63,45,3,47-2022.00,Stonemasons
8,63,45,2,47-2221.00,Structural Iron and Steel Workers
9,63,43,1,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
10,60,48,1,45-4021.00,Fallers
11,60,46,2,47-2171.00,Reinforcing Iron and Rebar Workers
12,56,46,2,47-2181.00,Roofers
13,56,45,1,47-2043.00,Floor Sanders and Finishers
14,56,45,2,37-3013.00,Tree Trimmers and Pruners
15,56,43,2,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
16,56,41,1,47-2051.00,Cement Masons and Concrete Finishers
17,53,48,1,47-5051.00,"Rock Splitters, Quarry"
18,53,45,3,49-9092.00,Commercial Divers
19,53,45,2,47-2061.00,Construction Laborers
20,53,45,2,33-3012.00,Correctional Officers and Jailers
21,53,45,2,47-2081.00,Drywall and Ceiling Tile Installers
22,53,45,2,49-9051.00,Electrical Power-Line Installers and Repairers
23,53,45,2,47-4031.00,Fence Erectors
24,53,45,2,45-4011.00,Forest and Conservation Workers
25,53,45,2,47-4051.00,Highway Maintenance Workers
26,53,45,2,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
27,53,45,3,31-9011.00,Massage Therapists
28,53,45,2,47-5043.00,"Roof Bolters, Mining"
29,53,45,2,47-2053.00,Terrazzo Workers and Finishers
30,53,43,2,53-6031.00,Automotive and Watercraft Service Attendants
31,53,43,2,47-2041.00,Carpet Installers
32,53,43,2,47-5081.00,Helpers--Extraction Workers
33,53,43,1,47-2161.00,Plasterers and Stucco Masons
34,53,43,1,47-5071.00,"Roustabouts, Oil and Gas"
35,53,43,2,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood"
36,53,41,1,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers
37,53,41,2,53-7121.00,"Tank Car, Truck, and Ship Loaders"
38,53,41,2,47-2044.00,Tile and Stone Setters
39,53,37,2,51-9191.00,Adhesive Bonding Machine Operators and Tenders
40,53,37,2,53-3033.00,Light Truck Drivers
41,53,36,2,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
42,50,48,2,47-3016.00,Helpers--Roofers
43,50,43,5,25-2059.01,Adapted Physical Education Specialists
44,50,43,3,33-1011.00,First-Line Supervisors of Correctional Officers
45,50,43,2,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
46,50,43,2,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers"
47,50,43,2,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
48,50,43,2,49-3043.00,Rail Car Repairers
49,50,43,2,51-9197.00,Tire Builders
50,50,43,3,33-3052.00,Transit and Railroad Police
51,50,43,3,49-9081.00,Wind Turbine Service Technicians
52,50,41,2,39-6011.00,Baggage Porters and Bellhops
53,50,41,2,47-2021.00,Brickmasons and Blockmasons
54,50,41,4,33-3031.00,Fish and Game Wardens
55,50,41,1,37-2012.00,Maids and Housekeeping Cleaners
56,50,41,3,27-1026.00,Merchandise Displayers and Window Trimmers
