,Importance,Level,Job Zone,Code,Occupation
0,88,70,3,27-2031.00,Dancers Bright Outlook
1,75,59,3,39-9031.00,Exercise Trainers and Group Fitness Instructors
2,72,61,3,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
3,72,59,2,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall"
4,72,57,2,47-5043.00,"Roof Bolters, Mining"
5,72,55,2,47-2021.00,Brickmasons and Blockmasons
6,69,57,2,37-3013.00,Tree Trimmers and Pruners
7,69,55,2,47-2221.00,Structural Iron and Steel Workers
8,69,54,1,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
9,69,54,2,47-2181.00,Roofers
10,66,59,4,27-2032.00,Choreographers
11,66,59,1,47-5011.00,"Derrick Operators, Oil and Gas"
12,66,55,2,47-2041.00,Carpet Installers
13,66,55,2,47-2081.00,Drywall and Ceiling Tile Installers
14,66,55,2,49-9095.00,Manufactured Building and Mobile Home Installers
15,66,55,2,49-9044.00,Millwrights
16,66,54,3,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
17,63,57,3,49-9092.00,Commercial Divers
18,63,55,3,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
19,63,54,3,47-2111.00,Electricians
20,63,54,2,47-2044.00,Tile and Stone Setters
21,63,52,1,47-2161.00,Plasterers and Stucco Masons
22,63,52,2,47-2171.00,Reinforcing Iron and Rebar Workers
23,63,50,2,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
24,63,48,2,49-9045.00,"Refractory Materials Repairers, Except Brickmasons"
25,60,61,2,49-3092.00,Recreational Vehicle Service Technicians
26,60,54,2,27-2021.00,Athletes and Sports Competitors
27,60,54,3,47-4021.00,Elevator and Escalator Installers and Repairers
28,60,54,3,33-2011.00,Firefighters
29,60,54,1,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
30,60,54,2,49-9011.00,Mechanical Door Repairers
31,60,54,2,47-2142.00,Paperhangers
32,60,54,2,49-9052.00,Telecommunications Line Installers and Repairers
33,60,52,2,47-3013.00,Helpers--Electricians
34,60,52,2,49-3093.00,Tire Repairers and Changers
35,60,50,1,47-2051.00,Cement Masons and Concrete Finishers
