,Importance,Level,Job Zone,Code,Occupation
0,66,Not available,3,27-2031.00,Dancers Bright Outlook
1,56,48,3,39-9031.00,Exercise Trainers and Group Fitness Instructors
2,50,41,4,27-2032.00,Choreographers
3,41,34,1,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
4,31,32,2,27-2021.00,Athletes and Sports Competitors
5,28,30,4,11-9179.01,Fitness and Wellness Coordinators
6,28,27,3,33-2011.00,Firefighters
7,28,18,2,47-2053.00,Terrazzo Workers and Finishers
8,25,20,2,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
9,25,16,2,47-2061.00,Construction Laborers
10,22,20,2,47-2021.00,Brickmasons and Blockmasons
11,22,18,1,47-2051.00,Cement Masons and Concrete Finishers
12,22,16,3,49-3023.00,Automotive Service Technicians and Mechanics
13,22,16,3,47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
14,22,16,2,47-5043.00,"Roof Bolters, Mining"
15,22,16,2,47-2181.00,Roofers
16,22,14,2,49-3021.00,Automotive Body and Related Repairers
17,22,14,3,31-9011.00,Massage Therapists
18,22,14,2,47-2171.00,Reinforcing Iron and Rebar Workers
19,22,13,1,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers
20,19,18,2,47-3016.00,Helpers--Roofers
21,19,16,1,45-4021.00,Fallers
22,19,16,1,37-3011.00,Landscaping and Groundskeeping Workers
23,19,16,2,37-3013.00,Tree Trimmers and Pruners
24,19,14,3,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
25,19,14,2,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
26,19,14,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
27,19,14,2,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers"
28,19,14,2,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
29,19,14,3,49-9071.00,"Maintenance and Repair Workers, General"
30,19,14,2,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators"
31,19,13,2,53-1041.00,Aircraft Cargo Handling Supervisors
32,19,13,3,35-1011.00,Chefs and Head Cooks
33,19,13,2,49-9051.00,Electrical Power-Line Installers and Repairers
34,19,13,2,53-3032.00,Heavy and Tractor-Trailer Truck Drivers
35,19,13,2,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
36,19,13,3,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers"
37,19,13,4,29-1141.00,Registered Nurses
38,19,11,2,51-4071.00,Foundry Mold and Coremakers
39,19,11,2,49-9052.00,Telecommunications Line Installers and Repairers
40,19,11,3,49-9081.00,Wind Turbine Service Technicians
41,16,14,5,29-9091.00,Athletic Trainers
42,16,14,3,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
43,16,14,3,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
44,16,14,2,51-4121.00,"Welders, Cutters, Solderers, and Brazers"
45,16,13,2,47-2031.00,Carpenters
46,16,13,2,45-4011.00,Forest and Conservation Workers
47,16,13,2,53-7051.00,Industrial Truck and Tractor Operators
48,16,13,4,27-2041.00,Music Directors and Composers
49,16,13,2,53-7065.00,Stockers and Order Fillers
50,16,11,2,43-5021.00,Couriers and Messengers
