,Importance,Level,Job Zone,Code,Occupation
0,94,79,3,27-2031.00,Dancers Bright Outlook
1,85,75,4,27-2032.00,Choreographers
2,72,55,3,39-9031.00,Exercise Trainers and Group Fitness Instructors
3,63,57,2,27-2021.00,Athletes and Sports Competitors
4,60,50,2,49-9095.00,Manufactured Building and Mobile Home Installers
5,60,46,1,45-4021.00,Fallers
6,60,45,2,47-2181.00,Roofers
7,56,45,1,47-5011.00,"Derrick Operators, Oil and Gas"
8,56,39,3,47-2022.00,Stonemasons
9,53,46,3,33-2011.00,Firefighters
10,53,45,2,47-2221.00,Structural Iron and Steel Workers
11,53,41,1,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
12,53,41,1,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
13,50,45,3,49-9092.00,Commercial Divers
14,50,43,5,25-2059.01,Adapted Physical Education Specialists
15,50,43,2,47-5081.00,Helpers--Extraction Workers
16,50,43,2,47-3016.00,Helpers--Roofers
17,50,43,2,47-2132.00,"Insulation Workers, Mechanical"
18,50,43,2,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
19,50,43,2,47-2171.00,Reinforcing Iron and Rebar Workers
20,50,41,2,39-2011.00,Animal Trainers
21,50,41,3,49-9071.00,"Maintenance and Repair Workers, General"
22,50,41,2,49-9011.00,Mechanical Door Repairers
23,50,41,2,47-2141.00,"Painters, Construction and Maintenance"
24,50,41,2,49-3043.00,Rail Car Repairers
25,50,41,2,49-9096.00,Riggers
26,50,41,3,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
27,50,41,2,37-3013.00,Tree Trimmers and Pruners
28,50,39,2,47-2021.00,Brickmasons and Blockmasons
29,50,39,1,47-2051.00,Cement Masons and Concrete Finishers
30,50,39,1,47-2161.00,Plasterers and Stucco Masons
31,50,37,3,27-1026.00,Merchandise Displayers and Window Trimmers
32,47,45,2,47-2142.00,Paperhangers
33,47,43,3,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
34,47,43,2,53-5011.00,Sailors and Marine Oilers
35,47,41,2,51-7011.00,Cabinetmakers and Bench Carpenters
36,47,41,2,47-2081.00,Drywall and Ceiling Tile Installers
37,47,41,3,47-2111.00,Electricians
38,47,41,2,47-4031.00,Fence Erectors
39,47,41,2,51-2051.00,Fiberglass Laminators and Fabricators
