,Importance,Level,Job Zone,Code,Occupation
0,81,73,5,29-1241.00,"Ophthalmologists, Except Pediatric"
1,81,63,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
2,81,59,3,53-2012.00,Commercial Pilots
3,78,86,3,51-9071.06,Gem and Diamond Workers
4,78,70,5,29-1021.00,"Dentists, General"
5,78,68,5,29-1022.00,Oral and Maxillofacial Surgeons
6,78,61,5,29-1024.00,Prosthodontists
7,78,59,3,53-2021.00,Air Traffic Controllers
8,78,59,5,29-1211.00,Anesthesiologists
9,78,59,3,43-9031.00,Desktop Publishers
10,78,57,3,31-9091.00,Dental Assistants Bright Outlook
11,78,57,5,29-1171.00,Nurse Practitioners
12,75,71,5,29-1224.00,Radiologists
13,75,68,3,49-9064.00,Watch and Clock Repairers
14,75,66,5,29-2011.02,Cytotechnologists
15,75,66,5,17-2199.09,Nanosystems Engineers
16,75,66,5,29-1041.00,Optometrists
17,75,64,5,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
18,75,64,5,29-1051.00,Pharmacists
19,75,64,5,29-1222.00,"Physicians, Pathologists"
20,75,63,2,51-9081.00,Dental Laboratory Technicians
21,75,63,3,19-4092.00,Forensic Science Technicians
22,75,63,4,29-2011.00,Medical and Clinical Laboratory Technologists
23,75,61,4,29-2011.01,Cytogenetic Technologists
24,75,61,5,29-1213.00,Dermatologists
25,75,61,3,29-9093.00,Surgical Assistants
26,75,61,5,29-1131.00,Veterinarians
27,75,59,4,27-1011.00,Art Directors
28,75,59,5,19-1021.00,Biochemists and Biophysicists
29,75,59,3,13-1041.06,Coroners
30,75,59,3,33-3051.04,Customs and Border Protection Officers
31,75,59,3,47-2111.00,Electricians
32,75,59,4,17-2072.00,"Electronics Engineers, Except Computer"
33,75,59,2,31-9099.02,Endoscopy Technicians
34,75,59,2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
35,75,59,4,13-2061.00,Financial Examiners
36,75,59,4,19-1012.00,Food Scientists and Technologists
37,75,59,2,51-7021.00,Furniture Finishers
38,75,59,5,29-1216.00,General Internal Medicine Physicians
39,75,59,3,29-2035.00,Magnetic Resonance Imaging Technologists
40,75,59,5,29-1023.00,Orthodontists
41,75,59,5,29-2091.00,Orthotists and Prosthetists
42,75,59,3,29-2052.00,Pharmacy Technicians
43,75,59,3,27-4021.00,Photographers
44,75,59,2,51-5112.00,Printing Press Operators
45,75,59,3,17-3024.01,Robotics Technicians
46,75,59,5,15-2041.00,Statisticians
47,75,59,3,13-2082.00,Tax Preparers
48,75,59,4,27-3042.00,Technical Writers
49,75,59,4,11-3031.01,Treasurers and Controllers
50,75,59,5,29-1229.03,Urologists
51,75,57,5,29-1229.01,Allergists and Immunologists
52,75,57,5,29-1129.01,Art Therapists
53,75,57,5,19-2011.00,Astronomers
54,75,57,3,27-4011.00,Audio and Video Technicians
55,75,57,3,53-6051.01,Aviation Inspectors
56,75,57,3,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
57,75,57,3,19-4031.00,Chemical Technicians
58,75,57,3,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
59,75,57,3,39-4011.00,Embalmers
60,75,57,2,43-4071.00,File Clerks
61,75,57,3,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
62,75,57,4,27-1025.00,Interior Designers
63,75,57,4,11-9199.08,Loss Prevention Managers
64,75,57,2,17-3029.01,Non-Destructive Testing Specialists
65,75,57,3,19-4051.00,Nuclear Technicians
66,75,57,5,29-1151.00,Nurse Anesthetists
67,75,57,5,29-1218.00,Obstetricians and Gynecologists
68,75,57,3,29-2099.05,Ophthalmic Medical Technologists
69,75,57,2,43-4151.00,Order Clerks
70,75,57,4,27-3043.05,"Poets, Lyricists and Creative Writers"
71,75,57,3,19-4099.01,Quality Control Analysts
72,75,57,3,29-2034.00,Radiologic Technologists and Technicians
73,75,57,4,15-1255.01,Video Game Designers
74,75,57,2,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
75,75,57,2,43-9022.00,Word Processors and Typists
76,75,55,2,51-2022.00,Electrical and Electronic Equipment Assemblers
77,75,55,2,49-9051.00,Electrical Power-Line Installers and Repairers
78,75,55,3,51-6092.00,Fabric and Apparel Patternmakers
79,75,55,2,47-3013.00,Helpers--Electricians
80,75,55,4,17-2112.03,Manufacturing Engineers
81,75,55,4,11-3051.01,Quality Control Systems Managers
82,75,55,4,19-2099.01,Remote Sensing Scientists and Technologists
83,75,54,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
84,75,54,3,29-2012.00,Medical and Clinical Laboratory Technicians
85,75,54,3,33-9021.00,Private Detectives and Investigators
86,75,54,2,47-2221.00,Structural Iron and Steel Workers
87,75,52,3,29-2031.00,Cardiovascular Technologists and Technicians
88,75,48,2,47-4099.03,Weatherization Installers and Technicians
89,75,46,2,37-2021.00,Pest Control Workers
90,74,58,4,17-2121.00,Marine Engineers and Naval Architects
91,72,72,3,51-9071.00,Jewelers and Precious Stone and Metal Workers
92,72,68,5,19-1022.00,Microbiologists
93,72,66,5,23-1011.00,Lawyers
94,72,64,5,17-1011.00,"Architects, Except Landscape and Naval"
95,72,64,4,27-3041.00,Editors
96,72,64,3,13-1041.04,Government Property Inspectors and Investigators
97,72,64,3,43-6012.00,Legal Secretaries and Administrative Assistants
98,72,64,4,13-2072.00,Loan Officers
99,72,64,5,19-1029.02,Molecular and Cellular Biologists
100,72,64,3,23-2011.00,Paralegals and Legal Assistants
101,72,63,5,25-4012.00,Curators
102,72,61,2,51-9194.00,Etchers and Engravers
103,72,61,5,23-1012.00,Judicial Law Clerks
104,72,59,3,49-3011.00,Aircraft Mechanics and Service Technicians
