,Importance,Level,Job Zone,Code,Occupation
0,85,64,2,53-4011.00,Locomotive Engineers
1,81,77,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
2,81,70,3,53-2012.00,Commercial Pilots
3,78,61,3,53-2021.00,Air Traffic Controllers
4,78,55,2,53-3032.00,Heavy and Tractor-Trailer Truck Drivers Bright Outlook
5,78,52,2,53-3052.00,"Bus Drivers, Transit and Intercity"
6,75,63,2,53-5011.00,Sailors and Marine Oilers
7,75,57,2,33-9031.00,Gambling Surveillance Officers and Gambling Investigators
8,75,57,2,39-3021.00,Motion Picture Projectionists
9,72,59,3,53-7021.00,Crane and Tower Operators
10,72,59,2,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
11,72,57,3,27-4021.00,Photographers
12,72,57,2,27-2023.00,"Umpires, Referees, and Other Sports Officials"
13,70,59,2,53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
14,69,66,2,53-5022.00,Motorboat Operators
15,69,59,3,27-4031.00,"Camera Operators, Television, Video, and Film"
16,69,59,3,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
17,69,57,4,33-3031.00,Fish and Game Wardens
18,69,57,3,19-4092.00,Forensic Science Technicians
19,69,57,4,27-2012.05,Media Technical Directors/Managers
20,69,55,3,33-2011.00,Firefighters
21,69,55,3,13-1041.04,Government Property Inspectors and Investigators
22,69,55,3,33-3052.00,Transit and Railroad Police
23,69,54,2,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
24,69,52,2,53-4041.00,Subway and Streetcar Operators
25,69,48,2,53-7051.00,Industrial Truck and Tractor Operators
26,69,48,3,19-4051.00,Nuclear Technicians
27,69,48,2,33-9032.00,Security Guards
28,69,45,2,53-7121.00,"Tank Car, Truck, and Ship Loaders"
29,66,57,3,53-2022.00,Airfield Operations Specialists
30,66,57,5,17-1011.00,"Architects, Except Landscape and Naval"
31,66,57,5,19-2011.00,Astronomers
32,66,57,4,17-1022.00,Surveyors
33,66,55,3,33-3051.00,Police and Sheriff's Patrol Officers
34,66,55,4,27-2012.00,Producers and Directors
35,66,55,2,53-4031.00,Railroad Conductors and Yardmasters
36,66,54,2,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
37,66,54,2,47-2221.00,Structural Iron and Steel Workers
38,66,52,4,17-2051.00,Civil Engineers
39,66,52,2,17-3029.01,Non-Destructive Testing Specialists
40,66,50,3,33-3021.00,Detectives and Criminal Investigators
41,66,48,2,47-5081.00,Helpers--Extraction Workers
42,66,48,2,53-3033.00,Light Truck Drivers
43,66,46,2,53-1041.00,Aircraft Cargo Handling Supervisors
44,66,46,2,47-2073.00,Operating Engineers and Other Construction Equipment Operators
45,63,54,3,19-4071.00,Forest and Conservation Technicians
46,63,54,2,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
47,63,53,4,17-2121.00,Marine Engineers and Naval Architects
48,63,52,3,33-2022.00,Forest Fire Inspectors and Prevention Specialists
49,63,50,2,51-8091.00,Chemical Plant and System Operators
50,63,50,3,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
51,63,50,1,45-4022.00,Logging Equipment Operators
52,63,50,2,49-9095.00,Manufactured Building and Mobile Home Installers
53,63,50,3,49-9097.00,Signal and Track Switch Repairers
54,63,46,2,45-2011.00,Agricultural Inspectors
55,63,45,2,37-2021.00,Pest Control Workers
56,63,43,2,53-6021.00,Parking Attendants
57,60,54,4,11-9021.00,Construction Managers
58,60,54,2,11-9071.00,Gambling Managers
59,60,54,4,19-5011.00,Occupational Health and Safety Specialists
60,60,50,2,47-5041.00,Continuous Mining Machine Operators
61,60,48,2,27-2021.00,Athletes and Sports Competitors
62,60,48,3,53-6051.01,Aviation Inspectors
63,60,48,2,49-9051.00,Electrical Power-Line Installers and Repairers
64,60,46,1,45-2091.00,Agricultural Equipment Operators
65,60,46,3,17-3022.00,Civil Engineering Technologists and Technicians
66,60,46,3,33-1011.00,First-Line Supervisors of Correctional Officers
67,60,46,3,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
68,60,46,4,19-1031.02,Range Managers
69,60,45,2,51-9011.00,Chemical Equipment Operators and Tenders
70,60,45,3,13-1041.00,Compliance Officers
71,60,45,1,47-5011.00,"Derrick Operators, Oil and Gas"
72,60,45,3,47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
73,60,45,3,47-1011.03,Solar Energy Installation Managers
74,60,43,2,47-2031.00,Carpenters
75,56,54,5,19-1029.04,Biologists
76,56,54,4,17-2041.00,Chemical Engineers
77,56,54,3,47-4011.00,Construction and Building Inspectors
78,56,54,4,13-1041.01,Environmental Compliance Inspectors
79,56,54,1,45-3031.00,Fishing and Hunting Workers
80,56,54,4,17-2112.03,Manufacturing Engineers
81,56,54,5,29-1041.00,Optometrists
82,56,52,5,11-9041.00,Architectural and Engineering Managers
83,56,52,3,47-2111.00,Electricians
84,56,52,3,27-1026.00,Merchandise Displayers and Window Trimmers
85,56,52,5,29-1224.00,Radiologists
86,56,50,4,17-1021.00,Cartographers and Photogrammetrists
87,56,50,2,53-7031.00,Dredge Operators
88,56,50,4,19-1032.00,Foresters
89,56,48,3,49-9092.00,Commercial Divers
90,56,48,2,33-3012.00,Correctional Officers and Jailers
91,56,48,3,33-3051.04,Customs and Border Protection Officers
92,56,48,2,51-8092.00,Gas Plant Operators
93,56,48,5,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
94,56,48,2,33-9099.02,Retail Loss Prevention Specialists
95,56,48,2,49-9096.00,Riggers
96,56,48,3,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
97,56,46,2,33-9011.00,Animal Control Workers
98,56,46,5,25-1031.00,"Architecture Teachers, Postsecondary"
99,56,46,2,51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
100,56,46,5,19-2041.02,Environmental Restoration Planners
101,56,46,2,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
102,56,46,1,45-4021.00,Fallers
103,56,46,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
104,56,46,2,39-1013.00,First-Line Supervisors of Gambling Services Workers
105,56,46,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
106,56,46,3,19-4099.01,Quality Control Analysts
107,56,46,4,17-2051.01,Transportation Engineers
108,56,45,3,49-2097.00,Audiovisual Equipment Installers and Repairers
109,56,45,4,27-2022.00,Coaches and Scouts
110,56,45,2,47-5023.00,"Earth Drillers, Except Oil and Gas"
111,56,45,3,27-1022.00,Fashion Designers
112,56,45,3,51-8013.04,Hydroelectric Plant Technicians
113,56,45,4,19-1031.03,Park Naturalists
114,56,45,4,11-3051.01,Quality Control Systems Managers
115,56,45,2,47-5013.00,"Service Unit Operators, Oil and Gas"
116,56,45,4,53-6051.00,Transportation Inspectors
117,56,45,2,37-3013.00,Tree Trimmers and Pruners
118,56,43,3,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
119,56,43,2,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
120,56,43,1,47-5071.00,"Roustabouts, Oil and Gas"
121,56,43,2,47-2053.00,Terrazzo Workers and Finishers
122,56,39,2,43-5021.00,Couriers and Messengers
123,56,39,2,53-7041.00,Hoist and Winch Operators
124,55,50,3,17-3031.00,Surveying and Mapping Technicians
125,53,55,5,25-4012.00,Curators
126,53,54,4,27-1011.00,Art Directors
127,53,54,2,53-6011.00,Bridge and Lock Tenders
128,53,54,4,29-2011.00,Medical and Clinical Laboratory Technologists
129,53,54,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
130,53,54,5,29-1241.00,"Ophthalmologists, Except Pediatric"
131,53,54,2,33-9093.00,Transportation Security Screeners
132,53,52,3,27-4011.00,Audio and Video Technicians
133,53,52,4,17-2111.02,Fire-Prevention and Protection Engineers
134,53,52,3,33-1012.00,First-Line Supervisors of Police and Detectives
135,53,52,4,13-1151.00,Training and Development Specialists
136,53,50,2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
137,53,48,4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
138,53,48,4,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
139,53,48,4,27-1025.00,Interior Designers
140,53,48,4,11-9199.08,Loss Prevention Managers
141,53,48,5,19-1029.02,Molecular and Cellular Biologists
142,53,48,3,19-5012.00,Occupational Health and Safety Technicians
143,53,48,3,33-3021.02,Police Identification and Records Officers
144,53,48,3,33-9021.00,Private Detectives and Investigators
145,53,48,3,49-9081.00,Wind Turbine Service Technicians
146,53,46,2,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
147,53,46,5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
148,53,46,4,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
149,53,46,4,11-3051.04,Biomass Power Plant Managers
150,53,46,4,25-2023.00,"Career/Technical Education Teachers, Middle School"
151,53,46,4,25-2032.00,"Career/Technical Education Teachers, Secondary School"
152,53,46,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
153,53,46,4,19-2041.00,"Environmental Scientists and Specialists, Including Health"
154,53,46,3,11-3051.02,Geothermal Production Managers
155,53,46,5,19-2043.00,Hydrologists
156,53,46,5,25-9031.00,Instructional Coordinators
157,53,46,3,39-5091.00,"Makeup Artists, Theatrical and Performance"
158,53,46,2,49-9044.00,Millwrights
159,53,46,3,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
160,53,46,2,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
161,53,46,4,17-2161.00,Nuclear Engineers
162,53,46,3,41-9022.00,Real Estate Sales Agents
163,53,46,3,53-6041.00,Traffic Technicians
164,53,46,4,17-2051.02,Water/Wastewater Engineers
165,53,45,5,25-2059.01,Adapted Physical Education Specialists
166,53,45,4,17-2011.00,Aerospace Engineers
167,53,45,4,11-3051.03,Biofuels Production Managers
168,53,45,5,19-1029.01,Bioinformatics Scientists
169,53,45,2,51-8013.03,Biomass Plant Technicians
170,53,45,1,53-7011.00,Conveyor Operators and Tenders
171,53,45,2,33-9091.00,Crossing Guards and Flaggers
172,53,45,2,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
173,53,45,3,39-9031.00,Exercise Trainers and Group Fitness Instructors
174,53,45,3,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
175,53,45,2,53-2031.00,Flight Attendants
176,53,45,2,53-7071.00,Gas Compressor and Gas Pumping Station Operators
177,53,45,2,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
178,53,45,2,47-4051.00,Highway Maintenance Workers
179,53,45,4,33-3021.06,Intelligence Analysts
180,53,45,2,45-4023.00,Log Graders and Scalers
181,53,45,4,13-1121.00,"Meeting, Convention, and Event Planners"
182,53,45,2,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders"
183,53,45,4,25-4013.00,Museum Technicians and Conservators
184,53,45,3,51-8011.00,Nuclear Power Reactor Operators
185,53,45,2,33-3041.00,Parking Enforcement Workers
186,53,45,2,47-2072.00,Pile Driver Operators
187,53,45,2,53-7072.00,"Pump Operators, Except Wellhead Pumpers"
188,53,45,3,29-1124.00,Radiation Therapists
189,53,45,2,49-3043.00,Rail Car Repairers
190,53,45,4,29-1141.00,Registered Nurses
191,53,45,2,47-5043.00,"Roof Bolters, Mining"
192,53,45,2,47-2181.00,Roofers
193,53,45,3,47-2152.04,Solar Thermal Installers and Technicians
194,53,45,2,47-2044.00,Tile and Stone Setters
195,53,45,3,39-7011.00,Tour Guides and Escorts
196,53,45,4,19-3099.01,Transportation Planners
