,Importance,Level,Job Zone,Code,Occupation
0,72,55,3,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers Bright Outlook"
1,72,54,2,51-7021.00,Furniture Finishers
2,69,75,3,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators"
3,69,57,4,27-1011.00,Art Directors
4,69,55,2,51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
5,69,55,2,51-6093.00,Upholsterers
6,69,54,3,29-9093.00,Surgical Assistants
7,69,50,3,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
8,66,61,3,39-5091.00,"Makeup Artists, Theatrical and Performance"
9,66,57,3,43-9031.00,Desktop Publishers
10,66,57,3,47-2111.00,Electricians
11,66,57,2,27-1023.00,Floral Designers
12,66,57,4,27-1025.00,Interior Designers
13,66,57,3,27-4021.00,Photographers
14,66,57,4,27-1014.00,Special Effects Artists and Animators
15,66,55,3,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
16,66,54,2,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers"
17,66,54,3,49-9097.00,Signal and Track Switch Repairers
18,66,50,2,51-9151.00,Photographic Process Workers and Processing Machine Operators
19,66,48,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
20,66,45,2,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
21,63,54,2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
22,63,52,3,17-3024.01,Robotics Technicians
23,63,Not available,3,27-1022.00,Fashion Designers
24,60,63,3,51-9071.06,Gem and Diamond Workers
25,60,54,5,29-2011.02,Cytotechnologists
26,60,54,1,51-9123.00,"Painting, Coating, and Decorating Workers"
27,60,52,3,27-4031.00,"Camera Operators, Television, Video, and Film"
28,60,52,3,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
29,60,52,2,49-9095.00,Manufactured Building and Mobile Home Installers
30,60,50,3,19-4092.00,Forensic Science Technicians
31,60,48,2,51-8099.01,Biofuels Processing Technicians
32,60,48,3,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
