,Importance,Level,Job Zone,Code,Occupation
0,60,55,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
1,50,41,2,53-3032.00,Heavy and Tractor-Trailer Truck Drivers Bright Outlook
2,50,39,2,53-3052.00,"Bus Drivers, Transit and Intercity"
3,44,43,3,53-2012.00,Commercial Pilots
4,44,39,2,53-5022.00,Motorboat Operators
5,44,36,2,53-4011.00,Locomotive Engineers
6,44,34,2,53-6021.00,Parking Attendants
7,44,30,2,53-4041.00,Subway and Streetcar Operators
8,41,43,3,33-3052.00,Transit and Railroad Police
9,41,37,2,47-5041.00,Continuous Mining Machine Operators
10,41,36,2,53-5011.00,Sailors and Marine Oilers
11,41,32,2,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
12,41,30,3,49-9092.00,Commercial Divers
13,38,41,3,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
14,38,36,3,33-3051.00,Police and Sheriff's Patrol Officers
15,38,36,2,47-5043.00,"Roof Bolters, Mining"
16,38,29,1,45-4022.00,Logging Equipment Operators
17,35,37,3,33-2011.00,Firefighters
18,35,32,3,33-3021.00,Detectives and Criminal Investigators
19,35,32,2,53-3033.00,Light Truck Drivers
20,35,29,2,53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
21,35,27,2,49-9095.00,Manufactured Building and Mobile Home Installers
22,35,27,2,53-7081.00,Refuse and Recyclable Material Collectors
23,31,32,2,47-5044.00,"Loading and Moving Machine Operators, Underground Mining"
24,31,30,4,33-3031.00,Fish and Game Wardens
25,31,29,3,53-2022.00,Airfield Operations Specialists
26,31,29,2,53-6011.00,Bridge and Lock Tenders
27,31,29,2,37-2021.00,Pest Control Workers
28,28,30,3,53-2021.00,Air Traffic Controllers
29,28,30,2,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
30,28,30,3,33-1012.00,First-Line Supervisors of Police and Detectives
31,28,30,2,47-5012.00,"Rotary Drill Operators, Oil and Gas"
32,28,29,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
33,28,29,2,47-2073.00,Operating Engineers and Other Construction Equipment Operators
34,28,29,2,47-5013.00,"Service Unit Operators, Oil and Gas"
35,28,27,3,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
36,28,27,3,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
37,28,21,2,33-9032.00,Security Guards
38,28,16,3,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
39,25,29,2,47-5023.00,"Earth Drillers, Except Oil and Gas"
40,25,29,4,19-1032.00,Foresters
41,25,29,2,49-9044.00,Millwrights
42,25,29,2,33-3041.00,Parking Enforcement Workers
43,25,29,3,49-9097.00,Signal and Track Switch Repairers
44,25,29,2,53-7121.00,"Tank Car, Truck, and Ship Loaders"
45,25,27,3,49-3011.00,Aircraft Mechanics and Service Technicians
46,25,27,2,51-8013.03,Biomass Plant Technicians
47,25,27,3,53-7021.00,Crane and Tower Operators
48,25,27,2,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
49,25,27,2,53-3031.00,Driver/Sales Workers
50,25,27,2,47-3012.00,Helpers--Carpenters
51,25,27,2,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall"
52,25,27,2,51-4051.00,Metal-Refining Furnace Operators and Tenders
53,25,27,2,43-5041.00,"Meter Readers, Utilities"
54,25,27,2,39-9011.01,Nannies
55,25,27,2,47-2151.00,Pipelayers
56,25,27,1,47-5071.00,"Roustabouts, Oil and Gas"
57,25,27,1,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
58,25,27,2,47-2221.00,Structural Iron and Steel Workers
59,25,27,4,19-1023.00,Zoologists and Wildlife Biologists
60,25,26,1,45-3031.00,Fishing and Hunting Workers
61,25,25,3,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
62,25,25,2,33-3012.00,Correctional Officers and Jailers
63,25,25,1,47-5011.00,"Derrick Operators, Oil and Gas"
64,25,25,2,49-9099.01,Geothermal Technicians
65,25,25,3,47-4041.00,Hazardous Materials Removal Workers
66,25,25,2,49-9011.00,Mechanical Door Repairers
67,25,25,2,43-5052.00,Postal Service Mail Carriers
68,25,25,2,49-3043.00,Rail Car Repairers
