,Importance,Level,Job Zone,Code,Occupation
0,78,63,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
1,75,57,3,53-2012.00,Commercial Pilots
2,75,57,2,47-2072.00,Pile Driver Operators
3,75,55,2,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
4,75,55,2,47-2073.00,Operating Engineers and Other Construction Equipment Operators
5,72,59,3,53-7021.00,Crane and Tower Operators
6,72,50,2,53-4011.00,Locomotive Engineers
7,69,55,2,53-5011.00,Sailors and Marine Oilers
8,69,54,2,47-2221.00,Structural Iron and Steel Workers
9,69,48,2,47-5043.00,"Roof Bolters, Mining"
10,69,41,2,53-3052.00,"Bus Drivers, Transit and Intercity Bright Outlook"
11,66,52,2,47-5023.00,"Earth Drillers, Except Oil and Gas"
12,66,52,1,45-4022.00,Logging Equipment Operators
13,66,52,2,49-9095.00,Manufactured Building and Mobile Home Installers
14,66,52,2,53-7121.00,"Tank Car, Truck, and Ship Loaders"
15,66,50,2,53-7041.00,Hoist and Winch Operators
16,63,57,1,47-5011.00,"Derrick Operators, Oil and Gas"
17,63,52,2,53-7031.00,Dredge Operators
18,63,50,2,47-5041.00,Continuous Mining Machine Operators
19,63,50,2,53-3032.00,Heavy and Tractor-Trailer Truck Drivers
20,63,43,2,53-4041.00,Subway and Streetcar Operators
21,60,57,2,49-9096.00,Riggers
22,60,52,1,45-4021.00,Fallers
23,60,50,3,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
24,60,48,2,47-5081.00,Helpers--Extraction Workers
25,60,48,2,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
26,60,46,1,45-2091.00,Agricultural Equipment Operators
27,60,45,2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
28,60,41,1,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
29,56,55,2,53-7051.00,Industrial Truck and Tractor Operators
30,56,50,3,49-9092.00,Commercial Divers
31,56,46,2,53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
32,56,45,2,53-5022.00,Motorboat Operators
33,56,45,2,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
34,53,54,2,47-5044.00,"Loading and Moving Machine Operators, Underground Mining"
35,53,50,2,37-3013.00,Tree Trimmers and Pruners
36,53,48,2,47-5013.00,"Service Unit Operators, Oil and Gas"
37,53,46,2,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders"
38,53,46,3,33-2011.00,Firefighters
39,53,45,2,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
40,53,43,3,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
41,53,43,2,51-4051.00,Metal-Refining Furnace Operators and Tenders
42,53,43,2,47-2151.00,Pipelayers
43,53,41,2,47-4099.03,Weatherization Installers and Technicians
44,53,39,2,47-3016.00,Helpers--Roofers
45,50,48,2,51-9161.00,Computer Numerically Controlled Tool Operators
46,50,46,3,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
47,50,45,1,53-7011.00,Conveyor Operators and Tenders
48,50,45,2,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
49,50,45,2,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
50,50,45,2,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators"
51,50,43,2,53-1041.00,Aircraft Cargo Handling Supervisors
52,50,43,2,47-2061.00,Construction Laborers
53,50,43,2,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
54,50,43,5,29-1021.00,"Dentists, General"
55,50,43,2,49-9051.00,Electrical Power-Line Installers and Repairers
56,50,43,2,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
57,50,43,3,49-3041.00,Farm Equipment Mechanics and Service Technicians
58,50,43,4,33-3031.00,Fish and Game Wardens
59,50,43,2,45-4011.00,Forest and Conservation Workers
60,50,43,3,33-2022.00,Forest Fire Inspectors and Prevention Specialists
61,50,43,3,51-9082.00,Medical Appliance Technicians
62,50,43,2,49-9044.00,Millwrights
63,50,43,3,49-3051.00,Motorboat Mechanics and Service Technicians
64,50,43,3,51-7032.00,"Patternmakers, Wood"
65,50,43,2,53-7072.00,"Pump Operators, Except Wellhead Pumpers"
66,50,43,2,53-4031.00,Railroad Conductors and Yardmasters
67,50,43,2,53-7062.04,Recycling and Reclamation Workers
68,50,43,2,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
69,50,43,1,47-5071.00,"Roustabouts, Oil and Gas"
70,50,43,2,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood"
71,50,43,2,47-2211.00,Sheet Metal Workers
72,50,43,4,17-1022.00,Surveyors
73,50,43,2,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders"
74,50,41,2,51-9191.00,Adhesive Bonding Machine Operators and Tenders
75,50,41,2,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
76,50,41,3,47-2111.00,Electricians
77,50,41,2,47-4031.00,Fence Erectors
78,50,41,2,47-3012.00,Helpers--Carpenters
79,50,41,2,47-4051.00,Highway Maintenance Workers
80,50,41,2,53-3033.00,Light Truck Drivers
81,50,41,2,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
82,50,41,3,49-9097.00,Signal and Track Switch Repairers
83,50,41,3,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
84,50,41,2,51-6093.00,Upholsterers
85,50,39,2,51-7011.00,Cabinetmakers and Bench Carpenters
86,50,39,1,47-2051.00,Cement Masons and Concrete Finishers
87,50,39,2,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall"
88,50,39,2,49-9011.00,Mechanical Door Repairers
89,50,39,2,53-6021.00,Parking Attendants
90,50,39,2,47-4091.00,Segmental Pavers
91,50,37,2,43-5021.00,Couriers and Messengers
92,50,34,2,47-2041.00,Carpet Installers
93,47,46,3,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
94,47,45,3,47-4041.00,Hazardous Materials Removal Workers
95,47,43,3,49-3011.00,Aircraft Mechanics and Service Technicians
96,47,43,3,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
97,47,43,2,49-9099.01,Geothermal Technicians
98,47,43,3,49-9041.00,Industrial Machinery Mechanics
99,47,43,2,49-9094.00,Locksmiths and Safe Repairers
100,47,43,2,47-2181.00,Roofers
101,47,43,3,51-8031.00,Water and Wastewater Treatment Plant and System Operators
102,47,43,2,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
103,47,42,1,45-3031.00,Fishing and Hunting Workers
104,47,41,3,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
105,47,41,2,51-2031.00,Engine and Other Machine Assemblers
106,47,41,2,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
107,47,41,2,51-2051.00,Fiberglass Laminators and Fabricators
108,47,41,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
109,47,41,2,47-2121.00,Glaziers
110,47,41,2,51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
111,47,41,2,45-4023.00,Log Graders and Scalers
112,47,41,3,49-9071.00,"Maintenance and Repair Workers, General"
113,47,41,2,51-8013.00,Power Plant Operators
114,47,41,2,47-2171.00,Reinforcing Iron and Rebar Workers
115,47,41,1,47-5051.00,"Rock Splitters, Quarry"
116,47,41,2,47-5012.00,"Rotary Drill Operators, Oil and Gas"
117,47,41,3,47-1011.03,Solar Energy Installation Managers
118,47,41,3,47-2022.00,Stonemasons
119,47,41,3,33-3052.00,Transit and Railroad Police
120,47,41,4,53-6051.00,Transportation Inspectors
121,47,41,3,49-9081.00,Wind Turbine Service Technicians
122,47,39,2,49-3022.00,Automotive Glass Installers and Repairers
123,47,39,3,47-2011.00,Boilermakers
124,47,39,2,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
125,47,39,2,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers"
126,47,39,2,51-9198.00,Helpers--Production Workers
127,47,39,3,51-4061.00,"Model Makers, Metal and Plastic"
128,47,39,2,17-3029.01,Non-Destructive Testing Specialists
129,47,39,2,51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
130,47,37,3,13-1041.04,Government Property Inspectors and Investigators
131,47,37,2,51-9083.00,Ophthalmic Laboratory Technicians
132,47,37,2,37-2021.00,Pest Control Workers
133,47,37,2,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation"
134,47,36,2,47-2053.00,Terrazzo Workers and Finishers
135,47,34,2,39-2011.00,Animal Trainers
136,47,32,2,53-6031.00,Automotive and Watercraft Service Attendants
137,44,43,2,51-9011.00,Chemical Equipment Operators and Tenders
138,44,43,2,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
139,44,43,2,49-3043.00,Rail Car Repairers
140,44,41,2,47-2031.00,Carpenters
141,44,41,3,19-4071.00,Forest and Conservation Technicians
142,44,41,3,27-4021.00,Photographers
143,44,41,3,17-3024.01,Robotics Technicians
144,44,41,3,29-2055.00,Surgical Technologists
145,44,41,2,51-4121.00,"Welders, Cutters, Solderers, and Brazers"
146,44,39,2,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
147,44,39,2,49-3021.00,Automotive Body and Related Repairers
148,44,39,2,47-2021.00,Brickmasons and Blockmasons
149,44,39,2,47-2081.00,Drywall and Ceiling Tile Installers
150,44,39,3,47-4021.00,Elevator and Escalator Installers and Repairers
151,44,39,3,51-8013.04,Hydroelectric Plant Technicians
152,44,39,2,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
153,44,39,2,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic"
154,44,39,3,19-4051.00,Nuclear Technicians
155,44,39,2,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics
156,44,39,3,33-3051.00,Police and Sheriff's Patrol Officers
157,44,39,4,19-1031.02,Range Managers
158,44,39,2,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
159,44,39,1,51-6031.00,Sewing Machine Operators
160,44,39,2,49-9052.00,Telecommunications Line Installers and Repairers
161,44,39,3,51-4111.00,Tool and Die Makers
162,44,37,2,51-8013.03,Biomass Plant Technicians
163,44,37,2,49-3092.00,Recreational Vehicle Service Technicians
164,44,37,2,53-7081.00,Refuse and Recyclable Material Collectors
165,44,37,4,17-2199.08,Robotics Engineers
166,44,37,3,29-9093.00,Surgical Assistants
167,44,37,2,51-2061.00,Timing Device Assemblers and Adjusters
168,44,36,3,49-3023.00,Automotive Service Technicians and Mechanics
169,44,36,3,33-1012.00,First-Line Supervisors of Police and Detectives
170,44,36,2,51-8092.00,Gas Plant Operators
171,44,36,3,47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
172,44,36,2,51-4052.00,"Pourers and Casters, Metal"
173,44,36,2,47-2231.00,Solar Photovoltaic Installers
174,44,36,2,51-4194.00,"Tool Grinders, Filers, and Sharpeners"
175,44,34,3,33-3051.04,Customs and Border Protection Officers
176,44,34,2,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
177,44,32,3,19-4092.00,Forensic Science Technicians
178,44,32,2,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
179,44,32,3,29-1124.00,Radiation Therapists
180,44,30,4,17-3025.00,Environmental Engineering Technologists and Technicians
181,44,30,2,43-5041.00,"Meter Readers, Utilities"
182,44,30,3,49-3052.00,Motorcycle Mechanics
183,44,30,2,33-3041.00,Parking Enforcement Workers
184,44,30,2,49-3093.00,Tire Repairers and Changers
