,Importance,Level,Job Zone,Code,Occupation
0,81,73,4,27-2041.00,Music Directors and Composers
1,78,70,3,49-9063.00,Musical Instrument Repairers and Tuners
2,69,57,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
3,69,57,4,27-2042.00,Musicians and Singers
4,69,55,3,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
5,69,54,3,49-3052.00,Motorcycle Mechanics
6,66,55,3,27-4014.00,Sound Engineering Technicians Bright Outlook
7,66,55,5,29-1127.00,Speech-Language Pathologists
8,63,54,5,29-1181.00,Audiologists
9,63,54,3,49-9041.00,Industrial Machinery Mechanics
10,63,48,2,47-5041.00,Continuous Mining Machine Operators
11,63,48,1,47-5011.00,"Derrick Operators, Oil and Gas"
12,63,45,2,47-5013.00,"Service Unit Operators, Oil and Gas"
13,63,43,2,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
14,60,50,2,51-9161.00,Computer Numerically Controlled Tool Operators
15,60,43,2,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
16,60,41,2,53-4011.00,Locomotive Engineers
17,60,41,3,19-4051.00,Nuclear Technicians
18,60,39,2,51-8091.00,Chemical Plant and System Operators
19,56,50,3,49-3051.00,Motorboat Mechanics and Service Technicians
20,56,48,2,53-5011.00,Sailors and Marine Oilers
21,56,46,3,27-4011.00,Audio and Video Technicians
22,56,46,3,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
23,56,46,3,31-9099.01,Speech-Language Pathology Assistants
24,56,46,3,29-9093.00,Surgical Assistants
25,56,45,2,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
26,56,43,3,53-2012.00,Commercial Pilots
27,56,43,2,47-5023.00,"Earth Drillers, Except Oil and Gas"
28,56,43,1,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
29,56,43,2,47-2221.00,Structural Iron and Steel Workers
30,56,41,2,53-7041.00,Hoist and Winch Operators
31,56,39,1,45-4021.00,Fallers
32,53,50,1,45-2091.00,Agricultural Equipment Operators
33,53,50,4,29-1129.02,Music Therapists
34,53,48,3,49-3011.00,Aircraft Mechanics and Service Technicians
35,53,48,3,53-5031.00,Ship Engineers
36,53,46,2,49-9044.00,Millwrights
37,53,45,3,49-2097.00,Audiovisual Equipment Installers and Repairers
38,53,45,3,53-6051.01,Aviation Inspectors
39,53,45,3,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
40,53,45,3,29-2092.00,Hearing Aid Specialists
41,53,45,2,47-5081.00,Helpers--Extraction Workers
42,53,43,2,51-4051.00,Metal-Refining Furnace Operators and Tenders
43,53,40,2,53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
44,53,37,2,53-7031.00,Dredge Operators
45,50,52,3,49-3041.00,Farm Equipment Mechanics and Service Technicians
46,50,48,3,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
47,50,48,3,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
48,50,43,2,53-6011.00,Bridge and Lock Tenders
49,50,43,1,53-7011.00,Conveyor Operators and Tenders
50,50,43,3,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
51,50,43,2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
52,50,43,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
53,50,43,2,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
54,50,43,2,51-8092.00,Gas Plant Operators
55,50,43,2,53-3032.00,Heavy and Tractor-Trailer Truck Drivers
56,50,43,3,49-9071.00,"Maintenance and Repair Workers, General"
57,50,43,3,51-9082.00,Medical Appliance Technicians
58,50,43,2,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
59,50,43,2,47-2073.00,Operating Engineers and Other Construction Equipment Operators
60,50,43,2,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics
61,50,43,2,53-7072.00,"Pump Operators, Except Wellhead Pumpers"
62,50,43,2,49-3043.00,Rail Car Repairers
63,50,43,2,47-5043.00,"Roof Bolters, Mining"
64,50,43,1,47-5071.00,"Roustabouts, Oil and Gas"
65,50,43,3,49-9097.00,Signal and Track Switch Repairers
66,50,43,2,53-4041.00,Subway and Streetcar Operators
67,50,43,2,53-7121.00,"Tank Car, Truck, and Ship Loaders"
68,50,41,2,51-8099.01,Biofuels Processing Technicians
69,50,41,2,51-8013.03,Biomass Plant Technicians
70,50,41,2,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
71,50,41,2,49-9095.00,Manufactured Building and Mobile Home Installers
72,50,41,2,53-5022.00,Motorboat Operators
73,50,41,3,51-8011.00,Nuclear Power Reactor Operators
74,50,41,2,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
75,50,41,2,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
76,50,41,2,51-4194.00,"Tool Grinders, Filers, and Sharpeners"
77,50,41,2,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation"
78,50,39,3,33-3052.00,Transit and Railroad Police
79,50,36,2,51-7011.00,Cabinetmakers and Bench Carpenters
80,47,46,3,49-3023.00,Automotive Service Technicians and Mechanics
81,47,45,3,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
82,47,43,5,29-1071.01,Anesthesiologist Assistants
83,47,43,3,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
84,47,43,3,33-2011.00,Firefighters
85,47,43,2,47-5044.00,"Loading and Moving Machine Operators, Underground Mining"
86,47,43,3,49-9062.00,Medical Equipment Repairers
87,47,43,3,49-9081.00,Wind Turbine Service Technicians
88,47,41,2,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
89,47,41,3,49-2091.00,Avionics Technicians
90,47,41,3,53-7021.00,Crane and Tower Operators
91,47,41,4,29-1141.03,Critical Care Nurses
92,47,41,5,29-1021.00,"Dentists, General"
93,47,41,3,29-2032.00,Diagnostic Medical Sonographers
94,47,41,2,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
95,47,41,2,47-4051.00,Highway Maintenance Workers
96,47,41,4,27-3091.00,Interpreters and Translators
97,47,41,1,45-4022.00,Logging Equipment Operators
98,47,41,2,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
99,47,41,2,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
100,47,41,2,53-4031.00,Railroad Conductors and Yardmasters
101,47,41,2,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
102,47,41,3,29-2055.00,Surgical Technologists
103,47,41,3,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
104,47,39,3,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians
105,47,39,3,53-2021.00,Air Traffic Controllers
106,47,39,2,53-1041.00,Aircraft Cargo Handling Supervisors
107,47,39,3,47-2011.00,Boilermakers
108,47,39,2,53-3052.00,"Bus Drivers, Transit and Intercity"
109,47,39,3,49-9092.00,Commercial Divers
110,47,39,2,33-3012.00,Correctional Officers and Jailers
111,47,39,2,51-3092.00,Food Batchmakers
112,47,39,2,53-7071.00,Gas Compressor and Gas Pumping Station Operators
113,47,39,5,29-1151.00,Nurse Anesthetists
114,47,39,3,29-1126.00,Respiratory Therapists
115,47,39,3,51-8021.00,Stationary Engineers and Boiler Operators
116,47,39,2,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders"
117,47,39,2,51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
