,Importance,Level,Job Zone,Code,Occupation
0,72,55,3,49-9063.00,Musical Instrument Repairers and Tuners
1,69,52,2,53-4041.00,Subway and Streetcar Operators
2,66,57,2,53-4011.00,Locomotive Engineers
3,66,55,2,53-5011.00,Sailors and Marine Oilers
4,66,52,3,19-4051.00,Nuclear Technicians
5,66,Not available,4,27-2041.00,Music Directors and Composers
6,63,59,2,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
7,63,57,1,47-5011.00,"Derrick Operators, Oil and Gas Bright Outlook"
8,63,55,3,53-2021.00,Air Traffic Controllers
9,63,54,2,51-8092.00,Gas Plant Operators
10,63,52,4,27-2042.00,Musicians and Singers
11,63,48,2,53-5022.00,Motorboat Operators
12,60,52,3,33-2011.00,Firefighters
13,60,52,2,47-2221.00,Structural Iron and Steel Workers
14,60,50,2,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
15,60,46,5,29-1181.00,Audiologists
16,60,Not available,1,45-4021.00,Fallers
17,58,47,2,53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
18,56,57,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
19,56,55,2,51-9161.00,Computer Numerically Controlled Tool Operators
20,56,52,2,53-2031.00,Flight Attendants
21,56,48,2,51-8091.00,Chemical Plant and System Operators
22,56,48,3,27-4014.00,Sound Engineering Technicians
23,56,46,2,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
24,56,46,2,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
25,56,46,2,47-4051.00,Highway Maintenance Workers
26,56,46,2,47-5013.00,"Service Unit Operators, Oil and Gas"
27,53,55,2,53-4031.00,Railroad Conductors and Yardmasters
28,53,50,3,49-9041.00,Industrial Machinery Mechanics
29,53,50,2,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
30,53,50,2,47-5012.00,"Rotary Drill Operators, Oil and Gas"
31,53,48,3,49-3052.00,Motorcycle Mechanics
32,53,48,2,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
33,53,48,3,53-5031.00,Ship Engineers
34,53,48,2,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
35,53,46,2,53-1041.00,Aircraft Cargo Handling Supervisors
36,53,46,3,53-6051.01,Aviation Inspectors
37,53,46,3,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
38,53,46,3,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
39,53,46,2,47-5081.00,Helpers--Extraction Workers
40,53,46,3,51-8021.00,Stationary Engineers and Boiler Operators
41,53,45,2,51-8099.01,Biofuels Processing Technicians
42,53,45,3,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
43,53,45,3,29-2092.00,Hearing Aid Specialists
44,53,45,2,53-7051.00,Industrial Truck and Tractor Operators
45,53,45,2,49-9044.00,Millwrights
46,53,45,3,51-4061.00,"Model Makers, Metal and Plastic"
47,53,45,4,29-1129.02,Music Therapists
48,53,45,2,51-8013.00,Power Plant Operators
49,53,45,2,43-5031.00,Public Safety Telecommunicators
50,53,45,2,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
51,53,43,3,27-4011.00,Audio and Video Technicians
52,53,43,2,53-6011.00,Bridge and Lock Tenders
53,53,43,2,53-3052.00,"Bus Drivers, Transit and Intercity"
54,53,43,3,33-1011.00,First-Line Supervisors of Correctional Officers
55,53,43,5,29-1127.00,Speech-Language Pathologists
56,53,43,3,29-9093.00,Surgical Assistants
57,53,43,2,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders"
58,53,41,3,33-3052.00,Transit and Railroad Police
59,50,55,2,47-5041.00,Continuous Mining Machine Operators
60,50,52,3,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
61,50,50,2,53-7072.00,"Pump Operators, Except Wellhead Pumpers"
62,50,48,2,53-7031.00,Dredge Operators
63,50,48,2,47-5043.00,"Roof Bolters, Mining"
64,50,46,3,53-2022.00,Airfield Operations Specialists
65,50,46,2,51-9011.00,Chemical Equipment Operators and Tenders
66,50,46,3,53-2012.00,Commercial Pilots
67,50,46,2,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
68,50,46,2,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
69,50,46,2,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
70,50,46,2,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
71,50,46,2,51-4051.00,Metal-Refining Furnace Operators and Tenders
72,50,46,2,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
73,50,46,2,51-9197.00,Tire Builders
74,50,46,2,37-3013.00,Tree Trimmers and Pruners
75,50,45,2,51-9191.00,Adhesive Bonding Machine Operators and Tenders
76,50,45,2,45-2011.00,Agricultural Inspectors
77,50,45,3,49-3011.00,Aircraft Mechanics and Service Technicians
78,50,45,3,49-3023.00,Automotive Service Technicians and Mechanics
79,50,45,2,51-7011.00,Cabinetmakers and Bench Carpenters
80,50,45,2,33-3012.00,Correctional Officers and Jailers
81,50,45,3,49-3041.00,Farm Equipment Mechanics and Service Technicians
82,50,45,2,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
83,50,45,2,53-3032.00,Heavy and Tractor-Trailer Truck Drivers
84,50,45,4,27-3091.00,Interpreters and Translators
85,50,45,2,51-4192.00,"Layout Workers, Metal and Plastic"
86,50,43,2,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
87,50,43,2,35-3011.00,Bartenders
88,50,43,2,47-5023.00,"Earth Drillers, Except Oil and Gas"
89,50,43,3,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
90,50,43,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
91,50,43,2,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
92,50,43,2,53-7071.00,Gas Compressor and Gas Pumping Station Operators
93,50,43,2,47-5044.00,"Loading and Moving Machine Operators, Underground Mining"
94,50,43,2,49-9095.00,Manufactured Building and Mobile Home Installers
95,50,43,3,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
96,50,43,2,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
97,50,43,3,51-8011.00,Nuclear Power Reactor Operators
98,50,43,2,47-2073.00,Operating Engineers and Other Construction Equipment Operators
99,50,43,2,47-2072.00,Pile Driver Operators
100,50,43,2,31-1133.00,Psychiatric Aides
101,50,43,1,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
102,50,43,2,47-2211.00,Sheet Metal Workers
103,50,43,3,49-9097.00,Signal and Track Switch Repairers
104,50,43,3,31-9099.01,Speech-Language Pathology Assistants
105,50,43,2,53-7121.00,"Tank Car, Truck, and Ship Loaders"
106,50,43,3,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
107,50,43,2,51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
108,50,43,2,51-4194.00,"Tool Grinders, Filers, and Sharpeners"
109,50,43,3,29-2056.00,Veterinary Technologists and Technicians
110,50,43,3,49-9081.00,Wind Turbine Service Technicians
111,50,41,2,49-3021.00,Automotive Body and Related Repairers
112,50,41,3,47-2011.00,Boilermakers
113,50,41,4,29-1141.03,Critical Care Nurses
114,50,41,2,51-3092.00,Food Batchmakers
115,50,41,2,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics
116,50,41,2,49-9096.00,Riggers
117,50,41,1,47-5071.00,"Roustabouts, Oil and Gas"
118,50,41,2,51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
119,50,39,2,51-4071.00,Foundry Mold and Coremakers
120,50,39,2,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation"
121,50,32,2,51-8013.03,Biomass Plant Technicians
122,50,Not available,2,53-7041.00,Hoist and Winch Operators
