,Importance,Level,Job Zone,Code,Occupation
0,50,41,2,53-5011.00,Sailors and Marine Oilers
1,47,41,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
2,47,41,2,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
3,44,46,2,53-4041.00,Subway and Streetcar Operators
4,44,37,3,33-3051.00,Police and Sheriff's Patrol Officers
5,44,34,3,49-9041.00,Industrial Machinery Mechanics Bright Outlook
6,44,34,2,47-5013.00,"Service Unit Operators, Oil and Gas"
7,44,30,2,53-6011.00,Bridge and Lock Tenders
8,44,30,2,53-7041.00,Hoist and Winch Operators
9,44,29,2,49-3043.00,Rail Car Repairers
10,44,Not available,4,27-2041.00,Music Directors and Composers
11,41,41,2,53-3032.00,Heavy and Tractor-Trailer Truck Drivers
12,41,37,3,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
13,41,37,3,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
14,41,37,2,47-5041.00,Continuous Mining Machine Operators
15,41,36,2,53-5022.00,Motorboat Operators
16,41,36,2,47-5043.00,"Roof Bolters, Mining"
17,41,32,2,51-9161.00,Computer Numerically Controlled Tool Operators
18,41,30,3,49-3041.00,Farm Equipment Mechanics and Service Technicians
19,41,30,2,53-4011.00,Locomotive Engineers
20,41,30,3,33-3052.00,Transit and Railroad Police
21,38,37,3,33-2011.00,Firefighters
22,38,32,2,51-8099.01,Biofuels Processing Technicians
23,38,30,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
24,38,29,3,53-7021.00,Crane and Tower Operators
25,38,29,3,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
26,38,27,2,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
27,35,36,3,49-3023.00,Automotive Service Technicians and Mechanics
28,35,30,3,49-2097.00,Audiovisual Equipment Installers and Repairers
29,35,30,1,47-5011.00,"Derrick Operators, Oil and Gas"
30,35,30,1,45-4021.00,Fallers
31,35,30,3,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
32,35,29,3,51-8013.04,Hydroelectric Plant Technicians
33,35,27,2,49-9095.00,Manufactured Building and Mobile Home Installers
34,31,34,3,53-2012.00,Commercial Pilots
35,31,32,3,49-3052.00,Motorcycle Mechanics
36,31,30,2,53-3052.00,"Bus Drivers, Transit and Intercity"
37,31,30,2,53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
38,31,29,2,47-5081.00,Helpers--Extraction Workers
39,31,27,3,17-3027.01,Automotive Engineering Technicians
40,31,27,2,47-3016.00,Helpers--Roofers
41,31,27,3,49-3051.00,Motorboat Mechanics and Service Technicians
42,28,32,4,33-3031.00,Fish and Game Wardens
43,28,32,2,47-2221.00,Structural Iron and Steel Workers
44,28,30,3,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
45,28,30,3,33-1012.00,First-Line Supervisors of Police and Detectives
46,28,30,3,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
47,28,30,2,47-4051.00,Highway Maintenance Workers
48,28,30,1,45-4022.00,Logging Equipment Operators
49,28,30,1,47-5071.00,"Roustabouts, Oil and Gas"
50,28,30,3,49-9097.00,Signal and Track Switch Repairers
51,28,29,1,45-2091.00,Agricultural Equipment Operators
52,28,29,2,33-9011.00,Animal Control Workers
53,28,29,2,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
54,28,29,2,49-9099.01,Geothermal Technicians
55,28,29,2,53-7051.00,Industrial Truck and Tractor Operators
56,28,29,2,51-4051.00,Metal-Refining Furnace Operators and Tenders
57,28,29,2,49-9044.00,Millwrights
58,28,29,2,47-2073.00,Operating Engineers and Other Construction Equipment Operators
59,28,29,2,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics
60,28,29,1,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
61,28,27,2,53-6031.00,Automotive and Watercraft Service Attendants
62,28,27,3,49-9092.00,Commercial Divers
63,28,27,3,33-3021.00,Detectives and Criminal Investigators
64,28,27,2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
65,28,27,2,37-2021.00,Pest Control Workers
66,28,27,3,53-5031.00,Ship Engineers
67,28,27,2,37-3013.00,Tree Trimmers and Pruners
68,28,25,2,51-8013.03,Biomass Plant Technicians
69,28,25,3,19-4051.00,Nuclear Technicians
70,28,25,2,33-3041.00,Parking Enforcement Workers
71,28,21,2,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
72,28,21,2,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
73,28,20,2,47-2231.00,Solar Photovoltaic Installers
74,28,18,2,39-9011.01,Nannies
75,28,Not available,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
76,28,Not available,4,27-2042.00,Musicians and Singers
77,27,25,1,45-3031.00,Fishing and Hunting Workers
78,25,30,2,33-3012.00,Correctional Officers and Jailers
79,25,29,3,49-3011.00,Aircraft Mechanics and Service Technicians
80,25,29,3,53-6051.01,Aviation Inspectors
81,25,29,2,53-3031.00,Driver/Sales Workers
82,25,29,2,45-4011.00,Forest and Conservation Workers
83,25,29,2,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers"
84,25,29,2,53-3033.00,Light Truck Drivers
85,25,29,2,49-9011.00,Mechanical Door Repairers
