,Importance,Level,Job Zone,Code,Occupation
0,81,77,5,29-1127.00,Speech-Language Pathologists Bright Outlook
1,78,61,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
2,78,59,5,19-3033.00,Clinical and Counseling Psychologists
3,78,59,3,27-3092.00,Court Reporters and Simultaneous Captioners
4,78,57,3,41-3041.00,Travel Agents
5,75,68,3,31-9099.01,Speech-Language Pathology Assistants
6,75,66,4,11-3121.00,Human Resources Managers
7,75,66,5,21-1014.00,Mental Health Counselors
8,75,64,5,11-1011.00,Chief Executives
9,75,64,5,21-2011.00,Clergy
10,75,64,5,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary"
11,75,63,3,53-2021.00,Air Traffic Controllers
12,75,63,4,33-3021.06,Intelligence Analysts
13,75,63,5,29-1229.05,Preventive Medicine Physicians
14,75,61,3,31-9094.00,Medical Transcriptionists
15,75,59,2,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
16,75,59,3,43-6011.00,Executive Secretaries and Executive Administrative Assistants
17,75,59,5,19-3032.00,Industrial-Organizational Psychologists
18,75,59,5,25-9031.00,Instructional Coordinators
19,75,59,4,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
20,75,57,5,29-1141.02,Advanced Practice Psychiatric Nurses
21,75,57,4,41-3011.00,Advertising Sales Agents
22,75,57,4,27-2022.00,Coaches and Scouts
23,75,57,4,29-1141.03,Critical Care Nurses
24,75,57,5,11-9033.00,"Education Administrators, Postsecondary"
25,75,57,4,25-2021.00,"Elementary School Teachers, Except Special Education"
26,75,57,4,13-1041.03,Equal Opportunity Representatives and Officers
27,75,57,4,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
28,75,57,4,13-1131.00,Fundraisers
29,75,57,5,21-1022.00,Healthcare Social Workers
30,75,57,5,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
31,75,57,3,43-4131.00,Loan Interviewers and Clerks
32,75,57,4,11-9081.00,Lodging Managers
33,75,57,5,21-1013.00,Marriage and Family Therapists
34,75,57,5,29-1299.01,Naturopathic Physicians
35,75,57,5,29-1171.00,Nurse Practitioners
36,75,57,5,29-1241.00,"Ophthalmologists, Except Pediatric"
37,75,57,5,29-1221.00,"Pediatricians, General"
38,75,57,5,29-1071.00,Physician Assistants
39,75,57,5,29-1081.00,Podiatrists
40,75,57,5,29-1223.00,Psychiatrists
41,75,57,4,27-3031.00,Public Relations Specialists
42,75,57,4,41-9031.00,Sales Engineers
43,75,57,4,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
44,75,57,2,43-2011.00,"Switchboard Operators, Including Answering Service"
45,75,55,5,11-1011.03,Chief Sustainability Officers
46,75,55,4,29-1128.00,Exercise Physiologists
47,75,55,4,13-1121.00,"Meeting, Convention, and Event Planners"
48,75,55,2,43-4151.00,Order Clerks
49,75,55,4,13-1151.00,Training and Development Specialists
50,75,54,2,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
51,75,54,3,11-9199.09,Wind Energy Operations Managers
52,75,46,2,43-4051.00,Customer Service Representatives
53,72,68,4,27-3091.00,Interpreters and Translators
54,72,66,2,43-5031.00,Public Safety Telecommunicators
55,72,61,2,43-2021.00,Telephone Operators
56,72,61,4,11-3131.00,Training and Development Managers
57,72,59,3,39-6012.00,Concierges
58,72,59,4,11-9161.00,Emergency Management Directors
59,72,59,5,29-1217.00,Neurologists
60,72,59,4,27-3023.00,"News Analysts, Reporters, and Journalists"
61,72,59,2,39-7012.00,Travel Guides
62,72,57,4,11-2011.00,Advertising and Promotions Managers
63,72,57,5,25-1052.00,"Chemistry Teachers, Postsecondary"
64,72,57,4,21-1021.00,"Child, Family, and School Social Workers"
65,72,57,3,33-3021.00,Detectives and Criminal Investigators
66,72,57,5,25-1081.00,"Education Teachers, Postsecondary"
67,72,57,5,29-1215.00,Family Medicine Physicians
68,72,57,5,29-1216.00,General Internal Medicine Physicians
69,72,57,5,29-1229.02,Hospitalists
70,72,57,3,43-4111.00,"Interviewers, Except Eligibility and Loan"
71,72,57,4,11-9111.00,Medical and Health Services Managers
72,72,57,5,21-1023.00,Mental Health and Substance Abuse Social Workers
73,72,57,5,29-1218.00,Obstetricians and Gynecologists
74,72,57,5,29-1122.00,Occupational Therapists
75,72,57,5,19-2012.00,Physicists
76,72,57,4,11-3061.00,Purchasing Managers
77,72,57,3,41-9022.00,Real Estate Sales Agents
78,72,57,4,11-2022.00,Sales Managers
79,72,57,5,19-3034.00,School Psychologists
80,72,57,4,11-9151.00,Social and Community Service Managers
81,72,57,5,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
82,72,55,5,29-1129.01,Art Therapists
83,72,55,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
84,72,55,5,29-1021.00,"Dentists, General"
85,72,55,4,27-3041.00,Editors
86,72,55,4,13-2061.00,Financial Examiners
87,72,55,2,53-2031.00,Flight Attendants
88,72,55,4,13-1071.00,Human Resources Specialists
89,72,55,5,23-1012.00,Judicial Law Clerks
90,72,55,4,13-1081.00,Logisticians
91,72,55,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
92,72,55,4,29-1129.02,Music Therapists
93,72,55,4,13-2052.00,Personal Financial Advisors
94,72,55,5,19-3094.00,Political Scientists
95,72,55,3,11-9179.02,Spa Managers
96,72,55,4,25-2057.00,"Special Education Teachers, Middle School"
97,72,55,4,25-2058.00,"Special Education Teachers, Secondary School"
98,72,55,5,19-3051.00,Urban and Regional Planners
99,72,54,3,29-1141.01,Acute Care Nurses
100,72,54,4,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
101,72,54,5,29-1229.01,Allergists and Immunologists
102,72,54,5,29-9091.00,Athletic Trainers
103,72,54,4,25-2023.00,"Career/Technical Education Teachers, Middle School"
104,72,54,4,25-2032.00,"Career/Technical Education Teachers, Secondary School"
105,72,54,4,21-2021.00,"Directors, Religious Activities and Education"
106,72,54,3,13-1041.04,Government Property Inspectors and Investigators
107,72,54,4,13-1111.00,Management Analysts
108,72,54,3,29-2052.00,Pharmacy Technicians
109,72,54,3,31-2021.00,Physical Therapist Assistants
110,72,54,3,25-3041.00,Tutors
111,72,54,4,11-9199.10,Wind Energy Development Managers
112,72,52,3,53-2012.00,Commercial Pilots
113,72,52,4,13-2099.04,"Fraud Examiners, Investigators and Analysts"
114,72,52,2,43-4171.00,Receptionists and Information Clerks
115,72,52,2,43-3071.00,Tellers
116,72,50,4,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
117,72,50,3,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
118,72,50,5,29-9092.00,Genetic Counselors
119,72,48,4,19-2021.00,Atmospheric and Space Scientists
120,72,48,4,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
121,72,46,4,33-3031.00,Fish and Game Wardens
122,72,46,3,31-9092.00,Medical Assistants
123,72,46,2,11-9131.00,Postmasters and Mail Superintendents
124,69,59,5,29-1181.00,Audiologists
125,69,59,3,33-3051.04,Customs and Border Protection Officers
126,69,59,2,11-9071.00,Gambling Managers
127,69,57,5,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
128,69,57,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
129,69,57,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
130,69,57,5,19-1011.00,Animal Scientists
131,69,57,5,23-1022.00,"Arbitrators, Mediators, and Conciliators"
132,69,57,5,25-1042.00,"Biological Science Teachers, Postsecondary"
133,69,57,5,25-1032.00,"Engineering Teachers, Postsecondary"
134,69,57,4,17-2111.02,Fire-Prevention and Protection Engineers
135,69,57,5,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
136,69,57,4,13-2072.00,Loan Officers
137,69,57,5,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
138,69,57,5,29-1041.00,Optometrists
139,69,57,5,29-1222.00,"Physicians, Pathologists"
140,69,57,4,27-2012.00,Producers and Directors
141,69,57,5,25-1066.00,"Psychology Teachers, Postsecondary"
142,69,57,4,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
143,69,57,5,25-1113.00,"Social Work Teachers, Postsecondary"
144,69,57,4,17-2051.01,Transportation Engineers
145,69,55,5,25-2059.01,Adapted Physical Education Specialists
146,69,55,5,29-1211.00,Anesthesiologists
147,69,55,5,19-3091.00,Anthropologists and Archeologists
148,69,55,5,11-9041.00,Architectural and Engineering Managers
149,69,55,5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
150,69,55,5,15-2041.01,Biostatisticians
151,69,55,3,13-1041.00,Compliance Officers
152,69,55,2,41-9011.00,Demonstrators and Product Promoters
153,69,55,3,43-4061.00,"Eligibility Interviewers, Government Programs"
154,69,55,4,17-2199.03,"Energy Engineers, Except Wind and Solar"
155,69,55,5,19-2041.02,Environmental Restoration Planners
156,69,55,5,19-1041.00,Epidemiologists
157,69,55,5,25-9021.00,Farm and Home Management Educators
158,69,55,4,11-3031.00,Financial Managers
159,69,55,3,33-1012.00,First-Line Supervisors of Police and Detectives
160,69,55,2,41-1011.00,First-Line Supervisors of Retail Sales Workers
161,69,55,4,17-1012.00,Landscape Architects
162,69,55,4,11-9199.08,Loss Prevention Managers
163,69,55,4,27-2012.05,Media Technical Directors/Managers
164,69,55,3,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers"
165,69,55,5,11-9121.00,Natural Sciences Managers
166,69,55,5,29-1161.00,Nurse Midwives
167,69,55,5,29-1051.00,Pharmacists
168,69,55,4,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
169,69,55,4,29-1141.00,Registered Nurses
170,69,55,4,13-1041.07,Regulatory Affairs Specialists
171,69,55,4,21-1015.00,Rehabilitation Counselors
172,69,55,4,13-1161.01,Search Marketing Strategists
173,69,55,5,27-1027.00,Set and Exhibit Designers
174,69,55,5,29-1229.03,Urologists
175,69,54,4,11-9121.01,Clinical Research Coordinators
176,69,54,5,25-1122.00,"Communications Teachers, Postsecondary"
177,69,54,4,19-2041.00,"Environmental Scientists and Specialists, Including Health"
178,69,54,4,19-3092.00,Geographers
179,69,54,3,43-6012.00,Legal Secretaries and Administrative Assistants
180,69,54,4,27-2012.03,Media Programming Directors
181,69,54,5,19-1042.00,"Medical Scientists, Except Epidemiologists"
182,69,54,5,29-1022.00,Oral and Maxillofacial Surgeons
183,69,54,4,19-1031.03,Park Naturalists
184,69,54,2,41-2022.00,Parts Salespersons
185,69,54,3,29-2099.08,Patient Representatives
186,69,54,4,21-1092.00,Probation Officers and Correctional Treatment Specialists
187,69,54,2,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
188,69,54,5,29-1229.06,Sports Medicine Physicians
189,69,54,5,19-3022.00,Survey Researchers
190,69,52,2,39-1013.00,First-Line Supervisors of Gambling Services Workers
191,69,52,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
192,69,52,3,19-4092.00,Forensic Science Technicians
193,69,52,3,29-2061.00,Licensed Practical and Licensed Vocational Nurses
194,69,52,3,17-3027.00,Mechanical Engineering Technologists and Technicians
195,69,52,3,29-2099.05,Ophthalmic Medical Technologists
196,69,52,5,29-1299.02,Orthoptists
197,69,52,5,29-1229.04,Physical Medicine and Rehabilitation Physicians
198,69,52,5,29-1123.00,Physical Therapists
199,69,52,4,11-3071.00,"Transportation, Storage, and Distribution Managers"
200,69,50,4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
201,69,50,4,21-1094.00,Community Health Workers
202,69,50,4,11-9179.01,Fitness and Wellness Coordinators
203,69,50,4,13-1081.02,Logistics Analysts
204,69,50,4,17-2121.00,Marine Engineers and Naval Architects
205,69,50,3,29-2081.00,"Opticians, Dispensing"
206,69,50,5,29-1023.00,Orthodontists
207,69,50,4,29-1125.00,Recreational Therapists
208,69,50,3,29-9093.00,Surgical Assistants
209,69,50,3,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
210,69,48,4,17-2141.02,Automotive Engineers
211,69,48,3,35-1011.00,Chefs and Head Cooks
212,69,48,4,15-2051.02,Clinical Data Managers
213,69,48,3,31-9091.00,Dental Assistants
214,69,48,2,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
215,69,48,3,51-1011.00,First-Line Supervisors of Production and Operating Workers
216,69,48,4,21-1091.00,Health Education Specialists
217,69,48,5,29-1151.00,Nurse Anesthetists
218,69,46,4,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
219,69,46,3,11-3051.02,Geothermal Production Managers
220,69,45,2,43-6013.00,Medical Secretaries and Administrative Assistants
221,69,45,2,39-9011.01,Nannies
222,69,45,2,53-1042.01,Recycling Coordinators
223,69,45,3,29-2056.00,Veterinary Technologists and Technicians
224,66,57,4,17-2051.00,Civil Engineers
225,66,57,5,19-3011.01,Environmental Economists
226,66,57,3,33-3051.00,Police and Sheriff's Patrol Officers
227,66,57,5,29-1224.00,Radiologists
228,66,57,3,39-9041.00,Residential Advisors
229,66,55,4,27-1021.00,Commercial and Industrial Designers
230,66,55,5,25-4012.00,Curators
231,66,55,5,29-1031.00,Dietitians and Nutritionists
232,66,55,5,25-1063.00,"Economics Teachers, Postsecondary"
233,66,55,4,13-1081.01,Logistics Engineers
234,66,55,4,11-2021.00,Marketing Managers
235,66,55,5,19-1029.02,Molecular and Cellular Biologists
236,66,55,4,11-9199.01,Regulatory Affairs Managers
237,66,55,5,19-3041.00,Sociologists
238,66,54,5,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
239,66,54,5,19-1029.04,Biologists
240,66,54,3,43-4011.00,Brokerage Clerks
241,66,54,4,13-1199.04,Business Continuity Planners
242,66,54,5,29-1141.04,Clinical Nurse Specialists
243,66,54,4,11-9021.00,Construction Managers
244,66,54,3,13-1041.06,Coroners
245,66,54,5,29-1213.00,Dermatologists
246,66,54,4,13-1041.01,Environmental Compliance Inspectors
247,66,54,4,17-2081.00,Environmental Engineers
248,66,54,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
249,66,54,3,29-2092.00,Hearing Aid Specialists
250,66,54,5,17-2112.01,Human Factors Engineers and Ergonomists
251,66,54,5,19-2041.03,Industrial Ecologists
252,66,54,4,41-3021.00,Insurance Sales Agents
253,66,54,4,25-2012.00,"Kindergarten Teachers, Except Special Education"
254,66,54,4,13-1075.00,Labor Relations Specialists
255,66,54,3,33-9021.00,Private Detectives and Investigators
256,66,54,5,29-1024.00,Prosthodontists
257,66,54,4,41-9021.00,Real Estate Brokers
258,66,54,4,11-3031.01,Treasurers and Controllers
259,66,52,3,11-3012.00,Administrative Services Managers
