,Importance,Level,Job Zone,Code,Occupation
0,97,79,5,21-2011.00,Clergy
1,91,70,5,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary Bright Outlook"
2,91,64,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
3,85,71,5,25-1081.00,"Education Teachers, Postsecondary"
4,81,73,5,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
5,81,73,5,25-1113.00,"Social Work Teachers, Postsecondary"
6,81,70,5,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
7,81,68,5,11-1011.00,Chief Executives
8,81,68,5,25-1032.00,"Engineering Teachers, Postsecondary"
9,81,64,5,23-1011.00,Lawyers
10,81,63,4,27-3023.00,"News Analysts, Reporters, and Journalists"
11,81,59,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
12,78,77,5,25-1112.00,"Law Teachers, Postsecondary"
13,78,73,5,25-1031.00,"Architecture Teachers, Postsecondary"
14,78,73,5,25-1011.00,"Business Teachers, Postsecondary"
15,78,71,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
16,78,71,5,25-1126.00,"Philosophy and Religion Teachers, Postsecondary"
17,78,70,5,25-1042.00,"Biological Science Teachers, Postsecondary"
18,78,66,5,25-1122.00,"Communications Teachers, Postsecondary"
19,78,66,5,21-1014.00,Mental Health Counselors
20,78,66,5,29-1229.05,Preventive Medicine Physicians
21,78,66,5,29-1127.00,Speech-Language Pathologists
22,78,63,5,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
23,78,61,4,11-9161.00,Emergency Management Directors
24,78,59,5,25-9021.00,Farm and Home Management Educators
25,78,59,4,13-1131.00,Fundraisers
26,78,59,5,25-9031.00,Instructional Coordinators
27,78,59,4,19-1031.03,Park Naturalists
28,78,59,4,41-9031.00,Sales Engineers
29,78,57,4,41-3011.00,Advertising Sales Agents
30,78,57,3,53-2021.00,Air Traffic Controllers
31,78,57,4,25-2032.00,"Career/Technical Education Teachers, Secondary School"
32,78,57,2,43-5031.00,Public Safety Telecommunicators
33,78,57,4,25-2058.00,"Special Education Teachers, Secondary School"
34,78,57,5,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
35,78,54,2,43-2021.00,Telephone Operators
36,75,71,5,25-1066.00,"Psychology Teachers, Postsecondary"
37,75,71,4,11-3131.00,Training and Development Managers
38,75,70,5,25-1053.00,"Environmental Science Teachers, Postsecondary"
39,75,70,5,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
40,75,70,5,19-3094.00,Political Scientists
41,75,70,5,25-1067.00,"Sociology Teachers, Postsecondary"
42,75,68,5,25-1063.00,"Economics Teachers, Postsecondary"
43,75,68,5,25-1123.00,"English Language and Literature Teachers, Postsecondary"
44,75,68,5,25-1082.00,"Library Science Teachers, Postsecondary"
45,75,68,5,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
46,75,66,5,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
47,75,66,5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
48,75,66,5,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary"
49,75,66,5,25-1071.00,"Health Specialties Teachers, Postsecondary"
50,75,64,5,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
51,75,64,4,13-1151.00,Training and Development Specialists
52,75,61,5,19-3032.00,Industrial-Organizational Psychologists
53,75,61,5,19-1042.00,"Medical Scientists, Except Epidemiologists"
54,75,61,4,27-2012.00,Producers and Directors
55,75,59,5,19-3091.00,Anthropologists and Archeologists
56,75,59,5,23-1022.00,"Arbitrators, Mediators, and Conciliators"
57,75,59,4,19-2021.00,Atmospheric and Space Scientists
58,75,59,4,25-2023.00,"Career/Technical Education Teachers, Middle School"
59,75,59,5,29-1141.04,Clinical Nurse Specialists
60,75,59,5,11-9033.00,"Education Administrators, Postsecondary"
61,75,59,4,25-2021.00,"Elementary School Teachers, Except Special Education"
62,75,59,5,29-1229.02,Hospitalists
63,75,59,4,11-3121.00,Human Resources Managers
64,75,59,4,33-3021.06,Intelligence Analysts
65,75,59,5,21-1013.00,Marriage and Family Therapists
