Career Pathway,Code,Occupation
Agribusiness Systems,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
Agribusiness Systems,13-1074.00,Farm Labor Contractors
Agribusiness Systems,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
Animal Systems,45-2021.00,Animal Breeders
Animal Systems,39-2021.00,Animal Caretakers
Animal Systems,19-1011.00,Animal Scientists
Animal Systems,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
Environmental Service Systems,17-3025.00,Environmental Engineering Technologists and Technicians
Environmental Service Systems,17-2081.00,Environmental Engineers
Environmental Service Systems,19-4042.00,"Environmental Science and Protection Technicians, Including Health"
Environmental Service Systems,47-4041.00,Hazardous Materials Removal Workers
Environmental Service Systems,37-2021.00,Pest Control Workers
Environmental Service Systems,53-7081.00,Refuse and Recyclable Material Collectors
Environmental Service Systems,51-8031.00,Water and Wastewater Treatment Plant and System Operators
Environmental Service Systems,17-2051.02,Water/Wastewater Engineers
Food Products and Processing Systems,19-4012.00,Agricultural Technicians
Food Products and Processing Systems,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
Food Products and Processing Systems,19-4013.00,Food Science Technicians
Food Products and Processing Systems,19-1012.00,Food Scientists and Technologists
Food Products and Processing Systems,45-2041.00,"Graders and Sorters, Agricultural Products"
Natural Resources Systems,11-9121.01,Clinical Research Coordinators
Natural Resources Systems,45-4021.00,Fallers
Natural Resources Systems,45-3031.00,Fishing and Hunting Workers
Natural Resources Systems,19-4071.00,Forest and Conservation Technicians
Natural Resources Systems,45-4011.00,Forest and Conservation Workers
Natural Resources Systems,19-1032.00,Foresters
Natural Resources Systems,19-4043.00,"Geological Technicians, Except Hydrologic Technicians"
Natural Resources Systems,19-4044.00,Hydrologic Technicians
Natural Resources Systems,45-4023.00,Log Graders and Scalers
Natural Resources Systems,45-4022.00,Logging Equipment Operators
Natural Resources Systems,45-4029.00,"Logging Workers, All Other"
Natural Resources Systems,11-9121.00,Natural Sciences Managers
Natural Resources Systems,11-9121.02,Water Resource Specialists
Natural Resources Systems,19-1023.00,Zoologists and Wildlife Biologists
Plant Systems,45-2099.00,"Agricultural Workers, All Other"
Plant Systems,19-4021.00,Biological Technicians
Plant Systems,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
Plant Systems,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
Plant Systems,19-1013.00,Soil and Plant Scientists
Plant Systems,37-3013.00,Tree Trimmers and Pruners
"Power, Structural & Technical Systems",17-2021.00,Agricultural Engineers
"Power, Structural & Technical Systems",45-2091.00,Agricultural Equipment Operators
"Power, Structural & Technical Systems",49-3041.00,Farm Equipment Mechanics and Service Technicians
