Career Pathway,Code,Occupation
Construction,47-2021.00,Brickmasons and Blockmasons
Construction,47-2031.00,Carpenters
Construction,47-2041.00,Carpet Installers
Construction,47-2051.00,Cement Masons and Concrete Finishers
Construction,47-2061.00,Construction Laborers
Construction,11-9021.00,Construction Managers
Construction,47-5041.00,Continuous Mining Machine Operators
Construction,53-7011.00,Conveyor Operators and Tenders
Construction,53-7021.00,Crane and Tower Operators
Construction,47-5011.00,"Derrick Operators, Oil and Gas"
Construction,53-7031.00,Dredge Operators
Construction,47-2081.00,Drywall and Ceiling Tile Installers
Construction,47-5023.00,"Earth Drillers, Except Oil and Gas"
Construction,47-2111.00,Electricians
Construction,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
Construction,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
Construction,47-5099.00,"Extraction Workers, All Other"
Construction,47-4031.00,Fence Erectors
Construction,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
Construction,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
Construction,47-2043.00,Floor Sanders and Finishers
Construction,47-2121.00,Glaziers
Construction,47-3019.00,"Helpers, Construction Trades, All Other"
Construction,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
Construction,47-3012.00,Helpers--Carpenters
Construction,47-3013.00,Helpers--Electricians
Construction,47-5081.00,Helpers--Extraction Workers
Construction,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
Construction,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
Construction,47-3016.00,Helpers--Roofers
Construction,53-7041.00,Hoist and Winch Operators
Construction,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall"
Construction,47-2132.00,"Insulation Workers, Mechanical"
Construction,47-5044.00,"Loading and Moving Machine Operators, Underground Mining"
Construction,49-9095.00,Manufactured Building and Mobile Home Installers
Construction,53-7199.00,"Material Moving Workers, All Other"
Construction,47-2073.00,Operating Engineers and Other Construction Equipment Operators
Construction,47-2141.00,"Painters, Construction and Maintenance"
Construction,47-2142.00,Paperhangers
Construction,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators"
Construction,47-2072.00,Pile Driver Operators
Construction,47-2151.00,Pipelayers
Construction,47-2161.00,Plasterers and Stucco Masons
Construction,47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
Construction,47-2171.00,Reinforcing Iron and Rebar Workers
Construction,49-9096.00,Riggers
Construction,47-5051.00,"Rock Splitters, Quarry"
Construction,47-5043.00,"Roof Bolters, Mining"
Construction,47-2181.00,Roofers
Construction,47-5012.00,"Rotary Drill Operators, Oil and Gas"
Construction,47-5071.00,"Roustabouts, Oil and Gas"
Construction,47-4091.00,Segmental Pavers
Construction,47-5013.00,"Service Unit Operators, Oil and Gas"
Construction,47-2211.00,Sheet Metal Workers
Construction,47-1011.03,Solar Energy Installation Managers
Construction,47-2231.00,Solar Photovoltaic Installers
Construction,47-2022.00,Stonemasons
Construction,47-2221.00,Structural Iron and Steel Workers
Construction,51-2041.00,Structural Metal Fabricators and Fitters
Construction,47-2082.00,Tapers
Construction,47-2053.00,Terrazzo Workers and Finishers
Construction,47-2044.00,Tile and Stone Setters
Construction,47-5049.00,"Underground Mining Machine Operators, All Other"
Design/Pre-Construction,17-1011.00,"Architects, Except Landscape and Naval"
Design/Pre-Construction,17-3011.00,Architectural and Civil Drafters
Design/Pre-Construction,17-3022.00,Civil Engineering Technologists and Technicians
Design/Pre-Construction,17-2051.00,Civil Engineers
Design/Pre-Construction,13-1051.00,Cost Estimators
Design/Pre-Construction,17-1022.01,Geodetic Surveyors
Design/Pre-Construction,27-1025.00,Interior Designers
Design/Pre-Construction,17-1012.00,Landscape Architects
Design/Pre-Construction,17-3031.00,Surveying and Mapping Technicians
Design/Pre-Construction,17-1022.00,Surveyors
Design/Pre-Construction,17-2051.01,Transportation Engineers
Maintenance/Operations,47-2011.00,Boilermakers
Maintenance/Operations,49-9092.00,Commercial Divers
Maintenance/Operations,47-4099.00,"Construction and Related Workers, All Other"
Maintenance/Operations,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
Maintenance/Operations,49-9051.00,Electrical Power-Line Installers and Repairers
Maintenance/Operations,47-4021.00,Elevator and Escalator Installers and Repairers
Maintenance/Operations,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
Maintenance/Operations,37-3019.00,"Grounds Maintenance Workers, All Other"
Maintenance/Operations,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
Maintenance/Operations,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers"
Maintenance/Operations,47-4051.00,Highway Maintenance Workers
Maintenance/Operations,37-3011.00,Landscaping and Groundskeeping Workers
Maintenance/Operations,49-9011.00,Mechanical Door Repairers
Maintenance/Operations,49-9044.00,Millwrights
Maintenance/Operations,49-9045.00,"Refractory Materials Repairers, Except Brickmasons"
Maintenance/Operations,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
Maintenance/Operations,47-2152.04,Solar Thermal Installers and Technicians
Maintenance/Operations,51-8021.00,Stationary Engineers and Boiler Operators
Maintenance/Operations,47-4099.03,Weatherization Installers and Technicians
