Career Pathway,Code,Occupation
Journalism and Broadcasting,27-4011.00,Audio and Video Technicians
Journalism and Broadcasting,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
Journalism and Broadcasting,27-4012.00,Broadcast Technicians
Journalism and Broadcasting,27-4031.00,"Camera Operators, Television, Video, and Film"
Journalism and Broadcasting,43-2099.00,"Communications Equipment Operators, All Other"
Journalism and Broadcasting,27-3041.00,Editors
Journalism and Broadcasting,27-4032.00,Film and Video Editors
Journalism and Broadcasting,27-4015.00,Lighting Technicians
Journalism and Broadcasting,27-4099.00,"Media and Communication Equipment Workers, All Other"
Journalism and Broadcasting,27-3023.00,"News Analysts, Reporters, and Journalists"
Journalism and Broadcasting,27-4021.00,Photographers
Journalism and Broadcasting,27-3043.05,"Poets, Lyricists and Creative Writers"
Journalism and Broadcasting,27-4014.00,Sound Engineering Technicians
Journalism and Broadcasting,27-3042.00,Technical Writers
Journalism and Broadcasting,27-3043.00,Writers and Authors
Performing Arts,27-2011.00,Actors
Performing Arts,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
Performing Arts,27-2032.00,Choreographers
Performing Arts,39-3092.00,Costume Attendants
Performing Arts,27-2031.00,Dancers
Performing Arts,27-2091.00,"Disc Jockeys, Except Radio"
Performing Arts,27-2099.00,"Entertainers and Performers, Sports and Related Workers, All Other"
Performing Arts,39-5091.00,"Makeup Artists, Theatrical and Performance"
Performing Arts; Journalism and Broadcasting,27-3099.00,"Media and Communication Workers, All Other"
Performing Arts,27-2012.03,Media Programming Directors
Performing Arts,27-2012.05,Media Technical Directors/Managers
Performing Arts,27-2041.00,Music Directors and Composers
Performing Arts,27-2042.00,Musicians and Singers
Performing Arts,27-2012.00,Producers and Directors
Performing Arts,27-2012.04,Talent Directors
Printing Technology,43-9031.00,Desktop Publishers
Printing Technology,51-5111.00,Prepress Technicians and Workers
Printing Technology,51-5113.00,Print Binding and Finishing Workers
Printing Technology,51-5112.00,Printing Press Operators
Printing Technology,43-9081.00,Proofreaders and Copy Markers
Telecommunications,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
Telecommunications,49-9052.00,Telecommunications Line Installers and Repairers
Visual Arts,27-1011.00,Art Directors
Visual Arts,27-1019.00,"Artists and Related Workers, All Other"
Visual Arts,27-1021.00,Commercial and Industrial Designers
Visual Arts,27-1012.00,Craft Artists
Visual Arts,27-1029.00,"Designers, All Other"
Visual Arts,27-1022.00,Fashion Designers
Visual Arts,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators"
Visual Arts,27-1023.00,Floral Designers
Visual Arts,27-1024.00,Graphic Designers
Visual Arts,27-1027.00,Set and Exhibit Designers
Visual Arts,27-1014.00,Special Effects Artists and Animators
