Career Pathway,Code,Occupation
Administration and Administrative Support,11-9039.00,"Education Administrators, All Other"
Administration and Administrative Support,11-9032.00,"Education Administrators, Kindergarten through Secondary"
Administration and Administrative Support,11-9033.00,"Education Administrators, Postsecondary"
Administration and Administrative Support,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
Administration and Administrative Support,11-9179.01,Fitness and Wellness Coordinators
Professional Support Services,25-4011.00,Archivists
Professional Support Services,25-4012.00,Curators
Professional Support Services,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
Professional Support Services,25-9031.00,Instructional Coordinators
Professional Support Services,27-3091.00,Interpreters and Translators
Professional Support Services,25-4022.00,Librarians and Media Collections Specialists
Professional Support Services,25-4031.00,Library Technicians
Professional Support Services,25-4013.00,Museum Technicians and Conservators
Teaching/Training,25-2059.01,Adapted Physical Education Specialists
Teaching/Training,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
Teaching/Training,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
Teaching/Training,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
Teaching/Training,25-1031.00,"Architecture Teachers, Postsecondary"
Teaching/Training,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Teaching/Training,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
Teaching/Training,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
Teaching/Training,25-1042.00,"Biological Science Teachers, Postsecondary"
Teaching/Training,25-1011.00,"Business Teachers, Postsecondary"
Teaching/Training,25-2023.00,"Career/Technical Education Teachers, Middle School"
Teaching/Training,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
Teaching/Training,25-2032.00,"Career/Technical Education Teachers, Secondary School"
Teaching/Training,25-1052.00,"Chemistry Teachers, Postsecondary"
Teaching/Training,27-2022.00,Coaches and Scouts
Teaching/Training,25-1122.00,"Communications Teachers, Postsecondary"
Teaching/Training,25-1021.00,"Computer Science Teachers, Postsecondary"
Teaching/Training,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
Teaching/Training,25-1063.00,"Economics Teachers, Postsecondary"
Teaching/Training,25-1081.00,"Education Teachers, Postsecondary"
Teaching/Training,25-9099.00,"Educational Instruction and Library Workers, All Other"
Teaching/Training,25-2021.00,"Elementary School Teachers, Except Special Education"
Teaching/Training,25-1032.00,"Engineering Teachers, Postsecondary"
Teaching/Training,25-1123.00,"English Language and Literature Teachers, Postsecondary"
Teaching/Training,25-1053.00,"Environmental Science Teachers, Postsecondary"
Teaching/Training,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary"
Teaching/Training,25-9021.00,Farm and Home Management Educators
Teaching/Training,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary"
Teaching/Training,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
Teaching/Training,25-1064.00,"Geography Teachers, Postsecondary"
Teaching/Training,25-1071.00,"Health Specialties Teachers, Postsecondary"
Teaching/Training,25-1125.00,"History Teachers, Postsecondary"
Teaching/Training,25-2012.00,"Kindergarten Teachers, Except Special Education"
Teaching/Training,25-1112.00,"Law Teachers, Postsecondary"
Teaching/Training,25-1082.00,"Library Science Teachers, Postsecondary"
Teaching/Training,25-1022.00,"Mathematical Science Teachers, Postsecondary"
Teaching/Training,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
Teaching/Training,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
Teaching/Training,25-1126.00,"Philosophy and Religion Teachers, Postsecondary"
Teaching/Training,25-1054.00,"Physics Teachers, Postsecondary"
Teaching/Training,25-1065.00,"Political Science Teachers, Postsecondary"
Teaching/Training,25-1199.00,"Postsecondary Teachers, All Other"
Teaching/Training,25-2011.00,"Preschool Teachers, Except Special Education"
Teaching/Training,25-1066.00,"Psychology Teachers, Postsecondary"
Teaching/Training,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
Teaching/Training,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
Teaching/Training,25-3021.00,Self-Enrichment Teachers
Teaching/Training,25-1069.00,"Social Sciences Teachers, Postsecondary, All Other"
Teaching/Training,25-1113.00,"Social Work Teachers, Postsecondary"
Teaching/Training,25-1067.00,"Sociology Teachers, Postsecondary"
Teaching/Training,25-2059.00,"Special Education Teachers, All Other"
Teaching/Training,25-2056.00,"Special Education Teachers, Elementary School"
Teaching/Training,25-2055.00,"Special Education Teachers, Kindergarten"
Teaching/Training,25-2057.00,"Special Education Teachers, Middle School"
Teaching/Training,25-2051.00,"Special Education Teachers, Preschool"
Teaching/Training,25-2058.00,"Special Education Teachers, Secondary School"
Teaching/Training,25-3031.00,"Substitute Teachers, Short-Term"
Teaching/Training,25-3099.00,"Teachers and Instructors, All Other"
Teaching/Training,25-9049.00,"Teaching Assistants, All Other"
Teaching/Training,25-9044.00,"Teaching Assistants, Postsecondary"
Teaching/Training,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education"
Teaching/Training,25-9043.00,"Teaching Assistants, Special Education"
Teaching/Training,25-3041.00,Tutors
