Career Pathway,Code,Occupation
Accounting,13-2011.00,Accountants and Auditors
Banking Services,43-3011.00,Bill and Account Collectors
Banking Services,13-2041.00,Credit Analysts
Banking Services,43-4041.00,"Credit Authorizers, Checkers, and Clerks"
Banking Services,43-3099.00,"Financial Clerks, All Other"
Banking Services,43-4131.00,Loan Interviewers and Clerks
Banking Services,13-2072.00,Loan Officers
Banking Services,43-3071.00,Tellers
Business Finance,13-2031.00,Budget Analysts
Business Finance,11-3031.00,Financial Managers
Business Finance,13-2082.00,Tax Preparers
Business Finance,11-3031.01,Treasurers and Controllers
Insurance,15-2011.00,Actuaries
Insurance,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
Insurance,13-1032.00,"Insurance Appraisers, Auto Damage"
Insurance,43-9041.00,Insurance Claims and Policy Processing Clerks
Insurance,41-3021.00,Insurance Sales Agents
Insurance,13-2053.00,Insurance Underwriters
Securities & Investments,43-4011.00,Brokerage Clerks
Securities & Investments; Business Finance,13-2051.00,Financial and Investment Analysts
Securities & Investments,13-2099.01,Financial Quantitative Analysts
Securities & Investments; Business Finance,13-2054.00,Financial Risk Specialists
Securities & Investments,13-2099.00,"Financial Specialists, All Other"
Securities & Investments,13-2099.04,"Fraud Examiners, Investigators and Analysts"
Securities & Investments,13-2052.00,Personal Financial Advisors
Securities & Investments,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
