Career Pathway,Code,Occupation
Governance,53-6051.01,Aviation Inspectors
Governance,13-1041.00,Compliance Officers
Governance,13-1041.06,Coroners
Governance,13-1041.01,Environmental Compliance Inspectors
Governance,13-1041.03,Equal Opportunity Representatives and Officers
Governance,13-2061.00,Financial Examiners
Governance,13-1041.04,Government Property Inspectors and Investigators
Governance,11-1031.00,Legislators
Governance,13-1041.07,Regulatory Affairs Specialists
Governance,53-6051.00,Transportation Inspectors
Governance,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation"
National Security,55-3011.00,Air Crew Members
National Security,55-1011.00,Air Crew Officers
National Security,55-1012.00,Aircraft Launch and Recovery Officers
National Security,55-3012.00,Aircraft Launch and Recovery Specialists
National Security,55-3013.00,Armored Assault Vehicle Crew Members
National Security,55-1013.00,Armored Assault Vehicle Officers
National Security,55-3014.00,Artillery and Missile Crew Members
National Security,55-1014.00,Artillery and Missile Officers
National Security,55-1015.00,Command and Control Center Officers
National Security,55-3015.00,Command and Control Center Specialists
National Security,17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other"
National Security,55-2011.00,First-Line Supervisors of Air Crew Members
National Security,55-2013.00,First-Line Supervisors of All Other Tactical Operations Specialists
National Security,55-2012.00,First-Line Supervisors of Weapons Specialists/Crew Members
National Security,55-3016.00,Infantry
National Security,55-1016.00,Infantry Officers
National Security,55-3019.00,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other"
National Security,55-1019.00,"Military Officer Special and Tactical Operations Leaders, All Other"
National Security,55-3018.00,Special Forces
National Security,55-1017.00,Special Forces Officers
National Security,33-9093.00,Transportation Security Screeners
Planning,15-2099.01,Bioinformatics Technicians
Planning,43-9111.00,Statistical Assistants
Planning,19-3051.00,Urban and Regional Planners
Public Management and Administration,43-4031.00,"Court, Municipal, and License Clerks"
Public Management and Administration,43-4061.00,"Eligibility Interviewers, Government Programs"
Public Management and Administration,11-9161.00,Emergency Management Directors
Public Management and Administration,11-9131.00,Postmasters and Mail Superintendents
Regulation,45-2011.00,Agricultural Inspectors
Regulation,47-4011.00,Construction and Building Inspectors
Regulation,19-5011.00,Occupational Health and Safety Specialists
Regulation,19-5012.00,Occupational Health and Safety Technicians
Revenue and Taxation,13-2023.00,Appraisers and Assessors of Real Estate
Revenue and Taxation,13-2022.00,Appraisers of Personal and Business Property
Revenue and Taxation,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
