Career Pathway,Code,Occupation
Biotechnology Research and Development,17-2031.00,Bioengineers and Biomedical Engineers
Biotechnology Research and Development,19-1042.00,"Medical Scientists, Except Epidemiologists"
Diagnostic Services,29-2031.00,Cardiovascular Technologists and Technicians
Diagnostic Services,29-2011.01,Cytogenetic Technologists
Diagnostic Services,29-2011.02,Cytotechnologists
Diagnostic Services,29-2032.00,Diagnostic Medical Sonographers
Diagnostic Services,19-1041.00,Epidemiologists
Diagnostic Services,29-2012.01,Histology Technicians
Diagnostic Services,29-2011.04,Histotechnologists
Diagnostic Services,29-2035.00,Magnetic Resonance Imaging Technologists
Diagnostic Services,29-2012.00,Medical and Clinical Laboratory Technicians
Diagnostic Services,29-2011.00,Medical and Clinical Laboratory Technologists
Diagnostic Services,29-2036.00,Medical Dosimetrists
Diagnostic Services,29-2099.01,Neurodiagnostic Technologists
Diagnostic Services,29-2033.00,Nuclear Medicine Technologists
Diagnostic Services,29-2099.05,Ophthalmic Medical Technologists
Diagnostic Services,29-2034.00,Radiologic Technologists and Technicians
Diagnostic Services,29-2056.00,Veterinary Technologists and Technicians
Health Informatics,29-2072.00,Medical Records Specialists
Health Informatics,43-6013.00,Medical Secretaries and Administrative Assistants
Health Informatics,31-9094.00,Medical Transcriptionists
Support Services,31-9099.02,Endoscopy Technicians
Support Services,31-9099.00,"Healthcare Support Workers, All Other"
Support Services,11-9111.00,Medical and Health Services Managers
Support Services,31-9093.00,Medical Equipment Preparers
Support Services,31-1132.00,Orderlies
Support Services,31-9095.00,Pharmacy Aides
Support Services,31-9097.00,Phlebotomists
Support Services,31-9099.01,Speech-Language Pathology Assistants
Support Services,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers
Therapeutic Services,29-1291.00,Acupuncturists
Therapeutic Services,29-1141.01,Acute Care Nurses
Therapeutic Services,29-1141.02,Advanced Practice Psychiatric Nurses
Therapeutic Services,29-1229.01,Allergists and Immunologists
Therapeutic Services,29-1071.01,Anesthesiologist Assistants
Therapeutic Services,29-1211.00,Anesthesiologists
Therapeutic Services,29-1129.01,Art Therapists
Therapeutic Services,29-9091.00,Athletic Trainers
Therapeutic Services,29-1181.00,Audiologists
Therapeutic Services,29-1212.00,Cardiologists
Therapeutic Services,29-1011.00,Chiropractors
Therapeutic Services,29-1141.04,Clinical Nurse Specialists
Therapeutic Services,29-1141.03,Critical Care Nurses
Therapeutic Services,31-9091.00,Dental Assistants
Therapeutic Services,29-1292.00,Dental Hygienists
Therapeutic Services,29-1029.00,"Dentists, All Other Specialists"
Therapeutic Services,29-1021.00,"Dentists, General"
Therapeutic Services,29-1213.00,Dermatologists
Therapeutic Services,29-2051.00,Dietetic Technicians
Therapeutic Services,29-1031.00,Dietitians and Nutritionists
Therapeutic Services,29-1214.00,Emergency Medicine Physicians
Therapeutic Services,29-1128.00,Exercise Physiologists
Therapeutic Services,29-1215.00,Family Medicine Physicians
Therapeutic Services,29-1216.00,General Internal Medicine Physicians
Therapeutic Services,29-9092.00,Genetic Counselors
Therapeutic Services; Health Informatics,29-9021.00,Health Information Technologists and Medical Registrars
Therapeutic Services; Diagnostic Services,29-2099.00,"Health Technologists and Technicians, All Other"
Therapeutic Services,29-1299.00,"Healthcare Diagnosing or Treating Practitioners, All Other"
Therapeutic Services,29-9099.00,"Healthcare Practitioners and Technical Workers, All Other"
Therapeutic Services,29-2092.00,Hearing Aid Specialists
Therapeutic Services,31-1121.00,Home Health Aides
Therapeutic Services,29-1229.02,Hospitalists
Therapeutic Services,29-2061.00,Licensed Practical and Licensed Vocational Nurses
Therapeutic Services,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
Therapeutic Services,31-9092.00,Medical Assistants
Therapeutic Services,29-9099.01,Midwives
Therapeutic Services,29-1129.02,Music Therapists
Therapeutic Services,29-1299.01,Naturopathic Physicians
Therapeutic Services,29-1217.00,Neurologists
Therapeutic Services,29-1151.00,Nurse Anesthetists
Therapeutic Services,29-1161.00,Nurse Midwives
Therapeutic Services,29-1171.00,Nurse Practitioners
Therapeutic Services,31-1131.00,Nursing Assistants
Therapeutic Services,29-1218.00,Obstetricians and Gynecologists
Therapeutic Services,29-1122.00,Occupational Therapists
Therapeutic Services,31-2012.00,Occupational Therapy Aides
Therapeutic Services,31-2011.00,Occupational Therapy Assistants
Therapeutic Services,29-2057.00,Ophthalmic Medical Technicians
Therapeutic Services,29-1241.00,"Ophthalmologists, Except Pediatric"
Therapeutic Services,29-2081.00,"Opticians, Dispensing"
Therapeutic Services,29-1041.00,Optometrists
