Career Pathway,Code,Occupation
Lodging,39-6011.00,Baggage Porters and Bellhops
Lodging,37-2019.00,"Building Cleaning Workers, All Other"
Lodging,39-6012.00,Concierges
Lodging,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
Lodging,43-4081.00,"Hotel, Motel, and Resort Desk Clerks"
Lodging,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
Lodging,11-9081.00,Lodging Managers
Lodging,37-2012.00,Maids and Housekeeping Cleaners
"Recreation, Amusements & Attractions",39-3091.00,Amusement and Recreation Attendants
"Recreation, Amusements & Attractions",39-2011.00,Animal Trainers
"Recreation, Amusements & Attractions",27-2021.00,Athletes and Sports Competitors
"Recreation, Amusements & Attractions",39-3099.00,"Entertainment Attendants and Related Workers, All Other"
"Recreation, Amusements & Attractions",39-1013.00,First-Line Supervisors of Gambling Services Workers
"Recreation, Amusements & Attractions",39-3012.00,Gambling and Sports Book Writers and Runners
"Recreation, Amusements & Attractions",43-3041.00,Gambling Cage Workers
"Recreation, Amusements & Attractions",41-2012.00,Gambling Change Persons and Booth Cashiers
"Recreation, Amusements & Attractions",39-3011.00,Gambling Dealers
"Recreation, Amusements & Attractions",11-9071.00,Gambling Managers
"Recreation, Amusements & Attractions",39-3019.00,"Gambling Service Workers, All Other"
"Recreation, Amusements & Attractions",39-3021.00,Motion Picture Projectionists
"Recreation, Amusements & Attractions",39-9032.00,Recreation Workers
"Recreation, Amusements & Attractions",27-2023.00,"Umpires, Referees, and Other Sports Officials"
"Recreation, Amusements & Attractions",39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers"
Restaurants and Food/Beverage Services,51-3011.00,Bakers
Restaurants and Food/Beverage Services,35-3023.01,Baristas
Restaurants and Food/Beverage Services,35-3011.00,Bartenders
Restaurants and Food/Beverage Services,35-1011.00,Chefs and Head Cooks
Restaurants and Food/Beverage Services,35-2019.00,"Cooks, All Other"
Restaurants and Food/Beverage Services,35-2011.00,"Cooks, Fast Food"
Restaurants and Food/Beverage Services,35-2012.00,"Cooks, Institution and Cafeteria"
Restaurants and Food/Beverage Services,35-2013.00,"Cooks, Private Household"
Restaurants and Food/Beverage Services,35-2014.00,"Cooks, Restaurant"
Restaurants and Food/Beverage Services,35-2015.00,"Cooks, Short Order"
Restaurants and Food/Beverage Services,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers
Restaurants and Food/Beverage Services,35-9021.00,Dishwashers
Restaurants and Food/Beverage Services,35-3023.00,Fast Food and Counter Workers
Restaurants and Food/Beverage Services,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
Restaurants and Food/Beverage Services,35-9099.00,"Food Preparation and Serving Related Workers, All Other"
Restaurants and Food/Beverage Services,35-2021.00,Food Preparation Workers
Restaurants and Food/Beverage Services,35-3041.00,"Food Servers, Nonrestaurant"
Restaurants and Food/Beverage Services,11-9051.00,Food Service Managers
Restaurants and Food/Beverage Services,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
Restaurants and Food/Beverage Services,35-3031.00,Waiters and Waitresses
Travel & Tourism,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
Travel & Tourism,39-7011.00,Tour Guides and Escorts
Travel & Tourism,41-3041.00,Travel Agents
Travel & Tourism,39-7012.00,Travel Guides
