Career Pathway,Code,Occupation
Consumer Services,13-2071.00,Credit Counselors
Consumer Services,13-2072.00,Loan Officers
Counseling & Mental Health Services,19-3033.00,Clinical and Counseling Psychologists
Counseling & Mental Health Services,19-3039.03,Clinical Neuropsychologists
Counseling & Mental Health Services,21-1019.00,"Counselors, All Other"
Counseling & Mental Health Services,19-3032.00,Industrial-Organizational Psychologists
Counseling & Mental Health Services,21-1013.00,Marriage and Family Therapists
Counseling & Mental Health Services,21-1023.00,Mental Health and Substance Abuse Social Workers
Counseling & Mental Health Services,21-1014.00,Mental Health Counselors
Counseling & Mental Health Services,19-3039.02,Neuropsychologists
Counseling & Mental Health Services,19-3039.00,"Psychologists, All Other"
Counseling & Mental Health Services,21-1015.00,Rehabilitation Counselors
Counseling & Mental Health Services,19-3034.00,School Psychologists
Counseling & Mental Health Services,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
Early Childhood Development & Services,39-9011.00,Childcare Workers
Early Childhood Development & Services,39-9011.01,Nannies
Family & Community Services,21-1021.00,"Child, Family, and School Social Workers"
Family & Community Services,21-2011.00,Clergy
Family & Community Services,21-1099.00,"Community and Social Service Specialists, All Other"
Family & Community Services,21-1094.00,Community Health Workers
Family & Community Services,21-2021.00,"Directors, Religious Activities and Education"
Family & Community Services,21-1091.00,Health Education Specialists
Family & Community Services,21-1022.00,Healthcare Social Workers
Family & Community Services,21-2099.00,"Religious Workers, All Other"
Family & Community Services,11-9151.00,Social and Community Service Managers
Family & Community Services,21-1093.00,Social and Human Service Assistants
Family & Community Services,21-1029.00,"Social Workers, All Other"
Personal Care Services,39-5011.00,Barbers
Personal Care Services,39-4012.00,Crematory Operators
Personal Care Services,39-4011.00,Embalmers
Personal Care Services,39-9031.00,Exercise Trainers and Group Fitness Instructors
Personal Care Services,39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services"
Personal Care Services,53-1044.00,First-Line Supervisors of Passenger Attendants
Personal Care Services,39-1022.00,First-Line Supervisors of Personal Service Workers
Personal Care Services,39-4021.00,Funeral Attendants
Personal Care Services,11-9171.00,Funeral Home Managers
Personal Care Services,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
Personal Care Services,51-6011.00,Laundry and Dry-Cleaning Workers
Personal Care Services,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants"
Personal Care Services,39-5092.00,Manicurists and Pedicurists
Personal Care Services,31-9011.00,Massage Therapists
Personal Care Services,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers"
Personal Care Services,31-1122.00,Personal Care Aides
Personal Care Services,39-9099.00,"Personal Care and Service Workers, All Other"
Personal Care Services,51-6021.00,"Pressers, Textile, Garment, and Related Materials"
Personal Care Services,39-9041.00,Residential Advisors
Personal Care Services,39-5093.00,Shampooers
Personal Care Services,39-5094.00,Skincare Specialists
Personal Care Services,11-9179.02,Spa Managers
Personal Care Services,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
