Career Pathway,Code,Occupation
Correction Services,33-3012.00,Correctional Officers and Jailers
Correction Services,33-1011.00,First-Line Supervisors of Correctional Officers
Correction Services,21-1092.00,Probation Officers and Correctional Treatment Specialists
Emergency and Fire Management Services,29-2042.00,Emergency Medical Technicians
Emergency and Fire Management Services,33-2021.00,Fire Inspectors and Investigators
Emergency and Fire Management Services,33-2011.00,Firefighters
Emergency and Fire Management Services,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
Emergency and Fire Management Services,33-2022.00,Forest Fire Inspectors and Prevention Specialists
Emergency and Fire Management Services,29-2043.00,Paramedics
Emergency and Fire Management Services,43-5031.00,Public Safety Telecommunicators
Law Enforcement Services,33-9011.00,Animal Control Workers
Law Enforcement Services,33-3051.04,Customs and Border Protection Officers
Law Enforcement Services,33-3021.00,Detectives and Criminal Investigators
Law Enforcement Services,33-1012.00,First-Line Supervisors of Police and Detectives
Law Enforcement Services,33-3031.00,Fish and Game Wardens
Law Enforcement Services,19-4092.00,Forensic Science Technicians
Law Enforcement Services,33-3021.06,Intelligence Analysts
Law Enforcement Services,33-3041.00,Parking Enforcement Workers
Law Enforcement Services,33-3051.00,Police and Sheriff's Patrol Officers
Law Enforcement Services,33-3021.02,Police Identification and Records Officers
Law Enforcement Services,33-9021.00,Private Detectives and Investigators
Law Enforcement Services,33-3052.00,Transit and Railroad Police
Legal Services,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
Legal Services,23-1022.00,"Arbitrators, Mediators, and Conciliators"
Legal Services,27-3092.00,Court Reporters and Simultaneous Captioners
Legal Services,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
Legal Services,23-1012.00,Judicial Law Clerks
Legal Services,23-1011.00,Lawyers
Legal Services,43-6012.00,Legal Secretaries and Administrative Assistants
Legal Services,23-2099.00,"Legal Support Workers, All Other"
Legal Services,23-2011.00,Paralegals and Legal Assistants
Legal Services,23-2093.00,"Title Examiners, Abstractors, and Searchers"
Security & Protective Services,33-3011.00,Bailiffs
Security & Protective Services,33-9091.00,Crossing Guards and Flaggers
Security & Protective Services,33-1099.00,"First-Line Supervisors of Protective Service Workers, All Other"
Security & Protective Services,33-1091.00,First-Line Supervisors of Security Workers
Security & Protective Services,33-9031.00,Gambling Surveillance Officers and Gambling Investigators
Security & Protective Services,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
Security & Protective Services,33-9099.00,"Protective Service Workers, All Other"
Security & Protective Services,33-9099.02,Retail Loss Prevention Specialists
Security & Protective Services,33-9094.00,School Bus Monitors
Security & Protective Services,33-9032.00,Security Guards
