Career Pathway,Code,Occupation
Marketing Communications,27-3031.00,Public Relations Specialists
Marketing Management,11-2011.00,Advertising and Promotions Managers
Marketing Management,11-2033.00,Fundraising Managers
Marketing Management,11-2021.00,Marketing Managers
Marketing Management,11-9141.00,"Property, Real Estate, and Community Association Managers"
Marketing Management,11-2032.00,Public Relations Managers
Marketing Management,11-2022.00,Sales Managers
Marketing Research,13-1161.00,Market Research Analysts and Marketing Specialists
Merchandising,27-1026.00,Merchandise Displayers and Window Trimmers
Merchandising,41-9012.00,Models
Merchandising,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
Professional Sales,41-3011.00,Advertising Sales Agents
Professional Sales,41-2011.00,Cashiers
Professional Sales,41-2021.00,Counter and Rental Clerks
Professional Sales,41-9011.00,Demonstrators and Product Promoters
Professional Sales,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
Professional Sales,53-3031.00,Driver/Sales Workers
Professional Sales,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
Professional Sales,41-1011.00,First-Line Supervisors of Retail Sales Workers
Professional Sales,41-2022.00,Parts Salespersons
Professional Sales,41-9021.00,Real Estate Brokers
Professional Sales,41-9022.00,Real Estate Sales Agents
Professional Sales,41-2031.00,Retail Salespersons
Professional Sales,41-9099.00,"Sales and Related Workers, All Other"
Professional Sales,41-9031.00,Sales Engineers
Professional Sales,41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel"
Professional Sales,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
Professional Sales,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
Professional Sales,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
Professional Sales,41-4011.07,Solar Sales Representatives and Assessors
Professional Sales,41-9041.00,Telemarketers
