Career Pathway,Code,Occupation
Engineering and Technology,17-2011.00,Aerospace Engineers
Engineering and Technology,11-9041.00,Architectural and Engineering Managers
Engineering and Technology,17-2141.02,Automotive Engineers
Engineering and Technology,17-2031.00,Bioengineers and Biomedical Engineers
Engineering and Technology,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
Engineering and Technology,17-2041.00,Chemical Engineers
Engineering and Technology,17-2061.00,Computer Hardware Engineers
Engineering and Technology,17-2071.00,Electrical Engineers
Engineering and Technology,17-2072.00,"Electronics Engineers, Except Computer"
Engineering and Technology,17-2199.03,"Energy Engineers, Except Wind and Solar"
Engineering and Technology,17-2199.00,"Engineers, All Other"
Engineering and Technology,17-2111.02,Fire-Prevention and Protection Engineers
Engineering and Technology,17-2141.01,Fuel Cell Engineers
Engineering and Technology,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
Engineering and Technology,17-2112.01,Human Factors Engineers and Ergonomists
Engineering and Technology,17-2112.00,Industrial Engineers
Engineering and Technology,17-2112.03,Manufacturing Engineers
Engineering and Technology,17-2121.00,Marine Engineers and Naval Architects
Engineering and Technology,17-2131.00,Materials Engineers
Engineering and Technology,17-2141.00,Mechanical Engineers
Engineering and Technology,17-2199.05,Mechatronics Engineers
Engineering and Technology,17-2199.06,Microsystems Engineers
Engineering and Technology,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
Engineering and Technology,17-2199.09,Nanosystems Engineers
Engineering and Technology,17-2161.00,Nuclear Engineers
Engineering and Technology,17-2171.00,Petroleum Engineers
Engineering and Technology,17-2199.07,Photonics Engineers
Engineering and Technology,17-2072.01,Radio Frequency Identification Device Specialists
Engineering and Technology,17-2199.08,Robotics Engineers
Engineering and Technology,17-2199.11,Solar Energy Systems Engineers
Engineering and Technology,17-2112.02,Validation Engineers
Engineering and Technology,17-2199.10,Wind Energy Engineers
Science and Mathematics,19-3091.00,Anthropologists and Archeologists
Science and Mathematics,19-2011.00,Astronomers
Science and Mathematics,19-2021.00,Atmospheric and Space Scientists
Science and Mathematics,19-1021.00,Biochemists and Biophysicists
Science and Mathematics,19-1029.01,Bioinformatics Scientists
Science and Mathematics,19-1029.00,"Biological Scientists, All Other"
Science and Mathematics,15-2041.01,Biostatisticians
Science and Mathematics,17-1021.00,Cartographers and Photogrammetrists
Science and Mathematics,19-2031.00,Chemists
Science and Mathematics,19-2041.01,Climate Change Policy Analysts
Science and Mathematics,15-2051.02,Clinical Data Managers
Science and Mathematics,15-1221.00,Computer and Information Research Scientists
Science and Mathematics,19-1031.00,Conservation Scientists
Science and Mathematics,15-2051.00,Data Scientists
Science and Mathematics,19-3011.00,Economists
Science and Mathematics,19-3011.01,Environmental Economists
Science and Mathematics,19-2041.02,Environmental Restoration Planners
Science and Mathematics,19-2041.00,"Environmental Scientists and Specialists, Including Health"
Science and Mathematics,19-1029.03,Geneticists
Science and Mathematics,19-3092.00,Geographers
Science and Mathematics,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
Science and Mathematics,19-3093.00,Historians
Science and Mathematics,19-4044.00,Hydrologic Technicians
Science and Mathematics,19-2043.00,Hydrologists
Science and Mathematics,19-2041.03,Industrial Ecologists
Science and Mathematics,19-1099.00,"Life Scientists, All Other"
Science and Mathematics,19-4099.00,"Life, Physical, and Social Science Technicians, All Other"
Science and Mathematics,19-2032.00,Materials Scientists
Science and Mathematics,15-2099.00,"Mathematical Science Occupations, All Other"
Science and Mathematics,15-2021.00,Mathematicians
Science and Mathematics,19-1022.00,Microbiologists
Science and Mathematics,19-1029.02,Molecular and Cellular Biologists
Science and Mathematics,19-1031.03,Park Naturalists
Science and Mathematics,19-2099.00,"Physical Scientists, All Other"
Science and Mathematics,19-2012.00,Physicists
Science and Mathematics,19-3094.00,Political Scientists
Science and Mathematics,19-4012.01,Precision Agriculture Technicians
Science and Mathematics,19-4099.01,Quality Control Analysts
Science and Mathematics,19-1031.02,Range Managers
Science and Mathematics,19-2099.01,Remote Sensing Scientists and Technologists
Science and Mathematics,19-4099.03,Remote Sensing Technicians
Science and Mathematics,19-4061.00,Social Science Research Assistants
Science and Mathematics,19-3099.00,"Social Scientists and Related Workers, All Other"
Science and Mathematics,19-3041.00,Sociologists
Science and Mathematics,15-2041.00,Statisticians
Science and Mathematics,19-3022.00,Survey Researchers
Science and Mathematics,19-3099.01,Transportation Planners
Science and Mathematics,19-3051.00,Urban and Regional Planners
