Career Pathway,Code,Occupation
Facility and Mobile Equipment Maintenance,49-3011.00,Aircraft Mechanics and Service Technicians
Facility and Mobile Equipment Maintenance,53-6031.00,Automotive and Watercraft Service Attendants
Facility and Mobile Equipment Maintenance,49-3021.00,Automotive Body and Related Repairers
Facility and Mobile Equipment Maintenance,49-3022.00,Automotive Glass Installers and Repairers
Facility and Mobile Equipment Maintenance,49-3023.00,Automotive Service Technicians and Mechanics
Facility and Mobile Equipment Maintenance,49-2091.00,Avionics Technicians
Facility and Mobile Equipment Maintenance,49-3091.00,Bicycle Repairers
Facility and Mobile Equipment Maintenance,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
Facility and Mobile Equipment Maintenance,53-7061.00,Cleaners of Vehicles and Equipment
Facility and Mobile Equipment Maintenance,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
Facility and Mobile Equipment Maintenance,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
Facility and Mobile Equipment Maintenance,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
Facility and Mobile Equipment Maintenance,49-3051.00,Motorboat Mechanics and Service Technicians
Facility and Mobile Equipment Maintenance,49-3052.00,Motorcycle Mechanics
Facility and Mobile Equipment Maintenance,49-3043.00,Rail Car Repairers
Facility and Mobile Equipment Maintenance,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
Facility and Mobile Equipment Maintenance,49-3092.00,Recreational Vehicle Service Technicians
Facility and Mobile Equipment Maintenance,49-9097.00,Signal and Track Switch Repairers
Facility and Mobile Equipment Maintenance,49-3093.00,Tire Repairers and Changers
Logistics Planning and Management Services,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
Logistics Planning and Management Services,13-1081.00,Logisticians
Logistics Planning and Management Services,13-1081.02,Logistics Analysts
Logistics Planning and Management Services,13-1081.01,Logistics Engineers
Logistics Planning and Management Services,11-3071.00,"Transportation, Storage, and Distribution Managers"
Sales and Service,43-3021.00,Billing and Posting Clerks
Sales and Service,43-5011.00,Cargo and Freight Agents
Sales and Service,43-5011.01,Freight Forwarders
Sales and Service,53-6021.00,Parking Attendants
Transportation Operations,53-1041.00,Aircraft Cargo Handling Supervisors
Transportation Operations,53-6032.00,Aircraft Service Attendants
Transportation Operations,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
Transportation Operations,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
Transportation Operations,53-6011.00,Bridge and Lock Tenders
Transportation Operations,53-3051.00,"Bus Drivers, School"
Transportation Operations,53-3052.00,"Bus Drivers, Transit and Intercity"
Transportation Operations,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
Transportation Operations,53-2012.00,Commercial Pilots
Transportation Operations,43-5021.00,Couriers and Messengers
Transportation Operations,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
Transportation Operations,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
Transportation Operations,53-1044.00,First-Line Supervisors of Passenger Attendants
Transportation Operations,53-1049.00,"First-Line Supervisors of Transportation Workers, All Other"
Transportation Operations,53-2031.00,Flight Attendants
Transportation Operations,53-7071.00,Gas Compressor and Gas Pumping Station Operators
Transportation Operations,53-3032.00,Heavy and Tractor-Trailer Truck Drivers
Transportation Operations,53-7051.00,Industrial Truck and Tractor Operators
Transportation Operations,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
Transportation Operations,53-3033.00,Light Truck Drivers
Transportation Operations,47-5044.00,"Loading and Moving Machine Operators, Underground Mining"
Transportation Operations,53-4011.00,Locomotive Engineers
Transportation Operations,53-7199.00,"Material Moving Workers, All Other"
Transportation Operations,53-3099.00,"Motor Vehicle Operators, All Other"
Transportation Operations,53-5022.00,Motorboat Operators
Transportation Operations,53-7064.00,"Packers and Packagers, Hand"
Transportation Operations,53-6061.00,Passenger Attendants
Transportation Operations,53-7072.00,"Pump Operators, Except Wellhead Pumpers"
Transportation Operations,53-4099.00,"Rail Transportation Workers, All Other"
Transportation Operations,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
Transportation Operations,53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
Transportation Operations,53-4031.00,Railroad Conductors and Yardmasters
Transportation Operations,53-1042.01,Recycling Coordinators
Transportation Operations,53-5011.00,Sailors and Marine Oilers
Transportation Operations,53-5031.00,Ship Engineers
Transportation Operations,53-3053.00,Shuttle Drivers and Chauffeurs
Transportation Operations,53-4041.00,Subway and Streetcar Operators
Transportation Operations,53-7121.00,"Tank Car, Truck, and Ship Loaders"
Transportation Operations,53-3054.00,Taxi Drivers
Transportation Operations,53-6099.00,"Transportation Workers, All Other"
Transportation Operations,53-7073.00,Wellhead Pumpers
"Transportation Systems/Infrastructure Planning, Management and Regulation",53-2021.00,Air Traffic Controllers
"Transportation Systems/Infrastructure Planning, Management and Regulation",53-2022.00,Airfield Operations Specialists
"Transportation Systems/Infrastructure Planning, Management and Regulation",53-6041.00,Traffic Technicians
