GeoFips,GeoName,deno code,2015employment by industry,2015 robot data,industry_ifr19,2010 employment by industry,2010employment
1000,Alabama,101,97934,18,agriculture,1080677.841,2523700.608
1000,Alabama,102,78028,28955,automotive,566138.6104,2523700.608
1000,Alabama,103,292411,12,construction,5359624.691,2523700.608
1000,Alabama,104,69963,12487,electronics,1495060.882,2523700.608
1000,Alabama,105,441494,1094,food,1483030.717,2523700.608
1000,Alabama,106,16891,34,furniture,710651.4812,2523700.608
1000,Alabama,107,562374,29645,manufacturing_other,245234.5955,2523700.608
1000,Alabama,108,18194,5107,metal_basic,643096.4444,2523700.608
1000,Alabama,109,11531,333,metal_machinery,1140434.235,2523700.608
1000,Alabama,110,27129,634,metal_products,781591.6691,2523700.608
1000,Alabama,111,33009,268,mineral,346305.5571,2523700.608
1000,Alabama,113,37796,66,paper,1453345.662,2523700.608
1000,Alabama,114,31938,2425,petrochemicals,1451592.993,2523700.608
1000,Alabama,116,11292597,133,services,86920501.63,2523700.608
1000,Alabama,117,34438,36,textiles,351605.6418,2523700.608
1000,Alabama,118,14961,0,utilities,797323.46,2523700.608
1000,Alabama,119,168820,128,vehicles_other,610364.6973,2523700.608
2000,Alaska,101,12209,18,agriculture,1080677.841,455968.302
2000,Alaska,102,4740,28955,automotive,566138.6104,455968.302
2000,Alaska,103,53929,12,construction,5359624.691,455968.302
2000,Alaska,104,14308,12487,electronics,1495060.882,455968.302
2000,Alaska,105,87617,1094,food,1483030.717,455968.302
2000,Alaska,106,944,34,furniture,710651.4812,455968.302
2000,Alaska,107,34654,29645,manufacturing_other,245234.5955,455968.302
2000,Alaska,108,40,5107,metal_basic,643096.4444,455968.302
2000,Alaska,109,160,333,metal_machinery,1140434.235,455968.302
2000,Alaska,110,726,634,metal_products,781591.6691,455968.302
2000,Alaska,111,42719,268,mineral,346305.5571,455968.302
2000,Alaska,113,2076,66,paper,1453345.662,455968.302
2000,Alaska,114,1719,2425,petrochemicals,1451592.993,455968.302
2000,Alaska,116,2010365,133,services,86920501.63,455968.302
2000,Alaska,117,2903,36,textiles,351605.6418,455968.302
2000,Alaska,118,2274,0,utilities,797323.46,455968.302
2000,Alaska,119,40533,128,vehicles_other,610364.6973,455968.302
4000,Arizona,101,65555,18,agriculture,1080677.841,3637057.673
4000,Arizona,102,50952,28955,automotive,566138.6104,3637057.673
4000,Arizona,103,381925,12,construction,5359624.691,3637057.673
4000,Arizona,104,149519,12487,electronics,1495060.882,3637057.673
4000,Arizona,105,631181,1094,food,1483030.717,3637057.673
4000,Arizona,106,18105,34,furniture,710651.4812,3637057.673
4000,Arizona,107,362130,29645,manufacturing_other,245234.5955,3637057.673
4000,Arizona,108,4399,5107,metal_basic,643096.4444,3637057.673
4000,Arizona,109,7491,333,metal_machinery,1140434.235,3637057.673
4000,Arizona,110,21037,634,metal_products,781591.6691,3637057.673
4000,Arizona,111,51776,268,mineral,346305.5571,3637057.673
4000,Arizona,113,25769,66,paper,1453345.662,3637057.673
4000,Arizona,114,29525,2425,petrochemicals,1451592.993,3637057.673
4000,Arizona,116,15954182,133,services,86920501.63,3637057.673
4000,Arizona,117,29377,36,textiles,351605.6418,3637057.673
4000,Arizona,118,12658,0,utilities,797323.46,3637057.673
4000,Arizona,119,238064,128,vehicles_other,610364.6973,3637057.673
5000,Arkansas,101,101161,18,agriculture,1080677.841,1635829.998
5000,Arkansas,102,22033,28955,automotive,566138.6104,1635829.998
5000,Arkansas,103,181870,12,construction,5359624.691,1635829.998
5000,Arkansas,104,40494,12487,electronics,1495060.882,1635829.998
5000,Arkansas,105,284766,1094,food,1483030.717,1635829.998
5000,Arkansas,106,7759,34,furniture,710651.4812,1635829.998
5000,Arkansas,107,338008,29645,manufacturing_other,245234.5955,1635829.998
5000,Arkansas,108,8880,5107,metal_basic,643096.4444,1635829.998
5000,Arkansas,109,11773,333,metal_machinery,1140434.235,1635829.998
5000,Arkansas,110,14605,634,metal_products,781591.6691,1635829.998
5000,Arkansas,111,37375,268,mineral,346305.5571,1635829.998
5000,Arkansas,113,28085,66,paper,1453345.662,1635829.998
5000,Arkansas,114,15680,2425,petrochemicals,1451592.993,1635829.998
5000,Arkansas,116,6895768,133,services,86920501.63,1635829.998
5000,Arkansas,117,13649,36,textiles,351605.6418,1635829.998
5000,Arkansas,118,8249,0,utilities,797323.46,1635829.998
5000,Arkansas,119,133755,128,vehicles_other,610364.6973,1635829.998
6000,California,101,544281,18,agriculture,1080677.841,20973977.23
6000,California,102,240785,28955,automotive,566138.6104,20973977.23
6000,California,103,2244745,12,construction,5359624.691,20973977.23
6000,California,104,1411015,12487,electronics,1495060.882,20973977.23
6000,California,105,3966406,1094,food,1483030.717,20973977.23
6000,California,106,100761,34,furniture,710651.4812,20973977.23
6000,California,107,2958222,29645,manufacturing_other,245234.5955,20973977.23
6000,California,108,19226,5107,metal_basic,643096.4444,20973977.23
6000,California,109,80282,333,metal_machinery,1140434.235,20973977.23
6000,California,110,141527,634,metal_products,781591.6691,20973977.23
6000,California,111,161533,268,mineral,346305.5571,20973977.23
6000,California,113,215646,66,paper,1453345.662,20973977.23
6000,California,114,219082,2425,petrochemicals,1451592.993,20973977.23
6000,California,116,100954607,133,services,86920501.63,20973977.23
6000,California,117,299295,36,textiles,351605.6418,20973977.23
6000,California,118,60926,0,utilities,797323.46,20973977.23
6000,California,119,1648303,128,vehicles_other,610364.6973,20973977.23
8000,Colorado,101,90139,18,agriculture,1080677.841,3158335.088
8000,Colorado,102,37469,28955,automotive,566138.6104,3158335.088
8000,Colorado,103,476835,12,construction,5359624.691,3158335.088
8000,Colorado,104,177335,12487,electronics,1495060.882,3158335.088
8000,Colorado,105,643678,1094,food,1483030.717,3158335.088
8000,Colorado,106,16489,34,furniture,710651.4812,3158335.088
8000,Colorado,107,337738,29645,manufacturing_other,245234.5955,3158335.088
8000,Colorado,108,2344,5107,metal_basic,643096.4444,3158335.088
8000,Colorado,109,13320,333,metal_machinery,1140434.235,3158335.088
8000,Colorado,110,17049,634,metal_products,781591.6691,3158335.088
8000,Colorado,111,137091,268,mineral,346305.5571,3158335.088
8000,Colorado,113,36641,66,paper,1453345.662,3158335.088
8000,Colorado,114,23706,2425,petrochemicals,1451592.993,3158335.088
8000,Colorado,116,15845172,133,services,86920501.63,3158335.088
8000,Colorado,117,27166,36,textiles,351605.6418,3158335.088
8000,Colorado,118,9093,0,utilities,797323.46,3158335.088
8000,Colorado,119,198084,128,vehicles_other,610364.6973,3158335.088
9000,Connecticut,101,18139,18,agriculture,1080677.841,2226662.431
9000,Connecticut,102,23155,28955,automotive,566138.6104,2226662.431
9000,Connecticut,103,239055,12,construction,5359624.691,2226662.431
9000,Connecticut,104,95466,12487,electronics,1495060.882,2226662.431
9000,Connecticut,105,334639,1094,food,1483030.717,2226662.431
9000,Connecticut,106,10002,34,furniture,710651.4812,2226662.431
9000,Connecticut,107,352975,29645,manufacturing_other,245234.5955,2226662.431
9000,Connecticut,108,3807,5107,metal_basic,643096.4444,2226662.431
9000,Connecticut,109,14936,333,metal_machinery,1140434.235,2226662.431
9000,Connecticut,110,30456,634,metal_products,781591.6691,2226662.431
9000,Connecticut,111,9987,268,mineral,346305.5571,2226662.431
9000,Connecticut,113,19698,66,paper,1453345.662,2226662.431
9000,Connecticut,114,24929,2425,petrochemicals,1451592.993,2226662.431
9000,Connecticut,116,10325732,133,services,86920501.63,2226662.431
9000,Connecticut,117,22301,36,textiles,351605.6418,2226662.431
9000,Connecticut,118,6282,0,utilities,797323.46,2226662.431
9000,Connecticut,119,141250,128,vehicles_other,610364.6973,2226662.431
10000,Delaware,101,6613,18,agriculture,1080677.841,504638.908
10000,Delaware,102,7533,28955,automotive,566138.6104,504638.908
10000,Delaware,103,64666,12,construction,5359624.691,504638.908
10000,Delaware,104,17093,12487,electronics,1495060.882,504638.908
10000,Delaware,105,102276,1094,food,1483030.717,504638.908
10000,Delaware,106,2942,34,furniture,710651.4812,504638.908
10000,Delaware,107,60738,29645,manufacturing_other,245234.5955,504638.908
10000,Delaware,109,782,333,metal_machinery,1140434.235,504638.908
10000,Delaware,110,1655,634,metal_products,781591.6691,504638.908
10000,Delaware,111,1116,268,mineral,346305.5571,504638.908
10000,Delaware,113,3185,66,paper,1453345.662,504638.908
10000,Delaware,114,8060,2425,petrochemicals,1451592.993,504638.908
10000,Delaware,116,2559123,133,services,86920501.63,504638.908
10000,Delaware,117,6306,36,textiles,351605.6418,504638.908
10000,Delaware,118,2249,0,utilities,797323.46,504638.908
10000,Delaware,119,33275,128,vehicles_other,610364.6973,504638.908
11000,District of Columbia,101,70,18,agriculture,1080677.841,364644.138
11000,District of Columbia,102,238,28955,automotive,566138.6104,364644.138
11000,District of Columbia,103,36093,12,construction,5359624.691,364644.138
11000,District of Columbia,104,33877,12487,electronics,1495060.882,364644.138
11000,District of Columbia,105,145563,1094,food,1483030.717,364644.138
11000,District of Columbia,106,892,34,furniture,710651.4812,364644.138
11000,District of Columbia,107,3685,29645,manufacturing_other,245234.5955,364644.138
11000,District of Columbia,108,16,5107,metal_basic,643096.4444,364644.138
11000,District of Columbia,110,69,634,metal_products,781591.6691,364644.138
