GeoFips,GeoName,deno code,2017 employment by industry,2017 robot data,industry_ifr19,2010 employment by industry,2010employment by state
1000,Alabama,101,96579,0,agriculture,1080677.841,2523700.608
1000,Alabama,102,80616,36573,automotive,566138.6104,2523700.608
1000,Alabama,103,306342,9,construction,5359624.691,2523700.608
1000,Alabama,104,70149,13696,electronics,1495060.882,2523700.608
1000,Alabama,105,467390,1598,food,1483030.717,2523700.608
1000,Alabama,106,18172,61,furniture,710651.4812,2523700.608
1000,Alabama,107,576962,34863,manufacturing_other,245234.5955,2523700.608
1000,Alabama,108,16970,5939,metal_basic,643096.4444,2523700.608
1000,Alabama,109,11251,234,metal_machinery,1140434.235,2523700.608
1000,Alabama,110,27130,967,metal_products,781591.6691,2523700.608
1000,Alabama,111,28415,296,mineral,346305.5571,2523700.608
1000,Alabama,113,39103,49,paper,1453345.662,2523700.608
1000,Alabama,114,31362,2972,petrochemicals,1451592.993,2523700.608
1000,Alabama,116,11561874,93,services,86920501.63,2523700.608
1000,Alabama,117,34162,0,textiles,351605.6418,2523700.608
1000,Alabama,118,14140,29,utilities,797323.46,2523700.608
1000,Alabama,119,174452,84,vehicles_other,610364.6973,2523700.608
2000,Alaska,101,11456,0,agriculture,1080677.841,455968.302
2000,Alaska,102,4609,36573,automotive,566138.6104,455968.302
2000,Alaska,103,49058,9,construction,5359624.691,455968.302
2000,Alaska,104,14119,13696,electronics,1495060.882,455968.302
2000,Alaska,105,87862,1598,food,1483030.717,455968.302
2000,Alaska,106,898,61,furniture,710651.4812,455968.302
2000,Alaska,107,33382,34863,manufacturing_other,245234.5955,455968.302
2000,Alaska,108,33,5939,metal_basic,643096.4444,455968.302
2000,Alaska,109,140,234,metal_machinery,1140434.235,455968.302
2000,Alaska,110,584,967,metal_products,781591.6691,455968.302
2000,Alaska,111,34800,296,mineral,346305.5571,455968.302
2000,Alaska,113,2047,49,paper,1453345.662,455968.302
2000,Alaska,114,1724,2972,petrochemicals,1451592.993,455968.302
2000,Alaska,116,1994727,93,services,86920501.63,455968.302
