Code,GeoFips,GeoName,TimePeriod,CL_UNIT,UNIT_MULT,DataValue,NoteRef
SAEMP25N-101,10000,Delaware,2019,Number of jobs,0,0.0,(D)
SAEMP25N-101,11000,District of Columbia,2019,Number of jobs,0,19.0,
SAEMP25N-101,12000,Florida,2019,Number of jobs,0,4257.0,
SAEMP25N-101,13000,Georgia,2019,Number of jobs,0,7954.0,
SAEMP25N-101,15000,Hawaii,2019,Number of jobs,0,106.0,
SAEMP25N-101,16000,Idaho,2019,Number of jobs,0,2212.0,
SAEMP25N-101,17000,Illinois,2019,Number of jobs,0,929.0,
SAEMP25N-101,18000,Indiana,2019,Number of jobs,0,1325.0,
SAEMP25N-101,19000,Iowa,2019,Number of jobs,0,501.0,
SAEMP25N-101,20000,Kansas,2019,Number of jobs,0,183.0,
SAEMP25N-101,21000,Kentucky,2019,Number of jobs,0,1919.0,
SAEMP25N-101,22000,Louisiana,2019,Number of jobs,0,4404.0,
SAEMP25N-101,23000,Maine,2019,Number of jobs,0,4192.0,
SAEMP25N-101,24000,Maryland,2019,Number of jobs,0,630.0,
SAEMP25N-101,25000,Massachusetts,2019,Number of jobs,0,850.0,
SAEMP25N-101,26000,Michigan,2019,Number of jobs,0,4327.0,
SAEMP25N-101,27000,Minnesota,2019,Number of jobs,0,2215.0,
SAEMP25N-101,28000,Mississippi,2019,Number of jobs,0,6001.0,
SAEMP25N-101,29000,Missouri,2019,Number of jobs,0,2077.0,
SAEMP25N-101,30000,Montana,2019,Number of jobs,0,1251.0,
SAEMP25N-101,31000,Nebraska,2019,Number of jobs,0,173.0,
SAEMP25N-101,32000,Nevada,2019,Number of jobs,0,0.0,(D)
SAEMP25N-101,33000,New Hampshire,2019,Number of jobs,0,1329.0,
SAEMP25N-101,34000,New Jersey,2019,Number of jobs,0,392.0,
SAEMP25N-101,35000,New Mexico,2019,Number of jobs,0,242.0,
SAEMP25N-101,36000,New York,2019,Number of jobs,0,3186.0,
SAEMP25N-101,37000,North Carolina,2019,Number of jobs,0,5525.0,
SAEMP25N-101,38000,North Dakota,2019,Number of jobs,0,0.0,(D)
SAEMP25N-101,39000,Ohio,2019,Number of jobs,0,2612.0,
SAEMP25N-101,40000,Oklahoma,2019,Number of jobs,0,0.0,(D)
SAEMP25N-101,41000,Oregon,2019,Number of jobs,0,8543.0,
SAEMP25N-101,42000,Pennsylvania,2019,Number of jobs,0,4228.0,
SAEMP25N-101,44000,Rhode Island,2019,Number of jobs,0,0.0,(D)
SAEMP25N-101,45000,South Carolina,2019,Number of jobs,0,4889.0,
SAEMP25N-101,46000,South Dakota,2019,Number of jobs,0,316.0,
SAEMP25N-101,47000,Tennessee,2019,Number of jobs,0,3007.0,
SAEMP25N-101,48000,Texas,2019,Number of jobs,0,4637.0,
SAEMP25N-101,49000,Utah,2019,Number of jobs,0,0.0,(D)
SAEMP25N-101,50000,Vermont,2019,Number of jobs,0,1360.0,
SAEMP25N-101,51000,Virginia,2019,Number of jobs,0,3860.0,
SAEMP25N-101,53000,Washington,2019,Number of jobs,0,6176.0,
SAEMP25N-101,54000,West Virginia,2019,Number of jobs,0,1584.0,
SAEMP25N-101,55000,Wisconsin,2019,Number of jobs,0,3953.0,
SAEMP25N-101,56000,Wyoming,2019,Number of jobs,0,0.0,(D)
SAEMP25N-102,10000,Delaware,2019,Number of jobs,0,0.0,(D)
SAEMP25N-102,11000,District of Columbia,2019,Number of jobs,0,38.0,
SAEMP25N-102,12000,Florida,2019,Number of jobs,0,7909.0,
SAEMP25N-102,13000,Georgia,2019,Number of jobs,0,1797.0,
SAEMP25N-102,15000,Hawaii,2019,Number of jobs,0,1474.0,
SAEMP25N-102,16000,Idaho,2019,Number of jobs,0,745.0,
SAEMP25N-102,17000,Illinois,2019,Number of jobs,0,935.0,
SAEMP25N-102,18000,Indiana,2019,Number of jobs,0,483.0,
SAEMP25N-102,19000,Iowa,2019,Number of jobs,0,436.0,
SAEMP25N-102,20000,Kansas,2019,Number of jobs,0,583.0,
SAEMP25N-102,21000,Kentucky,2019,Number of jobs,0,633.0,
SAEMP25N-102,22000,Louisiana,2019,Number of jobs,0,8471.0,
SAEMP25N-102,23000,Maine,2019,Number of jobs,0,7393.0,
SAEMP25N-102,24000,Maryland,2019,Number of jobs,0,2405.0,
SAEMP25N-102,25000,Massachusetts,2019,Number of jobs,0,5886.0,
SAEMP25N-102,26000,Michigan,2019,Number of jobs,0,1402.0,
SAEMP25N-102,27000,Minnesota,2019,Number of jobs,0,1175.0,
SAEMP25N-102,28000,Mississippi,2019,Number of jobs,0,1625.0,
SAEMP25N-102,29000,Missouri,2019,Number of jobs,0,977.0,
SAEMP25N-102,30000,Montana,2019,Number of jobs,0,1187.0,
SAEMP25N-102,31000,Nebraska,2019,Number of jobs,0,312.0,
