GeoFips,GeoName,deno code,2018 employment by industry,2018 robot data,industry_ifr19,2010 employment by industry,2010employment by state
1000,Alabama,101,94661,23,agriculture,1080677.841,2523700.608
1000,Alabama,102,81283,37905,automotive,566138.6104,2523700.608
1000,Alabama,103,318054,125,construction,5359624.691,2523700.608
1000,Alabama,104,70569,11234,electronics,1495060.882,2523700.608
1000,Alabama,105,472739,2753,food,1483030.717,2523700.608
1000,Alabama,106,18164,55,furniture,710651.4812,2523700.608
1000,Alabama,107,584643,38737,manufacturing_other,245234.5955,2523700.608
1000,Alabama,108,17404,6606,metal_basic,643096.4444,2523700.608
1000,Alabama,109,11366,363,metal_machinery,1140434.235,2523700.608
1000,Alabama,110,27754,1177,metal_products,781591.6691,2523700.608
1000,Alabama,111,26983,399,mineral,346305.5571,2523700.608
1000,Alabama,113,40542,52,paper,1453345.662,2523700.608
1000,Alabama,114,31197,4011,petrochemicals,1451592.993,2523700.608
1000,Alabama,116,11765457,174,services,86920501.63,2523700.608
1000,Alabama,117,33499,32,textiles,351605.6418,2523700.608
1000,Alabama,118,14256,33,utilities,797323.46,2523700.608
1000,Alabama,119,181712,188,vehicles_other,610364.6973,2523700.608
2000,Alaska,101,2916,23,agriculture,1080677.841,455968.302
2000,Alaska,102,4388,37905,automotive,566138.6104,455968.302
2000,Alaska,103,50221,125,construction,5359624.691,455968.302
2000,Alaska,104,13408,11234,electronics,1495060.882,455968.302
2000,Alaska,105,87678,2753,food,1483030.717,455968.302
2000,Alaska,106,868,55,furniture,710651.4812,455968.302
2000,Alaska,107,31831,38737,manufacturing_other,245234.5955,455968.302
2000,Alaska,108,33,6606,metal_basic,643096.4444,455968.302
2000,Alaska,109,128,363,metal_machinery,1140434.235,455968.302
2000,Alaska,110,618,1177,metal_products,781591.6691,455968.302
2000,Alaska,111,30980,399,mineral,346305.5571,455968.302
2000,Alaska,113,1792,52,paper,1453345.662,455968.302
2000,Alaska,114,1727,4011,petrochemicals,1451592.993,455968.302
2000,Alaska,116,1992768,174,services,86920501.63,455968.302
2000,Alaska,117,2629,32,textiles,351605.6418,455968.302
2000,Alaska,118,2322,33,utilities,797323.46,455968.302
2000,Alaska,119,43228,188,vehicles_other,610364.6973,455968.302
4000,Arizona,101,65127,23,agriculture,1080677.841,3637057.673
4000,Arizona,102,54537,37905,automotive,566138.6104,3637057.673
4000,Arizona,103,467378,125,construction,5359624.691,3637057.673
4000,Arizona,104,154338,11234,electronics,1495060.882,3637057.673
4000,Arizona,105,690241,2753,food,1483030.717,3637057.673
4000,Arizona,106,19045,55,furniture,710651.4812,3637057.673
4000,Arizona,107,389765,38737,manufacturing_other,245234.5955,3637057.673
4000,Arizona,108,3917,6606,metal_basic,643096.4444,3637057.673
4000,Arizona,109,8584,363,metal_machinery,1140434.235,3637057.673
4000,Arizona,110,21730,1177,metal_products,781591.6691,3637057.673
4000,Arizona,111,48088,399,mineral,346305.5571,3637057.673
4000,Arizona,113,26688,52,paper,1453345.662,3637057.673
4000,Arizona,114,31964,4011,petrochemicals,1451592.993,3637057.673
4000,Arizona,116,17294099,174,services,86920501.63,3637057.673
4000,Arizona,117,28869,32,textiles,351605.6418,3637057.673
4000,Arizona,118,12802,33,utilities,797323.46,3637057.673
4000,Arizona,119,309522,188,vehicles_other,610364.6973,3637057.673
5000,Arkansas,101,106027,23,agriculture,1080677.841,1635829.998
5000,Arkansas,102,22572,37905,automotive,566138.6104,1635829.998
5000,Arkansas,103,193874,125,construction,5359624.691,1635829.998
5000,Arkansas,104,35539,11234,electronics,1495060.882,1635829.998
5000,Arkansas,105,303569,2753,food,1483030.717,1635829.998
5000,Arkansas,106,8290,55,furniture,710651.4812,1635829.998
5000,Arkansas,107,349299,38737,manufacturing_other,245234.5955,1635829.998
5000,Arkansas,108,8207,6606,metal_basic,643096.4444,1635829.998
5000,Arkansas,109,11820,363,metal_machinery,1140434.235,1635829.998
5000,Arkansas,110,15237,1177,metal_products,781591.6691,1635829.998
5000,Arkansas,111,25175,399,mineral,346305.5571,1635829.998
5000,Arkansas,113,28149,52,paper,1453345.662,1635829.998
5000,Arkansas,114,16682,4011,petrochemicals,1451592.993,1635829.998
5000,Arkansas,116,7118756,174,services,86920501.63,1635829.998
5000,Arkansas,117,13391,32,textiles,351605.6418,1635829.998
5000,Arkansas,118,8072,33,utilities,797323.46,1635829.998
5000,Arkansas,119,138815,188,vehicles_other,610364.6973,1635829.998
6000,California,101,547814,23,agriculture,1080677.841,20973977.23
6000,California,102,263982,37905,automotive,566138.6104,20973977.23
6000,California,103,2538575,125,construction,5359624.691,20973977.23
6000,California,104,1493811,11234,electronics,1495060.882,20973977.23
6000,California,105,4282638,2753,food,1483030.717,20973977.23
6000,California,106,103639,55,furniture,710651.4812,20973977.23
6000,California,107,3013740,38737,manufacturing_other,245234.5955,20973977.23
6000,California,108,18219,6606,metal_basic,643096.4444,20973977.23
6000,California,109,83821,363,metal_machinery,1140434.235,20973977.23
6000,California,110,140247,1177,metal_products,781591.6691,20973977.23
6000,California,111,118250,399,mineral,346305.5571,20973977.23
6000,California,113,230339,52,paper,1453345.662,20973977.23
6000,California,114,230466,4011,petrochemicals,1451592.993,20973977.23
6000,California,116,106800213,174,services,86920501.63,20973977.23
6000,California,117,294266,32,textiles,351605.6418,20973977.23
6000,California,118,60078,33,utilities,797323.46,20973977.23
6000,California,119,2219050,188,vehicles_other,610364.6973,20973977.23
8000,Colorado,101,98055,23,agriculture,1080677.841,3158335.088
8000,Colorado,102,39829,37905,automotive,566138.6104,3158335.088
8000,Colorado,103,551123,125,construction,5359624.691,3158335.088
8000,Colorado,104,188671,11234,electronics,1495060.882,3158335.088
8000,Colorado,105,699073,2753,food,1483030.717,3158335.088
8000,Colorado,106,16236,55,furniture,710651.4812,3158335.088
8000,Colorado,107,352418,38737,manufacturing_other,245234.5955,3158335.088
8000,Colorado,108,2332,6606,metal_basic,643096.4444,3158335.088
8000,Colorado,109,13628,363,metal_machinery,1140434.235,3158335.088
8000,Colorado,110,16676,1177,metal_products,781591.6691,3158335.088
8000,Colorado,111,110435,399,mineral,346305.5571,3158335.088
8000,Colorado,113,37855,52,paper,1453345.662,3158335.088
8000,Colorado,114,26555,4011,petrochemicals,1451592.993,3158335.088
8000,Colorado,116,17095205,174,services,86920501.63,3158335.088
8000,Colorado,117,27378,32,textiles,351605.6418,3158335.088
8000,Colorado,118,8825,33,utilities,797323.46,3158335.088
8000,Colorado,119,270712,188,vehicles_other,610364.6973,3158335.088
9000,Connecticut,101,16897,23,agriculture,1080677.841,2226662.431
9000,Connecticut,102,23978,37905,automotive,566138.6104,2226662.431
9000,Connecticut,103,244397,125,construction,5359624.691,2226662.431
9000,Connecticut,104,92782,11234,electronics,1495060.882,2226662.431
9000,Connecticut,105,344887,2753,food,1483030.717,2226662.431
9000,Connecticut,106,7077,55,furniture,710651.4812,2226662.431
