GeoFips,GeoName,deno code,2017 employment by industry,2017 robot data,industry_ifr19,2010 employment by industry,2010employment by state,Robot Penetration
1000,Alabama,101,96579,0,agriculture,1080677.841,2523700.608,0.0
1000,Alabama,102,80616,36573,automotive,566138.6104,2523700.608,0.0020635795938685544
1000,Alabama,103,306342,9,construction,5359624.691,2523700.608,2.0383410054585888e-07
1000,Alabama,104,70149,13696,electronics,1495060.882,2523700.608,0.0002546352480465986
1000,Alabama,105,467390,1598,food,1483030.717,2523700.608,0.00019955757256969446
1000,Alabama,106,18172,61,furniture,710651.4812,2523700.608,6.180705706966185e-07
1000,Alabama,107,576962,34863,manufacturing_other,245234.5955,2523700.608,0.03250067624735199
1000,Alabama,108,16970,5939,metal_basic,643096.4444,2523700.608,6.209851672598855e-05
1000,Alabama,109,11251,234,metal_machinery,1140434.235,2523700.608,9.147425975952769e-07
1000,Alabama,110,27130,967,metal_products,781591.6691,2523700.608,1.3300210479815304e-05
1000,Alabama,111,28415,296,mineral,346305.5571,2523700.608,9.62370004841767e-06
1000,Alabama,113,39103,49,paper,1453345.662,2523700.608,5.223954756584293e-07
1000,Alabama,114,31362,2972,petrochemicals,1451592.993,2523700.608,2.5443090346527795e-05
1000,Alabama,116,11561874,93,services,86920501.63,2523700.608,4.901749625776007e-06
1000,Alabama,117,34162,0,textiles,351605.6418,2523700.608,0.0
1000,Alabama,118,14140,29,utilities,797323.46,2523700.608,2.0378632256241704e-07
1000,Alabama,119,174452,84,vehicles_other,610364.6973,2523700.608,9.51323006772841e-06
2000,Alaska,101,11456,0,agriculture,1080677.841,455968.302,0.0
2000,Alaska,102,4609,36573,automotive,566138.6104,455968.302,0.0006529950168558459
2000,Alaska,103,49058,9,construction,5359624.691,455968.302,1.806688651950084e-07
2000,Alaska,104,14119,13696,electronics,1495060.882,455968.302,0.00028366395562169736
2000,Alaska,105,87862,1598,food,1483030.717,455968.302,0.0002076314137479711
2000,Alaska,106,898,61,furniture,710651.4812,455968.302,1.6904987488470997e-07
2000,Alaska,107,33382,34863,manufacturing_other,245234.5955,455968.302,0.010407842697183319
2000,Alaska,108,33,5939,metal_basic,643096.4444,455968.302,6.683693168144049e-07
2000,Alaska,109,140,234,metal_machinery,1140434.235,455968.302,6.299977445164596e-08
2000,Alaska,110,584,967,metal_products,781591.6691,455968.302,1.5846185920580943e-06
2000,Alaska,111,34800,296,mineral,346305.5571,455968.302,6.52344254830995e-05
2000,Alaska,113,2047,49,paper,1453345.662,455968.302,1.5135973252344858e-07
2000,Alaska,114,1724,2972,petrochemicals,1451592.993,455968.302,7.741169039418752e-06
2000,Alaska,116,1994727,93,services,86920501.63,455968.302,4.680686328318551e-06
2000,Alaska,117,2762,0,textiles,351605.6418,455968.302,0.0
2000,Alaska,118,2237,29,utilities,797323.46,455968.302,1.7844105688107647e-07
2000,Alaska,119,42324,84,vehicles_other,610364.6973,455968.302,1.2774441819982933e-05
4000,Arizona,101,63590,0,agriculture,1080677.841,3637057.673,0.0
4000,Arizona,102,53056,36573,automotive,566138.6104,3637057.673,0.0009423714671502755
4000,Arizona,103,433010,9,construction,5359624.691,3637057.673,1.9991982762087471e-07
4000,Arizona,104,152533,13696,electronics,1495060.882,3637057.673,0.000384192155563996
4000,Arizona,105,678262,1598,food,1483030.717,3637057.673,0.00020094348361019955
4000,Arizona,106,18683,61,furniture,710651.4812,3637057.673,4.409299463357441e-07
4000,Arizona,107,377348,34863,manufacturing_other,245234.5955,3637057.673,0.014749418013145532
4000,Arizona,108,3856,5939,metal_basic,643096.4444,3637057.673,9.790932451460687e-06
4000,Arizona,109,8025,234,metal_machinery,1140434.235,3637057.673,4.5273124144258054e-07
4000,Arizona,110,21187,967,metal_products,781591.6691,3637057.673,7.207187676176776e-06
4000,Arizona,111,50439,296,mineral,346305.5571,3637057.673,1.1853552576790865e-05
4000,Arizona,113,26192,49,paper,1453345.662,3637057.673,2.4279829668884943e-07
4000,Arizona,114,30956,2972,petrochemicals,1451592.993,3637057.673,1.7426035409977385e-05
4000,Arizona,116,16796631,93,services,86920501.63,3637057.673,4.941203248040193e-06
4000,Arizona,117,30187,0,textiles,351605.6418,3637057.673,0.0
4000,Arizona,118,12901,29,utilities,797323.46,3637057.673,1.2901394123995495e-07
4000,Arizona,119,280507,84,vehicles_other,610364.6973,3637057.673,1.0614105380589904e-05
5000,Arkansas,101,105915,0,agriculture,1080677.841,1635829.998,0.0
5000,Arkansas,102,22706,36573,automotive,566138.6104,1635829.998,0.0008966857681553076
5000,Arkansas,103,192009,9,construction,5359624.691,1635829.998,1.9710223458131216e-07
5000,Arkansas,104,39360,13696,electronics,1495060.882,1635829.998,0.00022042040226300812
5000,Arkansas,105,299886,1598,food,1483030.717,1635829.998,0.0001975352707589801
5000,Arkansas,106,8200,61,furniture,710651.4812,1635829.998,4.3027771513824513e-07
5000,Arkansas,107,343335,34863,manufacturing_other,245234.5955,1635829.998,0.029837534179547695
5000,Arkansas,108,7924,5939,metal_basic,643096.4444,1635829.998,4.473459559713536e-05
5000,Arkansas,109,11698,234,metal_machinery,1140434.235,1635829.998,1.4673004824669514e-06
5000,Arkansas,110,14862,967,metal_products,781591.6691,1635829.998,1.1240500295102183e-05
5000,Arkansas,111,30395,296,mineral,346305.5571,1635829.998,1.5881672280293594e-05
5000,Arkansas,113,27978,49,paper,1453345.662,1635829.998,5.76641187258178e-07
5000,Arkansas,114,16269,2972,petrochemicals,1451592.993,1635829.998,2.0362290687166675e-05
5000,Arkansas,116,7029559,93,services,86920501.63,1635829.998,4.5978059381311796e-06
5000,Arkansas,117,13762,0,textiles,351605.6418,1635829.998,0.0
5000,Arkansas,118,7982,29,utilities,797323.46,1635829.998,1.7747492878086456e-07
5000,Arkansas,119,133651,84,vehicles_other,610364.6973,1635829.998,1.1244079923350564e-05
6000,California,101,539986,0,agriculture,1080677.841,20973977.23,0.0
6000,California,102,257596,36573,automotive,566138.6104,20973977.23,0.0007934071942740266
6000,California,103,2422702,9,construction,5359624.691,20973977.23,1.9396677092107572e-07
