Name,Year,Value
United States,2011,20555
United States,2012,22414
United States,2013,23679
United States,2014,26202
United States,2015,27504
United States,2016,31404
United States,2017,33146
United States,2018,40373
Canada,2011,1848
Canada,2012,1749
Canada,2013,2250
Canada,2014,2333
Canada,2015,3474
Canada,2016,2334
Canada,2017,4057
Canada,2018,3582
Mexico,2011,1938
Mexico,2012,2106
Mexico,2013,2739
Mexico,2014,2494
Mexico,2015,5466
Mexico,2016,5933
Mexico,2017,6356
Mexico,2018,5681
Brazil,2011,1440
Brazil,2012,1645
Brazil,2013,1398
Brazil,2014,1266
Brazil,2015,1407
Brazil,2016,1207
Brazil,2017,1001
Brazil,2018,2196
China,2011,22577
China,2012,22987
China,2013,36560
China,2014,57096
China,2015,68556
China,2016,96500
China,2017,156176
China,2018,154032
India,2011,1547
India,2012,1508
India,2013,1917
India,2014,2126
India,2015,2065
India,2016,2627
India,2017,3424
India,2018,4771
Indonesia,2011,728
Indonesia,2012,728
Indonesia,2013,728
Indonesia,2014,728
Indonesia,2015,728
Indonesia,2016,728
Indonesia,2017,728
Indonesia,2018,728
Japan,2011,27894
Japan,2012,28680
Japan,2013,25110
Japan,2014,29297
Japan,2015,35023
Japan,2016,38586
Japan,2017,45647
Japan,2018,55240
Malaysia,2011,646
Malaysia,2012,775
Malaysia,2013,791
Malaysia,2014,852
Malaysia,2015,998
Malaysia,2016,1881
Malaysia,2017,2863
Malaysia,2018,1860
Singapore,2011,1320
Singapore,2012,1177
Singapore,2013,1197
Singapore,2014,1228
Singapore,2015,1895
Singapore,2016,2609
Singapore,2017,4559
Singapore,2018,4290
Korea,2011,25536
Korea,2012,19424
Korea,2013,21307
Korea,2014,24721
Korea,2015,38285
Korea,2016,41373
Korea,2017,39777
Korea,2018,37807
Taiwan China,2011,3688
Taiwan China,2012,3368
Taiwan China,2013,5457
Taiwan China,2014,6912
Taiwan China,2015,7200
Taiwan China,2016,7569
Taiwan China,2017,10907
Taiwan China,2018,12145
Thailand,2011,3453
Thailand,2012,4028
Thailand,2013,3221
Thailand,2014,3657
Thailand,2015,2556
Thailand,2016,2646
Thailand,2017,3386
Thailand,2018,3323
Vietnam,2011,193
Vietnam,2012,287
